#======= TRAJECTORY BEGIN: BLUE feeder to Reef B
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.411       1.426       0.942      -0.000       0.000       0.000       0.400
#--------Waypoint:     1.825       2.038       0.349       0.739       0.025      -0.593       0.100
#--------Waypoint:     2.163       3.576       1.026       2.182       0.656       0.084       0.200
#--------Waypoint:     2.991       3.862       0.000       2.899       0.154      -0.942       0.900
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.54000  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    1.41102,    1.42591,    0.94248,   -4.70580,Segment:  1
   0.12900,    0.19660,    1.52400,    1.41876,    1.43595,    0.88820,   -3.86488,Segment:  2
   0.18389,    0.28025,    1.52400,    1.42725,    1.44591,    0.84286,   -3.07990,Segment:  3
   0.26460,    0.40325,    1.52400,    1.44633,    1.46583,    0.77715,   -1.75780,Segment:  4
   0.38848,    0.59204,    1.52400,    1.49169,    1.50758,    0.72772,   -0.07402,Segment:  5
   0.49438,    0.75343,    1.52400,    1.54444,    1.55546,    0.75622,    0.75058,Segment:  6
   0.59319,    0.90403,    1.52400,    1.60190,    1.61381,    0.83453,    1.09288,Segment:  7
   0.64151,    0.97766,    1.52400,    1.63156,    1.64826,    0.88569,    1.14650,Segment:  8
   0.68967,    1.05105,    1.52400,    1.66139,    1.68694,    0.94184,    1.14376,Segment:  9
   0.73803,    1.12476,    1.52400,    1.69107,    1.73039,    1.00098,    1.09852,Segment:  10
   0.78694,    1.19930,    1.52400,    1.72025,    1.77916,    1.06138,    1.02363,Segment:  11
   0.83669,    1.27511,    1.52400,    1.74861,    1.83378,    1.12156,    0.93064,Segment:  12
   0.88753,    1.35260,    1.52400,    1.77581,    1.89480,    1.18033,    0.82938,Segment:  13
   0.93971,    1.43212,    1.52400,    1.80151,    1.96275,    1.23682,    0.72745,Segment:  14
   0.99341,    1.51396,    1.52400,    1.82538,    2.03817,    1.29043,    0.63023,Segment:  15
   1.04867,    1.59817,    1.52400,    1.84720,    2.12133,    1.33489,    0.42198,Segment:  16
   1.10489,    1.68386,    1.52400,    1.86723,    2.21140,    1.36703,    0.28494,Segment:  17
   1.16144,    1.77003,    1.52400,    1.88582,    2.30726,    1.38990,    0.18955,Segment:  18
   1.21773,    1.85583,    1.52400,    1.90334,    2.40781,    1.40546,    0.11900,Segment:  19
   1.27330,    1.94051,    1.52400,    1.92016,    2.51194,    1.41496,    0.06318,Segment:  20
   1.32772,    2.02345,    1.32640,    1.93663,    2.61853,    1.41914,    0.01554,Segment:  21
   1.38077,    2.09381,   -1.52400,    1.95312,    2.72649,    1.41841,   -0.02865,Segment:  22
   1.43411,    2.01252,   -1.52400,    1.97001,    2.83470,    1.41285,   -0.07330,Segment:  23
   1.48932,    1.92838,   -1.52400,    1.98764,    2.94205,    1.40228,   -0.12230,Segment:  24
   1.54611,    1.84184,   -1.52400,    2.00638,    3.04744,    1.38620,   -0.18019,Segment:  25
   1.60413,    1.75342,   -1.52400,    2.02661,    3.14976,    1.36379,   -0.25305,Segment:  26
   1.66300,    1.66371,   -1.52400,    2.04868,    3.24789,    1.33375,   -0.34979,Segment:  27
   1.72229,    1.57335,   -1.52400,    2.07296,    3.34073,    1.29416,   -0.48424,Segment:  28
   1.78151,    1.48308,   -1.52400,    2.09981,    3.42717,    1.24219,   -0.67862,Segment:  29
   1.84017,    1.39370,   -1.52400,    2.12959,    3.50610,    1.17367,   -0.96897,Segment:  30
   1.86912,    1.34957,   -1.52400,    2.14570,    3.54240,    1.13142,   -1.16690,Segment:  31
   1.89775,    1.30594,   -1.52400,    2.16268,    3.57641,    1.08260,   -1.41193,Segment:  32
   1.92603,    1.26284,   -1.52400,    2.18056,    3.60803,    1.02873,   -1.55542,Segment:  33
   1.95404,    1.22016,   -1.52400,    2.19932,    3.63731,    0.97218,   -1.69712,Segment:  34
   1.98188,    1.17773,   -1.32673,    2.21892,    3.66432,    0.91327,   -1.83124,Segment:  35
   2.00962,    1.14092,   -1.01438,    2.23933,    3.68917,    0.85240,   -1.95128,Segment:  36
   2.03721,    1.11293,   -0.70353,    2.26052,    3.71194,    0.79011,   -2.05068,Segment:  37
   2.06459,    1.09367,   -0.39257,    2.28243,    3.73272,    0.72700,   -2.12353,Segment:  38
   2.09165,    1.08305,   -0.07947,    2.30505,    3.75159,    0.66375,   -2.16539,Segment:  39
   2.11832,    1.08093,    0.23836,    2.32832,    3.76865,    0.60105,   -2.17389,Segment:  40
   2.14451,    1.08717,    0.56426,    2.35222,    3.78398,    0.53959,   -2.14900,Segment:  41
   2.17015,    1.10164,    0.90261,    2.37671,    3.79767,    0.48001,   -2.09293,Segment:  42
