#======= TRAJECTORY BEGIN: moves from mid coral station 13 to reef L19
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     3.750       4.961       2.094       0.000       0.000      -0.000       1.200
#--------Waypoint:     2.857       6.211      -1.326       1.529       0.148       2.862       0.000
#--------Waypoint:     1.071       7.191       2.094       3.271       1.204      -0.000       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    3.74996,    4.96083,    2.09440,   -0.63666,Segment:  1
   0.40807,    0.37314,    0.91440,    3.71333,    5.02757,    2.05381,   -0.43464,Segment:  2
   0.58160,    0.53182,    0.91440,    3.67788,    5.09764,    2.02681,   -0.25810,Segment:  3
   0.71789,    0.65644,    0.91440,    3.64283,    5.17063,    2.01227,   -0.10562,Segment:  4
   0.83541,    0.76390,    0.91440,    3.60736,    5.24617,    2.00910,    0.02581,Segment:  5
   0.94120,    0.86063,    0.91440,    3.57067,    5.32388,    2.01634,    0.13931,Segment:  6
   1.03885,    0.94992,    0.91440,    3.53196,    5.40335,    2.03312,    0.23741,Segment:  7
   1.13050,    1.03373,    0.91440,    3.49043,    5.48422,    2.05865,    0.32174,Segment:  8
   1.21759,    1.11337,    0.57960,    3.44528,    5.56608,    2.09218,    0.39300,Segment:  9
   1.30217,    1.16239,   -0.61188,    3.39569,    5.64856,    2.13293,    0.45117,Segment:  10
   1.38954,    1.10892,   -0.34488,    3.34087,    5.73127,    2.18003,    0.49573,Segment:  11
   1.48339,    1.07656,   -0.15648,    3.28002,    5.81382,    2.23257,    0.52598,Segment:  12
   1.58288,    1.06099,   -0.00978,    3.21233,    5.89582,    2.28947,    0.54153,Segment:  13
   1.68724,    1.05997,    0.11376,    3.13700,    5.97690,    2.34959,    0.54258,Segment:  14
   1.79574,    1.07231,    0.22424,    3.05322,    6.05665,    2.41176,    0.53016,Segment:  15
   1.90767,    1.09741,    0.30189,    2.96019,    6.13470,    2.47479,    0.50618,Segment:  16
   1.96476,    1.11465,    0.35232,    2.90996,    6.17296,    2.50627,    0.49065,Segment:  17
   2.02247,    1.13498,    0.91440,    2.85712,    6.21066,    2.53756,    0.47323,Segment:  18
   2.07995,    1.18754,    0.91440,    2.80161,    6.24774,    2.56674,    0.40350,Segment:  19
   2.13640,    1.23916,    0.91440,    2.74365,    6.28422,    2.59231,    0.34498,Segment:  20
   2.19183,    1.28984,    0.91440,    2.68345,    6.32013,    2.61470,    0.29549,Segment:  21
   2.24622,    1.33958,    0.91440,    2.62128,    6.35546,    2.63428,    0.25325,Segment:  22
   2.29957,    1.38836,    0.91440,    2.55738,    6.39026,    2.65135,    0.21681,Segment:  23
   2.35184,    1.43616,    0.91440,    2.49198,    6.42452,    2.66615,    0.18501,Segment:  24
   2.40302,    1.48296,    0.91440,    2.42534,    6.45828,    2.67890,    0.15688,Segment:  25
   2.45308,    1.52873,    0.91440,    2.35771,    6.49155,    2.68975,    0.13161,Segment:  26
   2.50198,    1.57344,   -0.35872,    2.28932,    6.52434,    2.69885,    0.10853,Segment:  27
   2.55062,    1.55599,   -0.91440,    2.22041,    6.55669,    2.70628,    0.08703,Segment:  28
   2.60030,    1.51057,   -0.91440,    2.15125,    6.58860,    2.71213,    0.06658,Segment:  29
   2.65142,    1.46383,   -0.91440,    2.08206,    6.62009,    2.71643,    0.04667,Segment:  30
   2.70395,    1.41579,   -0.91440,    2.01310,    6.65119,    2.71921,    0.02681,Segment:  31
   2.75791,    1.36645,   -0.91440,    1.94462,    6.68191,    2.72047,    0.00646,Segment:  32
   2.81329,    1.31581,   -0.91440,    1.87684,    6.71227,    2.72016,   -0.01493,Segment:  33
   2.87007,    1.26389,   -0.91440,    1.81003,    6.74228,    2.71824,   -0.03802,Segment:  34
   2.92828,    1.21066,   -0.91440,    1.74442,    6.77198,    2.71460,   -0.06359,Segment:  35
   2.98791,    1.15613,   -0.91440,    1.68026,    6.80137,    2.70911,   -0.09262,Segment:  36
   3.04899,    1.10028,   -0.91440,    1.61780,    6.83047,    2.70161,   -0.12636,Segment:  37
   3.11155,    1.04308,   -0.91440,    1.55727,    6.85931,    2.69184,   -0.16644,Segment:  38
   3.17564,    0.98448,   -0.91440,    1.49893,    6.88790,    2.67951,   -0.21508,Segment:  39
   3.24132,    0.92442,   -0.91440,    1.44302,    6.91626,    2.66422,   -0.27532,Segment:  40
   3.37796,    0.79948,   -0.91440,    1.33947,    6.97236,    2.62255,   -0.44943,Segment:  41
   3.52317,    0.66670,   -0.91440,    1.24857,    7.02777,    2.56052,   -0.75052,Segment:  42
   3.60014,    0.59631,   -0.91440,    1.20848,    7.05526,    2.51869,   -0.98563,Segment:  43
   3.68128,    0.52212,   -0.91440,    1.17229,    7.08263,    2.46706,   -1.31190,Segment:  44
   3.76854,    0.44233,   -0.91440,    1.14025,    7.10990,    2.40288,   -1.77070,Segment:  45
   3.86604,    0.35317,   -0.91440,    1.11259,    7.13708,    2.32251,   -2.41901,Segment:  46
   3.92152,    0.30245,   -0.91440,    1.10048,    7.15065,    2.27486,   -2.83537,Segment:  47
   3.98519,    0.24422,   -0.91440,    1.08956,    7.16421,    2.22139,   -3.32392,Segment:  48
   4.06547,    0.17082,   -0.91440,    1.07987,    7.17775,    2.16144,   -3.88942,Segment:  49
   4.25228,    0.00000,   -0.91440,    1.07142,    7.19129,    2.09440,   -4.53017,Segment:  50
#======= TRAJECTORY END: moves from mid coral station 13 to reef L19
