#======= TRAJECTORY BEGIN: moves from between R2-R3 robot starting line to reef 22 Right
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.061       2.461       3.142       0.000       0.000       0.000       0.200
#--------Waypoint:     5.365       2.839       2.897       1.697      -0.377      -0.244       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    7.06120,    2.46119,    3.14159,  -54.18554,Segment:  1
   0.06338,    0.05796,    0.91440,    7.05936,    2.46125,    3.07937,  -21.63492,Segment:  2
   0.09608,    0.08785,    0.91440,    7.05699,    2.46145,    3.04333,  -10.70062,Segment:  3
   0.15230,    0.13927,    0.91440,    7.05065,    2.46223,    3.00342,   -3.76002,Segment:  4
   0.25457,    0.23277,    0.91440,    7.03187,    2.46525,    2.96836,   -0.95148,Segment:  5
   0.44559,    0.40745,    0.91440,    6.97181,    2.47674,    2.94327,   -0.19023,Segment:  6
   0.62572,    0.57216,    0.91440,    6.88541,    2.49463,    2.93321,   -0.07031,Segment:  7
   0.79617,    0.72802,    0.91440,    6.77707,    2.51788,    2.92778,   -0.03474,Segment:  8
   0.87779,    0.80265,    0.91440,    6.71604,    2.53120,    2.92590,   -0.02618,Segment:  9
   0.95696,    0.87505,    0.91440,    6.65118,    2.54546,    2.92437,   -0.02043,Segment:  10
   1.03366,    0.94518,    0.91440,    6.58303,    2.56055,    2.92309,   -0.01642,Segment:  11
   1.10784,    1.01301,    0.91440,    6.51213,    2.57634,    2.92201,   -0.01353,Segment:  12
   1.17946,    1.07850,    0.91440,    6.43905,    2.59269,    2.92108,   -0.01141,Segment:  13
   1.24845,    1.14159,    0.91440,    6.36432,    2.60947,    2.92027,   -0.00983,Segment:  14
   1.31477,    1.20223,    0.91440,    6.28850,    2.62656,    2.91955,   -0.00863,Segment:  15
   1.37836,    1.26037,   -0.90223,    6.21214,    2.64382,    2.91891,   -0.00771,Segment:  16
   1.44192,    1.20302,   -0.91440,    6.13578,    2.66114,    2.91834,   -0.00702,Segment:  17
   1.50821,    1.14240,   -0.91440,    6.05998,    2.67837,    2.91781,   -0.00652,Segment:  18
   1.57718,    1.07934,   -0.91440,    5.98528,    2.69539,    2.91733,   -0.00617,Segment:  19
   1.64877,    1.01388,   -0.91440,    5.91224,    2.71207,    2.91687,   -0.00596,Segment:  20
   1.72292,    0.94607,   -0.91440,    5.84139,    2.72828,    2.91644,   -0.00590,Segment:  21
   1.79960,    0.87596,   -0.91440,    5.77330,    2.74389,    2.91603,   -0.00600,Segment:  22
   1.87876,    0.80357,   -0.91440,    5.70851,    2.75877,    2.91562,   -0.00632,Segment:  23
   1.96037,    0.72895,   -0.91440,    5.64757,    2.77279,    2.91521,   -0.00692,Segment:  24
   2.13083,    0.57308,   -0.91440,    5.53944,    2.79774,    2.91432,   -0.00979,Segment:  25
   2.31104,    0.40830,   -0.91440,    5.45330,    2.81771,    2.91313,   -0.01971,Segment:  26
   2.75756,    0.00000,   -0.91440,    5.36456,    2.83856,    2.89712,   -4.25504,Segment:  27
#======= TRAJECTORY END: moves from between R2-R3 robot starting line to reef 22 Right
