#======= TRAJECTORY BEGIN: moves from  reef L22 to mid coral station 12
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.258       2.865      -1.047       0.000       0.000       0.000       1.000
#--------Waypoint:     3.492       2.019      -1.414      -0.150      -1.952      -0.367       0.000
#--------Waypoint:     1.389       1.395      -2.339      -0.662      -4.086      -1.292       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    5.25789,    2.86498,   -1.04720,   -6.30597,Segment:  1
   0.12992,    0.11880,    0.91440,    5.26158,    2.85820,   -1.09745,   -6.71620,Segment:  2
   0.18269,    0.16706,    0.91440,    5.26484,    2.85140,   -1.14960,   -7.10497,Segment:  3
   0.22257,    0.20352,    0.91440,    5.26768,    2.84458,   -1.20344,   -7.45961,Segment:  4
   0.25576,    0.23387,    0.91440,    5.27010,    2.83774,   -1.25873,   -7.76720,Segment:  5
   0.28470,    0.26033,    0.46882,    5.27210,    2.83087,   -1.31521,   -8.01545,Segment:  6
   0.31121,    0.27276,   -0.06452,    5.27369,    2.82399,   -1.37252,   -8.19383,Segment:  7
   0.33697,    0.27110,   -0.01203,    5.27488,    2.81708,   -1.43032,   -8.29460,Segment:  8
   0.36268,    0.27079,    0.04028,    5.27565,    2.81016,   -1.48822,   -8.31357,Segment:  9
   0.38830,    0.27182,    0.09243,    5.27602,    2.80322,   -1.54584,   -8.25056,Segment:  10
   0.41379,    0.27418,    0.14438,    5.27600,    2.79626,   -1.60282,   -8.10937,Segment:  11
   0.43911,    0.27783,    0.19614,    5.27558,    2.78928,   -1.65880,   -7.89736,Segment:  12
   0.46423,    0.28276,    0.24769,    5.27477,    2.78229,   -1.71347,   -7.62459,Segment:  13
   0.48910,    0.28892,    0.29903,    5.27357,    2.77528,   -1.76657,   -7.30285,Segment:  14
   0.51371,    0.29628,    0.35015,    5.27199,    2.76826,   -1.81788,   -6.94460,Segment:  15
   0.53802,    0.30479,    0.40104,    5.27002,    2.76122,   -1.86724,   -6.56205,Segment:  16
   0.56203,    0.31442,    0.45168,    5.26768,    2.75417,   -1.91454,   -6.16642,Segment:  17
   0.58570,    0.32511,    0.50206,    5.26497,    2.74710,   -1.95971,   -5.76749,Segment:  18
   0.60903,    0.33682,    0.57750,    5.26189,    2.74002,   -2.00271,   -5.37333,Segment:  19
   0.65458,    0.36313,    0.67663,    5.25463,    2.72583,   -2.08229,   -4.62292,Segment:  20
