#======= TRAJECTORY BEGIN: moves from  reef L22 to mid coral station
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.389       1.395       0.803       0.000       0.000       0.000       1.500
#--------Waypoint:     3.988       2.115       1.728       2.324      -1.370       0.925       0.000
#--------Waypoint:     5.415       2.751       2.094       3.772      -1.955       1.292       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    1.38862,    1.39510,    0.80285,   -2.13567,Segment:  1
   0.22830,    0.20875,    0.91440,    1.40559,    1.41183,    0.75490,   -1.89382,Segment:  2
   0.32559,    0.29772,    0.91440,    1.42390,    1.42830,    0.71097,   -1.67764,Segment:  3
   0.46832,    0.42824,    0.91440,    1.46449,    1.46051,    0.63386,   -1.31769,Segment:  4
   0.58335,    0.53342,    0.91440,    1.51013,    1.49175,    0.56905,   -1.04083,Segment:  5
   0.68487,    0.62625,    0.91440,    1.56060,    1.52205,    0.51434,   -0.82936,Segment:  6
   0.77818,    0.71157,    0.91440,    1.61566,    1.55144,    0.46789,   -0.66757,Segment:  7
   0.86587,    0.79176,    0.91440,    1.67509,    1.57995,    0.42820,   -0.54301,Segment:  8
   0.94939,    0.86813,    0.91440,    1.73864,    1.60762,    0.39408,   -0.44623,Segment:  9
   1.02963,    0.94150,    0.91440,    1.80610,    1.63447,    0.36457,   -0.37026,Segment:  10
   1.10716,    1.01239,    0.91440,    1.87721,    1.66054,    0.33891,   -0.30997,Segment:  11
   1.18237,    1.08116,    0.91440,    1.95176,    1.68585,    0.31649,   -0.26160,Segment:  12
   1.25553,    1.14805,    0.91440,    2.02950,    1.71045,    0.29682,   -0.22235,Segment:  13
   1.32682,    1.21324,    0.91440,    2.11021,    1.73435,    0.27951,   -0.19016,Segment:  14
   1.39639,    1.27686,    0.91440,    2.19364,    1.75759,    0.26423,   -0.16349,Segment:  15
   1.46433,    1.33898,    0.91440,    2.27958,    1.78021,    0.25073,   -0.14114,Segment:  16
   1.53072,    1.39969,    0.91440,    2.36778,    1.80222,    0.23878,   -0.12222,Segment:  17
   1.59561,    1.45902,    0.91440,    2.45802,    1.82367,    0.22822,   -0.10604,Segment:  18
   1.65903,    1.51702,    0.91440,    2.55005,    1.84459,    0.21889,   -0.09204,Segment:  19
   1.72102,    1.57370,    0.91440,    2.64365,    1.86499,    0.21067,   -0.07980,Segment:  20
