#======= TRAJECTORY BEGIN: moves from center to 21 (assumng R21)
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.579       4.190       3.142       0.000       0.000       0.000       0.200
#--------Waypoint:     5.981       4.190       3.142       1.598       0.000       0.000       0.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          0.60960  m/s
#--------Maximum Acceleration:      0.45720  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          0.60960  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          0.60960  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.45720,    7.57929,    4.19024,    3.14159,    0.00000,Segment:  1
   0.71311,    0.32603,    0.45720,    7.46304,    4.19024,    3.14159,    0.00000,Segment:  2
   0.99418,    0.45454,    0.45720,    7.35335,    4.19024,    3.14159,    0.00000,Segment:  3
   1.20153,    0.54934,    0.35131,    7.24927,    4.19024,   -3.14159,    0.00000,Segment:  4
   1.37306,    0.60960,    0.00000,    7.14987,    4.19024,   -3.14159,    0.00000,Segment:  5
   1.52997,    0.60960,    0.00000,    7.05422,    4.19024,   -3.14159,    0.00000,Segment:  6
   1.68227,    0.60960,    0.00000,    6.96137,    4.19024,   -3.14159,    0.00000,Segment:  7
   1.83150,    0.60960,    0.00000,    6.87040,    4.19024,   -3.14159,    0.00000,Segment:  8
   1.97920,    0.60960,   -0.00000,    6.78037,    4.19024,   -3.14159,    0.00000,Segment:  9
   2.12689,    0.60960,   -0.00000,    6.69033,    4.19024,   -3.14159,   -0.00000,Segment:  10
   2.27612,    0.60960,   -0.00000,    6.59936,    4.19024,   -3.14159,   -0.00000,Segment:  11
   2.42843,    0.60960,   -0.00000,    6.50652,    4.19024,   -3.14159,   -0.00000,Segment:  12
   2.58534,    0.60960,   -0.35131,    6.41087,    4.19024,   -3.14159,   -0.00000,Segment:  13
   2.75687,    0.54934,   -0.45720,    6.31147,    4.19024,   -3.14159,   -0.00000,Segment:  14
   2.96422,    0.45454,   -0.45720,    6.20739,    4.19024,   -3.14159,   -0.00000,Segment:  15
   3.24529,    0.32603,   -0.45720,    6.09770,    4.19024,    3.14159,   -0.00000,Segment:  16
   3.95840,    0.00000,   -0.45720,    5.98145,    4.19024,    3.14159,   -0.00000,Segment:  17
#======= TRAJECTORY END: moves from center to 21 (assumng R21)
