#======= TRAJECTORY BEGIN: moves from blue cage 2 to branch I
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    10.238       1.961       0.000       0.000       0.000       0.000       0.200
#--------Waypoint:    11.250       1.980       1.047       1.012       0.019       1.047       0.200
#--------Waypoint:    12.171       2.817       1.047       1.933       0.855       1.047       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.60960  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.60960,   10.23800,    1.96126,    0.00000,   -0.35340,Segment:  1
   0.49463,    0.30152,    0.60960,   10.31256,    1.96031,   -0.02499,   -0.31452,Segment:  2
   0.69363,    0.42284,    0.60960,   10.38459,    1.95773,   -0.04588,   -0.26277,Segment:  3
   0.84272,    0.51372,    0.60960,   10.45430,    1.95394,   -0.06205,   -0.19770,Segment:  4
   0.96568,    0.58868,    0.60960,   10.52192,    1.94934,   -0.07287,   -0.11914,Segment:  5
   1.07184,    0.65339,    0.60960,   10.58766,    1.94435,   -0.07778,   -0.02720,Segment:  6
   1.16607,    0.71084,    0.60960,   10.65175,    1.93937,   -0.07625,    0.07756,Segment:  7
   1.32956,    0.81050,    0.60960,   10.77583,    1.93108,   -0.05202,    0.32000,Segment:  8
   1.47033,    0.89632,   -0.30877,   10.89592,    1.92778,    0.00229,    0.58623,Segment:  9
   1.60508,    0.85471,   -0.60960,   11.01379,    1.93272,    0.08641,    0.83114,Segment:  10
   1.67592,    0.81152,   -0.36348,   11.07244,    1.93931,    0.13838,    0.92564,Segment:  11
   1.75059,    0.78439,   -0.15111,   11.13120,    1.94920,    0.19565,    0.99080,Segment:  12
   1.82845,    0.77262,    0.02787,   11.19027,    1.96279,    0.25683,    1.02121,Segment:  13
   1.90883,    0.77486,    0.51703,   11.24989,    1.98049,    0.32035,    1.01531,Segment:  14
   1.98957,    0.81660,    0.52273,   11.31020,    2.00263,    0.38224,    0.91416,Segment:  15
   2.06890,    0.85807,    0.51924,   11.37108,    2.02920,    0.44001,    0.82794,Segment:  16
   2.14701,    0.89863,    0.50722,   11.43232,    2.06012,    0.49423,    0.75489,Segment:  17
   2.22408,    0.93772,    0.48756,   11.49373,    2.09529,    0.54540,    0.69327,Segment:  18
   2.30030,    0.97488,    0.46137,   11.55510,    2.13463,    0.59399,    0.64141,Segment:  19
   2.37587,    1.00975,   -0.48975,   11.61623,    2.17804,    0.64040,    0.59789,Segment:  20
   2.45360,    0.97167,   -0.60960,   11.67693,    2.22544,    0.68500,    0.56143,Segment:  21
   2.53708,    0.92079,   -0.60960,   11.73700,    2.27673,    0.72810,    0.53097,Segment:  22
   2.62766,    0.86557,   -0.60960,   11.79624,    2.33183,    0.77000,    0.50559,Segment:  23
   2.72671,    0.80519,   -0.60960,   11.85445,    2.39065,    0.81094,    0.48454,Segment:  24
   2.83623,    0.73843,   -0.60960,   11.91142,    2.45309,    0.85114,    0.46718,Segment:  25
   2.95927,    0.66342,   -0.60960,   11.96696,    2.51907,    0.89079,    0.45295,Segment:  26
   3.10100,    0.57702,   -0.60960,   12.02087,    2.58850,    0.93008,    0.44140,Segment:  27
   3.27145,    0.47311,   -0.60960,   12.07296,    2.66128,    0.96916,    0.43213,Segment:  28
   3.49653,    0.33591,   -0.60960,   12.12301,    2.73733,    1.00816,    0.42480,Segment:  29
   4.04756,    0.00000,   -0.60960,   12.17084,    2.81656,    1.04720,    0.41908,Segment:  30
#======= TRAJECTORY END: moves from blue cage 2 to branch I
