#======= TRAJECTORY BEGIN: Move from Branch I to Source 1
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    12.143       2.692      -2.094       0.000       0.000      -0.000       0.200
#--------Waypoint:    12.421       1.654      -1.518       0.760       0.760       0.576       0.200
#--------Waypoint:    15.139       1.942       0.000      -0.849       2.970       2.094       0.200
#--------Waypoint:    16.160       1.395      -0.960      -0.885       4.127       1.134       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.28600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,   12.14274,    2.69193,   -2.09440,   28.24610,Segment:  1
   0.06947,    0.10587,    1.52400,   12.14102,    2.68867,   -2.02856,   11.70260,Segment:  2
   0.10527,    0.16042,    1.52400,   12.13901,    2.68435,   -1.98844,    6.18587,Segment:  3
   0.16647,    0.25369,    1.52400,   12.13420,    2.67263,   -1.93878,    2.63067,Segment:  4
   0.27598,    0.42060,    1.52400,   12.12209,    2.63775,   -1.87955,    1.10540,Segment:  5
   0.37735,    0.57508,    1.52400,   12.10791,    2.58932,   -1.83428,    0.77011,Segment:  6
   0.47265,    0.72032,    1.52400,   12.09318,    2.52938,   -1.79047,    0.67282,Segment:  7
   0.56238,    0.85707,    1.52400,   12.07938,    2.45996,   -1.74355,    0.66362,Segment:  8
   0.64670,    0.98558,    1.52400,   12.06804,    2.38311,   -1.69061,    0.70608,Segment:  9
   0.72567,    1.10593,    1.52400,   12.06065,    2.30085,   -1.62900,    0.79238,Segment:  10
   0.79937,    1.21824,    1.52400,   12.05872,    2.21524,   -1.55576,    0.92542,Segment:  11
   0.83428,    1.27145,    1.52400,   12.06027,    2.17180,   -1.51371,    1.01178,Segment:  12
   0.86794,    1.32273,    0.26155,   12.06375,    2.12829,   -1.46739,    1.11276,Segment:  13
   0.90086,    1.33135,   -1.52400,   12.06936,    2.08496,   -1.41628,    1.22907,Segment:  14
   0.93427,    1.28044,   -1.52400,   12.07726,    2.04206,   -1.35984,    1.36071,Segment:  15
   0.96894,    1.22760,   -1.52400,   12.08766,    1.99984,   -1.29755,    1.50635,Segment:  16
   1.00502,    1.17261,   -1.40141,   12.10075,    1.95857,   -1.22896,    1.66252,Segment:  17
   1.04265,    1.11987,   -1.13677,   12.11670,    1.91849,   -1.15378,    1.82279,Segment:  18
   1.08187,    1.07528,   -0.92721,   12.13571,    1.87986,   -1.07191,    1.97710,Segment:  19
   1.10208,    1.05655,   -0.78246,   12.14643,    1.86117,   -1.02854,    2.04786,Segment:  20
   1.12267,    1.04044,   -0.63414,   12.15797,    1.84294,   -0.98364,    2.11175,Segment:  21
