#======= TRAJECTORY BEGIN: moves from L21 to Coral station 12 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    12.171       2.817      -1.571       0.000       0.000       0.000       0.200
#--------Waypoint:    12.222       2.230      -0.803       0.586       0.051       0.768       0.200
#--------Waypoint:    15.655       1.980      -0.942       0.836       3.484       0.628       0.200
#--------Waypoint:    16.205       1.333      -0.942       1.483       4.034       0.628       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.28600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.33903,    0.51668,    1.52400,    0.08756,   -0.00222,   -0.07022,   -1.35325,Segment:  2
   0.41372,    0.63050,    1.52400,    0.13018,   -0.00653,   -0.13258,   -1.50365,Segment:  3
   0.47572,    0.72499,    1.52400,    0.17164,   -0.01337,   -0.19343,   -1.34247,Segment:  4
   0.57689,    0.87918,   -0.55125,    0.25053,   -0.03236,   -0.26374,   -0.21158,Segment:  5
   0.66558,    0.83029,   -1.52400,    0.32402,   -0.05100,   -0.20562,    1.95971,Segment:  6
   0.68760,    0.79673,   -1.52400,    0.34162,   -0.05431,   -0.16427,    2.66812,Segment:  7
   0.71005,    0.76251,   -1.52400,    0.35896,   -0.05673,   -0.11110,    3.41197,Segment:  8
   0.73306,    0.72745,   -1.52400,    0.37604,   -0.05810,   -0.04630,    4.14220,Segment:  9
   0.75683,    0.69122,   -1.26834,    0.39290,   -0.05826,    0.02915,    4.78458,Segment:  10
   0.78156,    0.65986,   -0.68112,    0.40956,   -0.05708,    0.11328,    5.25016,Segment:  11
   0.79428,    0.65120,   -0.32329,    0.41783,   -0.05595,    0.15771,    5.39081,Segment:  12
   0.80715,    0.64703,    0.02068,    0.42605,   -0.05445,    0.20311,    5.46039,Segment:  13
   0.82013,    0.64730,    0.35805,    0.43423,   -0.05257,    0.24900,    5.45586,Segment:  14
   0.83316,    0.65196,    0.69553,    0.44238,   -0.05030,    0.29489,    5.37809,Segment:  15
   0.84617,    0.66102,    1.03980,    0.45050,   -0.04763,    0.34027,    5.23178,Segment:  16
   0.85913,    0.67449,    1.52400,    0.45859,   -0.04456,    0.38468,    5.02487,Segment:  17
   0.88463,    0.71336,    1.52400,    0.47470,   -0.03722,    0.46894,    4.47147,Segment:  18
   0.90967,    0.75151,    1.52400,    0.49072,   -0.02830,    0.54493,    3.80788,Segment:  19
   0.93442,    0.78924,    1.52400,    0.50668,   -0.01787,    0.61089,    3.11288,Segment:  20
   0.95898,    0.82666,    1.52400,    0.52260,   -0.00603,    0.66586,    2.43746,Segment:  21
