#======= TRAJECTORY BEGIN: moves from coral station 1 to branch A
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    16.205       1.395       2.094       0.000      -0.000      -0.000       2.000
#--------Waypoint:    15.595       2.057       2.042       0.878       0.197      -0.052       0.200
#--------Waypoint:    15.258       3.846       3.142       2.596      -0.405       1.047       0.200
#--------Waypoint:    14.551       3.862       3.142       2.963       0.199       1.047       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.28600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,   16.20452,    1.39508,    2.09440,   -0.00000,Segment:  1
   0.29665,    0.45210,    1.52400,   16.17057,    1.45291,    2.11566,    0.61008,Segment:  2
   0.41597,    0.63394,    1.52400,   16.13559,    1.50745,    2.17191,    1.11877,Segment:  3
   0.50351,    0.76735,    1.52400,   16.09896,    1.55665,    2.25406,    1.54473,Segment:  4
   0.54034,    0.82348,    1.52400,   16.07994,    1.57893,    2.30173,    1.70195,Segment:  5
   0.57384,    0.87454,    1.52400,   16.06043,    1.59963,    2.35170,    1.80069,Segment:  6
   0.60466,    0.92150,    1.52400,   16.04047,    1.61879,    2.40206,    1.82523,Segment:  7
   0.63329,    0.96513,    1.52400,   16.02007,    1.63650,    2.45074,    1.76453,Segment:  8
   0.68552,    1.04473,    1.52400,   15.97820,    1.66814,    2.53485,    1.38140,Segment:  9
   0.73285,    1.11687,    1.52400,   15.93531,    1.69603,    2.58943,    0.71201,Segment:  10
   0.77674,    1.18375,    0.68227,   15.89204,    1.72203,    2.60493,   -0.11246,Segment:  11
   0.81873,    1.21240,   -1.52400,   15.84905,    1.74818,    2.57809,   -0.94228,Segment:  12
   0.86171,    1.14691,   -1.52400,   15.80703,    1.77654,    2.51219,   -1.61515,Segment:  13
   0.88449,    1.11219,   -1.52400,   15.78657,    1.79213,    2.46752,   -1.84178,Segment:  14
   0.90837,    1.07579,   -0.38592,   15.76656,    1.80894,    2.41742,   -1.97525,Segment:  15
   0.93328,    1.06618,    0.59576,   15.74706,    1.82714,    2.36404,   -2.01102,Segment:  16
   0.95874,    1.08135,    1.51701,   15.72811,    1.84685,    2.30962,   -1.95498,Segment:  17
   0.98431,    1.12013,    1.52400,   15.70972,    1.86815,    2.25632,   -1.82195,Segment:  18
   1.00979,    1.15897,    1.52400,   15.69192,    1.89110,    2.20607,   -1.63159,Segment:  19
   1.06070,    1.23656,    1.52400,   15.65798,    1.94176,    2.12083,   -1.15384,Segment:  20
   1.11139,    1.31380,    1.52400,   15.62595,    1.99790,    2.06347,   -0.61795,Segment:  21
