#======= TRAJECTORY BEGIN: moves from R9 to coral station 2
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    12.275       5.383       2.094       0.000       0.000       0.000       0.200
#--------Waypoint:    12.877       6.288      -1.326       0.482      -0.973       2.862       0.000
#--------Waypoint:    16.160       6.728       0.140      -0.778      -4.036      -1.955       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.82880  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.27000  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.82880,   12.27506,    5.38340,    2.09440,   -0.95805,Segment:  1
   0.29401,    0.53769,    1.82880,   12.23836,    5.45340,    2.00991,   -1.18978,Segment:  2
   0.35745,    0.65371,    1.82880,   12.22309,    5.48797,    1.96244,   -1.32460,Segment:  3
   0.40976,    0.74937,    1.82880,   12.20994,    5.52223,    1.91118,   -1.47151,Segment:  4
   0.45488,    0.83188,    0.23182,   12.19895,    5.55617,    1.85592,   -1.62885,Segment:  5
   0.49638,    0.84150,   -0.89050,   12.19016,    5.58976,    1.79652,   -1.79346,Segment:  6
   0.53752,    0.80486,   -0.74850,   12.18362,    5.62299,    1.73295,   -1.96046,Segment:  7
   0.57950,    0.77344,   -0.60473,   12.17936,    5.65584,    1.66528,   -2.12299,Segment:  8
   0.62226,    0.74759,   -0.45934,   12.17744,    5.68830,    1.59376,   -2.27238,Segment:  9
   0.66571,    0.72763,   -0.31246,   12.17790,    5.72035,    1.51881,   -2.39877,Segment:  10
   0.70977,    0.71386,   -0.16424,   12.18077,    5.75198,    1.44105,   -2.49217,Segment:  11
   0.75431,    0.70655,   -0.01479,   12.18611,    5.78315,    1.36126,   -2.54404,Segment:  12
   0.79920,    0.70588,    0.13574,   12.19395,    5.81387,    1.28038,   -2.54883,Segment:  13
   0.84430,    0.71200,    0.28726,   12.20434,    5.84411,    1.19943,   -2.50518,Segment:  14
   0.88947,    0.72498,    0.43965,   12.21733,    5.87385,    1.11943,   -2.41631,Segment:  15
   0.93457,    0.74481,    0.59282,   12.23295,    5.90309,    1.04135,   -2.28936,Segment:  16
   0.97948,    0.77143,    0.74666,   12.25125,    5.93179,    0.96598,   -2.13409,Segment:  17
   1.02407,    0.80472,    0.90111,   12.27227,    5.95995,    0.89399,   -1.96114,Segment:  18
   1.06825,    0.84454,    1.05607,   12.29606,    5.98755,    0.82582,   -1.78059,Segment:  19
   1.11196,    0.89069,    1.21148,   12.32266,    6.01457,    0.76174,   -1.60084,Segment:  20
   1.15512,    0.94298,    1.36728,   12.35212,    6.04099,    0.70186,   -1.42823,Segment:  21
   1.19769,    1.00119,    1.52340,   12.38447,    6.06681,    0.64615,   -1.26698,Segment:  22
   1.23965,    1.06512,    1.67979,   12.41976,    6.09199,    0.59449,   -1.11946,Segment:  23
   1.28099,    1.13456,    1.82880,   12.45803,    6.11653,    0.54669,   -0.98662,Segment:  24
   1.36188,    1.28249,    1.82880,   12.54371,    6.16360,    0.46172,   -0.76412,Segment:  25
   1.44133,    1.42778,    1.82880,   12.64184,    6.20789,    0.38922,   -0.59280,Segment:  26
   1.52026,    1.57213,    1.82880,   12.75277,    6.24925,    0.32721,   -0.46266,Segment:  27
   1.55972,    1.64430,    1.82880,   12.81315,    6.26880,    0.29957,   -0.40999,Segment:  28
   1.59924,    1.71658,    1.82880,   12.87686,    6.28757,    0.27390,   -0.36416,Segment:  29
   1.63885,    1.78902,    1.82880,   12.94392,    6.30555,    0.25073,   -0.30580,Segment:  30
   1.67853,    1.86157,    1.82880,   13.01425,    6.32278,    0.23039,   -0.25797,Segment:  31
   1.71823,    1.93418,    1.82880,   13.08777,    6.33931,    0.21249,   -0.21848,Segment:  32
   1.75793,    2.00677,    1.82880,   13.16436,    6.35519,    0.19673,   -0.18561,Segment:  33
   1.79758,    2.07930,    1.82880,   13.24393,    6.37046,    0.18285,   -0.15805,Segment:  34
