#======= TRAJECTORY BEGIN: moves from mid coral station 2 to R9
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    16.160       6.657      -3.089      -0.000       0.000       0.000       2.000
#--------Waypoint:    13.472       6.461      -1.326       2.694       0.055       1.763       0.000
#--------Waypoint:    12.133       5.301      -0.942       4.092       1.143       2.147       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.82880  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.82880,   16.15973,    6.65670,   -3.08923,   -0.13617,Segment:  1
   0.26393,    0.48267,    1.82880,   16.09611,    6.65363,   -3.09697,   -0.10786,Segment:  2
   0.37665,    0.68881,    1.82880,   16.03015,    6.65090,   -3.10329,   -0.08442,Segment:  3
   0.46530,    0.85094,    1.82880,   15.96194,    6.64847,   -3.10836,   -0.06477,Segment:  4
   0.54173,    0.99072,    1.82880,   15.89159,    6.64627,   -3.11231,   -0.04810,Segment:  5
   0.61046,    1.11641,    1.82880,   15.81921,    6.64427,   -3.11526,   -0.03378,Segment:  6
   0.67377,    1.23219,    1.82880,   15.74489,    6.64239,   -3.11730,   -0.02134,Segment:  7
   0.73298,    1.34048,    1.82880,   15.66874,    6.64059,   -3.11850,   -0.01039,Segment:  8
   0.78895,    1.44284,    1.82880,   15.59087,    6.63881,   -3.11892,   -0.00065,Segment:  9
   0.84226,    1.54033,    1.82880,   15.51137,    6.63700,   -3.11861,    0.00814,Segment:  10
   0.89333,    1.63372,    1.82880,   15.43036,    6.63510,   -3.11762,    0.01617,Segment:  11
   0.94245,    1.72355,    1.82880,   15.34792,    6.63306,   -3.11598,    0.02359,Segment:  12
   0.98986,    1.81026,    1.82880,   15.26418,    6.63083,   -3.11371,    0.03054,Segment:  13
   1.03575,    1.89418,    1.82880,   15.17922,    6.62834,   -3.11083,    0.03712,Segment:  14
   1.08026,    1.97557,    1.82880,   15.09315,    6.62555,   -3.10736,    0.04344,Segment:  15
   1.12349,    2.05465,    1.82880,   15.00608,    6.62239,   -3.10330,    0.04958,Segment:  16
   1.16556,    2.13157,    1.82880,   14.91811,    6.61882,   -3.09867,    0.05561,Segment:  17
   1.20653,    2.20650,    1.82880,   14.82934,    6.61478,   -3.09346,    0.06160,Segment:  18
   1.24647,    2.27954,    1.82880,   14.73987,    6.61022,   -3.08768,    0.06761,Segment:  19
   1.28543,    2.35079,    1.82880,   14.64981,    6.60507,   -3.08130,    0.07369,Segment:  20
   1.32346,    2.42035,    1.10916,   14.55927,    6.59929,   -3.07434,    0.07989,Segment:  21
   1.36081,    2.46177,   -0.15603,   14.46833,    6.59283,   -3.06676,    0.08628,Segment:  22
   1.39802,    2.45596,   -0.16116,   14.37712,    6.58562,   -3.05857,    0.09291,Segment:  23
   1.43542,    2.44993,   -0.16753,   14.28572,    6.57761,   -3.04973,    0.09982,Segment:  24
   1.47298,    2.44364,   -0.17513,   14.19425,    6.56875,   -3.04023,    0.10707,Segment:  25
   1.51067,    2.43704,   -0.18399,   14.10280,    6.55898,   -3.03003,    0.11471,Segment:  26
   1.54845,    2.43009,   -0.19415,   14.01149,    6.54825,   -3.01912,    0.12280,Segment:  27
   1.58630,    2.42274,   -0.20566,   13.92040,    6.53651,   -3.00745,    0.13141,Segment:  28
   1.62419,    2.41495,   -0.21855,   13.82966,    6.52369,   -2.99499,    0.14060,Segment:  29
   1.66209,    2.40667,   -0.23288,   13.73935,    6.50975,   -2.98170,    0.15043,Segment:  30
   1.69998,    2.39784,   -0.24871,   13.64958,    6.49463,   -2.96753,    0.16097,Segment:  31
   1.73785,    2.38842,   -0.26607,   13.56046,    6.47827,   -2.95244,    0.17231,Segment:  32
   1.77566,    2.37836,   -0.14141,   13.47209,    6.46062,   -2.93636,    0.18453,Segment:  33
   1.81335,    2.37303,   -0.17903,   13.38459,    6.44164,   -2.91956,    0.19104,Segment:  34
   1.85083,    2.36632,   -0.83967,   13.29812,    6.42134,   -2.90224,    0.19928,Segment:  35
   1.88823,    2.33492,   -1.82880,   13.21289,    6.39973,   -2.88429,    0.20945,Segment:  36
   1.92600,    2.26585,   -1.82880,   13.12908,    6.37685,   -2.86557,    0.22182,Segment:  37
