#======= TRAJECTORY BEGIN: moves from mid coral station 1 to R11
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    16.160       1.395       2.234       0.000       0.000       0.000       2.000
#--------Waypoint:    13.571       1.481      -1.361       1.661       1.987       2.688       0.000
#--------Waypoint:    12.417       2.586       1.065       3.243       2.216      -1.169       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,   16.15973,    1.39508,    2.23402,    1.91963,Segment:  1
   0.26073,    0.23842,    0.91440,   16.13987,    1.41899,    2.29396,    1.93272,Segment:  2
   0.36800,    0.33650,    0.91440,   16.11878,    1.44149,    2.35347,    1.92315,Segment:  3
   0.45007,    0.41155,    0.91440,   16.09650,    1.46261,    2.41209,    1.89185,Segment:  4
   0.51929,    0.47484,    0.91440,   16.07306,    1.48239,    2.46939,    1.84088,Segment:  5
   0.58045,    0.53076,    0.91440,   16.04847,    1.50086,    2.52500,    1.77319,Segment:  6
   0.63604,    0.58159,    0.67945,   16.02277,    1.51805,    2.57861,    1.69222,Segment:  7
   0.68806,    0.61694,    0.38835,   15.99599,    1.53400,    2.62998,    1.60162,Segment:  8
   0.73833,    0.63646,    0.45069,   15.96814,    1.54874,    2.67893,    1.50488,Segment:  9
   0.78759,    0.65866,    0.51412,   15.93927,    1.56230,    2.72535,    1.40514,Segment:  10
   0.83581,    0.68345,    0.61255,   15.90939,    1.57473,    2.76919,    1.30506,Segment:  11
   0.92886,    0.74045,    0.74993,   15.84675,    1.59628,    2.84916,    1.11186,Segment:  12
   1.01749,    0.80692,    0.89850,   15.78042,    1.61367,    2.91924,    0.93624,Segment:  13
   1.10164,    0.88252,    0.91440,   15.71063,    1.62716,    2.98017,    0.78270,Segment:  14
   1.18181,    0.95583,    0.91440,   15.63760,    1.63702,    3.03286,    0.65159,Segment:  15
   1.25882,    1.02625,    0.91440,   15.56156,    1.64353,    3.07823,    0.54108,Segment:  16
   1.33325,    1.09431,    0.91440,   15.48272,    1.64694,    3.11715,    0.44845,Segment:  17
   1.40547,    1.16035,    0.91440,   15.40130,    1.64754,   -3.13279,    0.37081,Segment:  18
   1.47574,    1.22461,    0.91440,   15.31752,    1.64558,   -3.10454,    0.30545,Segment:  19
   1.54423,    1.28723,    0.91440,   15.23161,    1.64134,   -3.08072,    0.25004,Segment:  20
   1.61105,    1.34833,    0.91440,   15.14379,    1.63508,   -3.06085,    0.20259,Segment:  21
   1.67627,    1.40796,    0.91440,   15.05426,    1.62707,   -3.04454,    0.16143,Segment:  22
   1.73993,    1.46618,    0.91440,   14.96327,    1.61758,   -3.03147,    0.12519,Segment:  23
   1.80207,    1.52300,    0.91440,   14.87102,    1.60689,   -3.02138,    0.09275,Segment:  24
   1.86269,    1.57843,    0.91440,   14.77773,    1.59525,   -3.01407,    0.06313,Segment:  25
   1.92180,    1.63248,    0.91440,   14.68363,    1.58294,   -3.00941,    0.03552,Segment:  26
   1.97940,    1.68515,    0.91440,   14.58894,    1.57023,   -3.00728,    0.00918,Segment:  27
   2.03547,    1.73642,    0.34353,   14.49388,    1.55738,   -3.00763,   -0.01652,Segment:  28
   2.09049,    1.75532,   -0.91440,   14.39867,    1.54467,   -3.01045,   -0.04223,Segment:  29
   2.14595,    1.70461,   -0.91440,   14.30352,    1.53235,   -3.01576,   -0.06854,Segment:  30
   2.20288,    1.65255,   -0.91440,   14.20867,    1.52071,   -3.02361,   -0.09609,Segment:  31
   2.26128,    1.59915,   -0.91440,   14.11432,    1.51001,   -3.03412,   -0.12554,Segment:  32
   2.32115,    1.54441,   -0.91440,   14.02070,    1.50051,   -3.04741,   -0.15761,Segment:  33
   2.38249,    1.48832,   -0.91440,   13.92804,    1.49250,   -3.06369,   -0.19312,Segment:  34
