#======= TRAJECTORY BEGIN: moves from B1 to R20 (said reef 20 so I asumed it meant right)
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.480       4.826       3.107       0.000       0.000       0.000       2.000
#--------Waypoint:     5.131       5.466      -1.885       2.370      -0.557       1.292       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,   -1.79668,Segment:  1
   0.26405,    0.24145,    0.91440,    0.03187,   -0.00087,   -0.05291,   -1.53114,Segment:  2
   0.37718,    0.34489,    0.91440,    0.06493,   -0.00342,   -0.09982,   -1.30547,Segment:  3
   0.54394,    0.49738,    0.91440,    0.13446,   -0.01330,   -0.17835,   -0.95489,Segment:  4
   0.67881,    0.62070,    0.91440,    0.20819,   -0.02908,   -0.24037,   -0.70678,Segment:  5
   0.79783,    0.72954,    0.91440,    0.28572,   -0.05022,   -0.28959,   -0.52961,Segment:  6
   0.90686,    0.82923,    0.91440,    0.36664,   -0.07615,   -0.32879,   -0.40080,Segment:  7
   1.00868,    0.92234,    0.91440,    0.45055,   -0.10631,   -0.36003,   -0.30501,Segment:  8
   1.10481,    1.01024,    0.91440,    0.53706,   -0.14016,   -0.38480,   -0.23187,Segment:  9
   1.19616,    1.09377,    0.91440,    0.62576,   -0.17714,   -0.40421,   -0.17438,Segment:  10
   1.28328,    1.17343,    0.91440,    0.71625,   -0.21669,   -0.41904,   -0.12766,Segment:  11
   1.36652,    1.24955,    0.91440,    0.80814,   -0.25825,   -0.42987,   -0.08827,Segment:  12
   1.44612,    1.32233,    0.91440,    0.90101,   -0.30127,   -0.43710,   -0.05364,Segment:  13
   1.52222,    1.39191,    0.91440,    0.99448,   -0.34519,   -0.44097,   -0.02172,Segment:  14
   1.59490,    1.45838,   -0.12731,    1.08813,   -0.38946,   -0.44162,    0.00921,Segment:  15
   1.66596,    1.44933,   -0.91440,    1.18157,   -0.43352,   -0.43905,    0.04077,Segment:  16
   1.73828,    1.38320,   -0.91440,    1.27440,   -0.47682,   -0.43317,    0.07469,Segment:  17
   1.81312,    1.31477,   -0.91440,    1.36621,   -0.51879,   -0.42375,    0.11292,Segment:  18
   1.89041,    1.24409,   -0.91440,    1.45661,   -0.55888,   -0.41043,    0.15796,Segment:  19
