#======= TRAJECTORY BEGIN: moves from 20 to 13 (assuming R20 to station 13)
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.131       5.466       0.977       0.000       0.000       0.000       2.000
#--------Waypoint:     3.492       6.307       2.833      -0.219       1.829       1.856       0.200
#--------Waypoint:     1.389       6.657       2.147      -1.105       3.768       1.169       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,    1.56039,Segment:  1
   0.25828,    0.23617,    0.91440,    0.03049,    0.00076,    0.05071,    1.77026,Segment:  2
   0.36095,    0.33005,    0.91440,    0.05947,    0.00301,    0.10546,    2.00140,Segment:  3
   0.43699,    0.39958,    0.91440,    0.08696,    0.00672,    0.16439,    2.25115,Segment:  4
   0.49899,    0.45627,    0.21410,    0.11299,    0.01188,    0.22757,    2.51429,Segment:  5
   0.55403,    0.46806,   -0.38499,    0.13757,    0.01843,    0.29493,    2.78255,Segment:  6
   0.60750,    0.44747,   -0.31085,    0.16072,    0.02636,    0.36626,    3.04444,Segment:  7
   0.66135,    0.43073,   -0.23706,    0.18247,    0.03564,    0.44116,    3.28568,Segment:  8
   0.71546,    0.41791,   -0.16367,    0.20284,    0.04624,    0.51904,    3.49046,Segment:  9
   0.76966,    0.40904,   -0.09074,    0.22184,    0.05812,    0.59912,    3.64353,Segment:  10
   0.82381,    0.40412,   -0.01833,    0.23950,    0.07126,    0.68046,    3.73266,Segment:  11
   0.87773,    0.40313,    0.05347,    0.25585,    0.08563,    0.76204,    3.75099,Segment:  12
   0.93124,    0.40600,    0.12461,    0.27089,    0.10120,    0.84282,    3.69830,Segment:  13
   0.98418,    0.41259,    0.19500,    0.28466,    0.11794,    0.92181,    3.58097,Segment:  14
   1.03641,    0.42278,    0.26456,    0.29716,    0.13581,    0.99818,    3.41051,Segment:  15
   1.08781,    0.43638,    0.33319,    0.30843,    0.15480,    1.07124,    3.20128,Segment:  16
   1.13827,    0.45319,    0.40080,    0.31849,    0.17486,    1.14051,    2.96816,Segment:  17
   1.18772,    0.47301,    0.46729,    0.32735,    0.19598,    1.20570,    2.72463,Segment:  18
   1.23611,    0.49562,    0.53254,    0.33503,    0.21812,    1.26669,    2.48171,Segment:  19
   1.28340,    0.52080,    0.59646,    0.34156,    0.24125,    1.32349,    2.24749,Segment:  20
   1.32958,    0.54835,    0.65891,    0.34696,    0.26534,    1.37623,    2.02735,Segment:  21
   1.37466,    0.57805,    0.71976,    0.35125,    0.29036,    1.42508,    1.82435,Segment:  22
   1.41865,    0.60971,    0.80806,    0.35445,    0.31629,    1.47028,    1.63981,Segment:  23
   1.50335,    0.67815,    0.91440,    0.35766,    0.37074,    1.55076,    1.32553,Segment:  24
   1.58405,    0.75195,    0.91440,    0.35675,    0.42844,    1.61974,    1.07727,Segment:  25
   1.66142,    0.82270,    0.91440,    0.35191,    0.48916,    1.67917,    0.88340,Segment:  26
   1.73621,    0.89109,    0.91440,    0.34328,    0.55266,    1.73071,    0.73242,Segment:  27
   1.80889,    0.95754,    0.91440,    0.33105,    0.61872,    1.77577,    0.61455,Segment:  28
   1.87974,    1.02232,    0.91440,    0.31538,    0.68708,    1.81548,    0.52207,Segment:  29
   1.94894,    1.08561,    0.91440,    0.29643,    0.75751,    1.85078,    0.44905,Segment:  30
   2.01662,    1.14749,    0.91440,    0.27438,    0.82979,    1.88242,    0.39102,Segment:  31
   2.08284,    1.20804,    0.91440,    0.24939,    0.90366,    1.91103,    0.34463,Segment:  32
   2.14764,    1.26729,    0.91440,    0.22162,    0.97890,    1.93712,    0.30736,Segment:  33
   2.21104,    1.32527,    0.91440,    0.19125,    1.05527,    1.96110,    0.27733,Segment:  34
   2.27305,    1.38197,    0.91440,    0.15844,    1.13253,    1.98332,    0.25313,Segment:  35
   2.33366,    1.43739,    0.91440,    0.12336,    1.21045,    2.00409,    0.23368,Segment:  36
   2.39287,    1.49153,    0.91440,    0.08618,    1.28878,    2.02365,    0.21817,Segment:  37
   2.45066,    1.54437,    0.91440,    0.04706,    1.36729,    2.04223,    0.20601,Segment:  38
   2.50700,    1.59590,    0.91440,    0.00617,    1.44575,    2.06003,    0.19675,Segment:  39
   2.56189,    1.64609,    0.91440,   -0.03631,    1.52392,    2.07722,    0.19007,Segment:  40
   2.61529,    1.69491,    0.91440,   -0.08024,    1.60156,    2.09396,    0.18576,Segment:  41
   2.66717,    1.74236,    0.91440,   -0.12542,    1.67843,    2.11042,    0.18369,Segment:  42
   2.71752,    1.78839,    0.41853,   -0.17171,    1.75431,    2.12673,    0.18385,Segment:  43
   2.76662,    1.80895,    0.91440,   -0.21893,    1.82895,    2.14306,    0.18629,Segment:  44
   2.81443,    1.85266,   -0.44051,   -0.26691,    1.90216,    2.15851,    0.16650,Segment:  45
   2.86148,    1.83194,   -0.91440,   -0.31547,    1.97396,    2.17206,    0.14597,Segment:  46
   2.90887,    1.78861,   -0.91440,   -0.36441,    2.04440,    2.18367,    0.12462,Segment:  47
   2.95689,    1.74470,   -0.91440,   -0.41356,    2.11355,    2.19331,    0.10233,Segment:  48
   3.00556,    1.70019,   -0.91440,   -0.46271,    2.18147,    2.20092,    0.07891,Segment:  49
   3.05491,    1.65507,   -0.91440,   -0.51169,    2.24821,    2.20644,    0.05415,Segment:  50
   3.10494,    1.60932,   -0.91440,   -0.56030,    2.31384,    2.20980,    0.02780,Segment:  51
   3.15569,    1.56291,   -0.91440,   -0.60835,    2.37842,    2.21091,   -0.00046,Segment:  52
   3.20718,    1.51584,   -0.91440,   -0.65566,    2.44200,    2.20969,   -0.03100,Segment:  53
   3.25942,    1.46806,   -0.91440,   -0.70204,    2.50465,    2.20600,   -0.06427,Segment:  54
   3.31246,    1.41956,   -0.91440,   -0.74730,    2.56643,    2.19970,   -0.10078,Segment:  55
   3.36634,    1.37030,   -0.91440,   -0.79125,    2.62739,    2.19065,   -0.14109,Segment:  56
   3.42111,    1.32022,   -0.91440,   -0.83370,    2.68760,    2.17864,   -0.18589,Segment:  57
   3.47682,    1.26927,   -0.91440,   -0.87447,    2.74712,    2.16346,   -0.23591,Segment:  58
   3.53358,    1.21737,   -0.91440,   -0.91336,    2.80600,    2.14488,   -0.29194,Segment:  59
   3.59149,    1.16442,   -0.91440,   -0.95019,    2.86431,    2.12263,   -0.35482,Segment:  60
   3.65071,    1.11027,   -0.91440,   -0.98477,    2.92211,    2.09641,   -0.42536,Segment:  61
   3.71144,    1.05474,   -0.91440,   -1.01690,    2.97946,    2.06591,   -0.50426,Segment:  62
   3.83859,    0.93847,   -0.91440,   -1.07310,    3.09303,    1.99079,   -0.68837,Segment:  63
   3.90593,    0.87690,   -0.78700,   -1.09679,    3.14938,    1.94557,   -0.79277,Segment:  64
   3.97630,    0.82151,   -0.64236,   -1.11728,    3.20552,    1.89493,   -0.90326,Segment:  65
   4.04966,    0.77439,   -0.51368,   -1.13439,    3.26150,    1.83874,   -1.01655,Segment:  66
   4.12585,    0.73525,   -0.39642,   -1.14793,    3.31739,    1.77706,   -1.12764,Segment:  67
   4.20465,    0.70401,   -0.28726,   -1.15770,    3.37325,    1.71015,   -1.22993,Segment:  68
   4.28581,    0.68070,   -0.18372,   -1.16353,    3.42914,    1.63852,   -1.31563,Segment:  69
   4.36902,    0.66541,   -0.11123,   -1.16523,    3.48512,    1.56298,   -1.37677,Segment:  70
   4.45406,    0.65596,   -0.91440,   -1.16259,    3.54124,    1.48460,   -1.40672,Segment:  71
