#======= TRAJECTORY BEGIN: moves from 13 to 20 (assuming R20 from station 13)
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.389       6.657      -0.785       0.000       0.000       0.000       2.000
#--------Waypoint:     3.492       6.307       2.833       1.735       1.240      -2.664       0.200
#--------Waypoint:     5.131       5.466      -2.059       3.488       1.804      -1.274       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,    0.94437,Segment:  1
   0.36764,    0.33617,    0.91440,    0.06177,    0.00182,    0.05938,    0.97510,Segment:  2
   0.51741,    0.47312,    0.91440,    0.12213,    0.00722,    0.11905,    0.99133,Segment:  3
   0.63112,    0.57710,    0.91440,    0.18118,    0.01607,    0.17835,    0.99199,Segment:  4
   0.72634,    0.66417,    0.91440,    0.23901,    0.02824,    0.23662,    0.97712,Segment:  5
   0.80999,    0.74065,    0.91440,    0.29571,    0.04364,    0.29324,    0.94779,Segment:  6
   0.88565,    0.80984,    0.49229,    0.35138,    0.06212,    0.34767,    0.90596,Segment:  7
   0.95669,    0.84481,    0.44865,    0.40610,    0.08359,    0.39944,    0.85413,Segment:  8
   1.02540,    0.87563,    0.55971,    0.45996,    0.10791,    0.44821,    0.79506,Segment:  9
   1.09204,    0.91294,    0.68382,    0.51306,    0.13497,    0.49371,    0.73142,Segment:  10
   1.15648,    0.95700,    0.90909,    0.56549,    0.16465,    0.53580,    0.66561,Segment:  11
   1.27791,    1.06739,    0.91440,    0.66871,    0.23139,    0.60951,    0.53505,Segment:  12
   1.39119,    1.17098,    0.91440,    0.77034,    0.30718,    0.66951,    0.41406,Segment:  13
   1.44555,    1.22069,    0.91440,    0.82079,    0.34818,    0.69461,    0.35879,Segment:  14
   1.49868,    1.26926,    0.91440,    0.87112,    0.39108,    0.71661,    0.30730,Segment:  15
   1.55071,    1.31684,    0.91440,    0.92142,    0.43577,    0.73565,    0.25959,Segment:  16
   1.60179,    1.36355,    0.91440,    0.97179,    0.48213,    0.75189,    0.21552,Segment:  17
   1.65200,    1.40946,    0.91440,    1.02231,    0.53004,    0.76546,    0.17489,Segment:  18
   1.70144,    1.45467,    0.91440,    1.07307,    0.57938,    0.77649,    0.13744,Segment:  19
   1.75016,    1.49921,    0.91440,    1.12417,    0.63004,    0.78512,    0.10290,Segment:  20
   1.79821,    1.54315,    0.91440,    1.17570,    0.68189,    0.79146,    0.07100,Segment:  21
