#======= TRAJECTORY BEGIN: moves from between Red 2 blue side robot starting line to reef F
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.163       1.942       3.142       0.000       0.000       0.000       0.200
#--------Waypoint:     5.774       2.230       2.094       1.389      -0.288      -1.047       0.200
#--------Waypoint:     5.377       2.817       2.094       1.786      -0.875      -1.047       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.03200  m/s
#--------Maximum Acceleration:      0.76200  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.03200  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.03200  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.76200,    7.16280,    1.94203,    3.14159,   -0.00000,Segment:  1
   0.52858,    0.40278,    0.76200,    7.05635,    1.94139,   -3.12419,    0.29635,Segment:  2
   0.74790,    0.56990,    0.76200,    6.94976,    1.93753,   -3.08439,    0.42442,Segment:  3
   0.91647,    0.69835,    0.76200,    6.84321,    1.92895,   -3.03833,    0.41792,Segment:  4
   1.05842,    0.80652,    0.76200,    6.73722,    1.91574,   -2.99865,    0.31064,Segment:  5
   1.18257,    0.90112,    0.06810,    6.63251,    1.89922,   -2.97486,    0.12594,Segment:  6
   1.29751,    0.90895,   -0.76200,    6.52998,    1.88170,   -2.97443,   -0.13193,Segment:  7
   1.41387,    0.82028,   -0.76200,    6.43058,    1.86616,   -3.00424,   -0.48066,Segment:  8
   1.53787,    0.72579,   -0.76200,    6.33528,    1.85588,   -3.07162,   -0.95232,Segment:  9
   1.60334,    0.67590,   -0.76200,    6.28944,    1.85377,   -3.12178,   -1.24057,Segment:  10
   1.67181,    0.62373,   -0.76200,    6.24495,    1.85422,    3.09926,   -1.55770,Segment:  11
   1.74428,    0.56851,   -0.53813,    6.20188,    1.85760,    3.02489,   -1.88613,Segment:  12
   1.82111,    0.52716,   -0.38068,    6.16032,    1.86425,    2.93887,   -2.19362,Segment:  13
   1.86101,    0.51197,   -0.28628,    6.14011,    1.86889,    2.89199,   -2.32570,Segment:  14
   1.90167,    0.50033,   -0.19691,    6.12030,    1.87446,    2.84296,   -2.43516,Segment:  15
   1.94293,    0.49221,   -0.11090,    6.10089,    1.88097,    2.79221,   -2.51622,Segment:  16
   1.98464,    0.48758,   -0.02683,    6.08188,    1.88846,    2.74024,   -2.56419,Segment:  17
   2.02664,    0.48645,    0.05661,    6.06326,    1.89695,    2.68759,   -2.57608,Segment:  18
   2.06876,    0.48884,    0.14071,    6.04505,    1.90644,    2.63487,   -2.55101,Segment:  19
   2.11082,    0.49476,    0.22682,    6.02723,    1.91695,    2.58267,   -2.49035,Segment:  20
   2.15265,    0.50424,    0.31652,    6.00981,    1.92848,    2.53155,   -2.39752,Segment:  21
   2.19407,    0.51736,    0.41175,    5.99278,    1.94103,    2.48205,   -2.27754,Segment:  22
   2.23493,    0.53418,    0.51504,    5.97612,    1.95460,    2.43461,   -2.13635,Segment:  23
   2.27505,    0.55484,    0.62987,    5.95984,    1.96916,    2.38962,   -1.98018,Segment:  24
   2.31429,    0.57956,    0.76200,    5.94391,    1.98471,    2.34738,   -1.81490,Segment:  25
   2.38964,    0.63698,    0.76200,    5.91309,    2.01863,    2.27199,   -1.47647,Segment:  26
   2.46145,    0.69170,    0.76200,    5.88351,    2.05606,    2.20947,   -1.14930,Segment:  27
   2.59689,    0.79490,    0.76200,    5.82740,    2.13965,    2.12434,   -0.56164,Segment:  28
   2.72206,    0.89028,    0.35985,    5.77375,    2.23045,    2.09440,    0.00000,Segment:  29
   2.83608,    0.93131,   -0.76200,    5.72113,    2.31998,    2.11703,    0.41396,Segment:  30
   2.94123,    0.85119,   -0.76200,    5.67052,    2.39885,    2.17028,    0.70066,Segment:  31
   3.04211,    0.77432,   -0.76200,    5.62227,    2.46514,    2.22885,    0.63470,Segment:  32
   3.14378,    0.69684,   -0.76200,    5.57551,    2.52351,    2.25553,    0.00000,Segment:  33
   3.25827,    0.60960,   -0.43011,    5.52875,    2.58187,    2.22885,   -0.63470,Segment:  34
   3.39985,    0.54871,   -0.76200,    5.48050,    2.64817,    2.17028,   -0.70066,Segment:  35
   3.59786,    0.39782,   -0.76200,    5.42988,    2.72704,    2.11703,   -0.41396,Segment:  36
   4.11994,    0.00000,   -0.76200,    5.37726,    2.81656,    2.09440,    0.00000,Segment:  37
#======= TRAJECTORY END: moves from between Red 2 blue side robot starting line to reef F
