#======= TRAJECTORY BEGIN: Move from BLUE Reef F to source 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.377       2.817      -1.047       0.000       0.000       0.000       0.100
#--------Waypoint:     5.436       1.961      -2.217       0.770      -0.376      -1.169       0.500
#--------Waypoint:     2.421       1.788      -3.023      -0.588      -3.075      -1.975       0.400
#--------Waypoint:     1.344       1.333      -2.199      -0.732      -4.235      -1.152       0.900
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.28600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    5.37726,    2.81656,   -1.04720,  122.75463,Segment:  1
   0.03476,    0.05297,    1.52400,    5.37775,    2.81578,   -0.97781,   47.07970,Segment:  2
   0.05274,    0.08037,    1.52400,    5.37844,    2.81481,   -0.93916,   22.25999,Segment:  3
   0.08370,    0.12756,    1.52400,    5.38041,    2.81225,   -0.89927,    6.94752,Segment:  4
   0.14002,    0.21339,    1.52400,    5.38652,    2.80485,   -0.87134,    1.08300,Segment:  5
   0.24485,    0.37315,    1.52400,    5.40640,    2.78140,   -0.86926,   -0.31947,Segment:  6
   0.43521,    0.66326,    1.52400,    5.46833,    2.70461,   -0.91881,   -0.59164,Segment:  7
   0.52145,    0.79468,    1.52400,    5.50549,    2.65391,   -0.95873,   -0.68081,Segment:  8
   0.60167,    0.91694,    1.52400,    5.54354,    2.59676,   -1.00957,   -0.80666,Segment:  9
   0.67582,    1.02995,    1.52400,    5.58003,    2.53449,   -1.07409,   -0.99174,Segment:  10
   0.74389,    1.13369,    0.66096,    5.61253,    2.46841,   -1.15656,   -1.26451,Segment:  11
   0.77606,    1.15495,   -1.52400,    5.62653,    2.43435,   -1.20634,   -1.44497,Segment:  12
   0.80841,    1.10565,   -1.52400,    5.63861,    2.39984,   -1.26301,   -1.66117,Segment:  13
   0.84190,    1.05462,   -1.52400,    5.64848,    2.36504,   -1.32760,   -1.91663,Segment:  14
   0.87661,    1.00171,   -1.52400,    5.65582,    2.33012,   -1.40116,   -2.21160,Segment:  15
   0.91272,    0.94668,   -1.52400,    5.66034,    2.29523,   -1.48467,   -2.53972,Segment:  16
   0.93140,    0.91822,   -1.45496,    5.66145,    2.27785,   -1.53038,   -2.71132,Segment:  17
   0.95054,    0.89037,   -1.26942,    5.66173,    2.26055,   -1.57881,   -2.88357,Segment:  18
   0.97016,    0.86547,   -1.07949,    5.66116,    2.24333,   -1.62993,   -3.05190,Segment:  19
   0.99024,    0.84379,   -0.88540,    5.65969,    2.22623,   -1.68370,   -3.21074,Segment:  20
   1.01077,    0.82561,   -0.68735,    5.65728,    2.20927,   -1.73998,   -3.35368,Segment:  21
   1.03172,    0.81121,   -0.48556,    5.65390,    2.19245,   -1.79857,   -3.47382,Segment:  22
   1.05307,    0.80085,   -0.28021,    5.64951,    2.17581,   -1.85918,   -3.56433,Segment:  23
   1.07478,    0.79476,   -0.07147,    5.64407,    2.15937,   -1.92145,   -3.61910,Segment:  24
   1.09680,    0.79319,    0.14047,    5.63755,    2.14315,   -1.98494,   -3.63348,Segment:  25
   1.11911,    0.79632,    0.35547,    5.62990,    2.12716,   -2.04917,   -3.60494,Segment:  26
   1.14164,    0.80433,    0.57337,    5.62108,    2.11142,   -2.11361,   -3.53351,Segment:  27
   1.16435,    0.81735,    0.79402,    5.61107,    2.09597,   -2.17772,   -3.42181,Segment:  28
   1.18719,    0.83549,    1.01731,    5.59981,    2.08082,   -2.24098,   -3.27486,Segment:  29
   1.21012,    0.85881,    1.24310,    5.58728,    2.06598,   -2.30292,   -3.09941,Segment:  30
   1.23308,    0.88736,    1.47127,    5.57343,    2.05148,   -2.36311,   -2.90321,Segment:  31
   1.25604,    0.92113,    1.52400,    5.55823,    2.03735,   -2.42122,   -2.69421,Segment:  32
   1.27900,    0.95613,    1.52400,    5.54164,    2.02359,   -2.47698,   -2.47982,Segment:  33
   1.30204,    0.99124,    1.52400,    5.52361,    2.01024,   -2.53019,   -2.26646,Segment:  34
   1.32522,    1.02657,    1.52400,    5.50412,    1.99731,   -2.58076,   -2.05929,Segment:  35
   1.34862,    1.06222,    1.52400,    5.48312,    1.98482,   -2.62862,   -1.86212,Segment:  36
   1.37227,    1.09826,    1.52400,    5.46058,    1.97280,   -2.67379,   -1.67749,Segment:  37
   1.39622,    1.13476,    1.52400,    5.43646,    1.96126,   -2.71632,   -1.50689,Segment:  38
   1.44508,    1.20923,    1.52400,    5.38342,    1.93967,   -2.78997,   -1.09686,Segment:  39
   1.49506,    1.28541,    1.52400,    5.32424,    1.92002,   -2.84894,   -0.81557,Segment:  40
   1.54593,    1.36293,    1.52400,    5.25929,    1.90221,   -2.89681,   -0.61944,Segment:  41
   1.59743,    1.44141,    1.52400,    5.18889,    1.88615,   -2.93617,   -0.47988,Segment:  42
   1.64932,    1.52049,    1.52400,    5.11340,    1.87176,   -2.96891,   -0.37848,Segment:  43
   1.70140,    1.59986,    1.52400,    5.03317,    1.85894,   -2.99644,   -0.30327,Segment:  44
   1.75347,    1.67922,    1.52400,    4.94854,    1.84761,   -3.01978,   -0.24639,Segment:  45
