#======= TRAJECTORY BEGIN: source 12 to Branch B
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.389       1.395       0.942       0.000       0.000       0.000       0.400
#--------Waypoint:     1.885       2.154       0.349       0.905       0.044      -0.593       0.100
#--------Waypoint:     1.885       3.769       0.000       2.212       0.994      -0.942       0.200
#--------Waypoint:     2.997       3.862       0.000       2.941       0.148      -0.942       0.900
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.28600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    1.38863,    1.39508,    0.94248,   -7.40808,Segment:  1
   0.13121,    0.19996,    1.52400,    1.39678,    1.40536,    0.86247,   -4.97873,Segment:  2
   0.19002,    0.28958,    1.52400,    1.40648,    1.41599,    0.80363,   -3.32594,Segment:  3
   0.28098,    0.42822,    1.52400,    1.43010,    1.43853,    0.73083,   -1.41283,Segment:  4
   0.42882,    0.65353,    1.52400,    1.49118,    1.49015,    0.69152,    0.08506,Segment:  5
   0.55791,    0.85026,    1.52400,    1.56499,    1.55318,    0.73087,    0.64013,Segment:  6
   0.61820,    0.94213,    1.52400,    1.60452,    1.59000,    0.77018,    0.80560,Segment:  7
   0.67629,    1.03067,    1.52400,    1.64467,    1.63089,    0.82020,    0.93361,Segment:  8
   0.73257,    1.11644,    1.52400,    1.68457,    1.67626,    0.87979,    1.03320,Segment:  9
   0.78739,    1.19999,    1.52400,    1.72337,    1.72653,    0.94788,    1.10639,Segment:  10
   0.84111,    1.28185,    1.52400,    1.76020,    1.78208,    1.02333,    1.15160,Segment:  11
   0.89410,    1.36261,    0.90724,    1.79421,    1.84334,    1.10475,    1.16610,Segment:  12
   0.94738,    1.41095,    0.47615,    1.82455,    1.91071,    1.19046,    1.14830,Segment:  13
   0.97458,    1.42390,    0.65391,    1.83807,    1.94681,    1.23436,    1.12751,Segment:  14
   1.00230,    1.44203,    0.83079,    1.85034,    1.98460,    1.27861,    1.09933,Segment:  15
   1.03050,    1.46546,    1.00770,    1.86127,    2.02411,    1.32299,    1.06446,Segment:  16
   1.05913,    1.49430,    1.18529,    1.87075,    2.06540,    1.36724,    1.02376,Segment:  17
   1.08814,    1.52869,    1.36403,    1.87866,    2.10853,    1.41115,    0.97822,Segment:  18
   1.11748,    1.56871,    1.52400,    1.88490,    2.15354,    1.45449,    0.92895,Segment:  19
   1.17689,    1.65925,    1.52400,    1.89227,    2.24914,    1.52869,    0.64057,Segment:  20
   1.23678,    1.75052,    1.52400,    1.89361,    2.35123,    1.58332,    0.44320,Segment:  21
   1.29658,    1.84166,    1.52400,    1.89000,    2.45859,    1.62296,    0.30328,Segment:  22
   1.35574,    1.93182,    1.32345,    1.88253,    2.56996,    1.65070,    0.19883,Segment:  23
   1.41391,    2.00880,   -1.52400,    1.87227,    2.68411,    1.66855,    0.11544,Segment:  24
   1.47314,    1.91854,   -1.52400,    1.86031,    2.79979,    1.67769,    0.04304,Segment:  25
   1.53549,    1.82351,   -1.52400,    1.84773,    2.91578,    1.67868,   -0.02624,Segment:  26
   1.60071,    1.72411,   -1.52400,    1.83560,    3.03083,    1.67148,   -0.09978,Segment:  27
   1.66850,    1.62081,   -1.52400,    1.82502,    3.14370,    1.65546,   -0.18599,Segment:  28
   1.73851,    1.51411,   -1.52400,    1.81706,    3.25316,    1.62933,   -0.29623,Segment:  29
   1.81038,    1.40458,   -1.52400,    1.81280,    3.35795,    1.59084,   -0.44775,Segment:  30
   1.88371,    1.29283,   -1.52400,    1.81333,    3.45685,    1.53649,   -0.66828,Segment:  31
   1.95812,    1.17942,   -1.52400,    1.81972,    3.54861,    1.46091,   -1.00306,Segment:  32
   1.99566,    1.12221,   -1.52400,    1.82545,    3.59143,    1.41280,   -1.23400,Segment:  33
   2.03341,    1.06468,   -1.52400,    1.83306,    3.63200,    1.35619,   -1.52121,Segment:  34
   2.07141,    1.00677,   -1.52400,    1.84267,    3.67017,    1.28963,   -1.87508,Segment:  35
   2.10977,    0.94831,   -1.52400,    1.85443,    3.70578,    1.21159,   -2.30195,Segment:  36
   2.12915,    0.91878,   -1.52400,    1.86115,    3.72257,    1.16781,   -2.54194,Segment:  37
   2.14871,    0.88897,   -1.52400,    1.86846,    3.73867,    1.12064,   -2.79691,Segment:  38
   2.16850,    0.85880,   -1.52400,    1.87637,    3.75405,    1.06997,   -3.06268,Segment:  39
   2.18860,    0.82818,   -0.50551,    1.88490,    3.76870,    1.01578,   -3.33293,Segment:  40
   2.20882,    0.81796,   -0.30055,    1.89407,    3.78259,    0.95956,   -3.41676,Segment:  41
   2.22894,    0.81191,   -0.09684,    1.90385,    3.79575,    0.90307,   -3.46784,Segment:  42
   2.24891,    0.80998,    0.10575,    1.91423,    3.80818,    0.84670,   -3.48442,Segment:  43
   2.26871,    0.81207,    0.30741,    1.92520,    3.81991,    0.79084,   -3.46648,Segment:  44
   2.28830,    0.81809,    0.50832,    1.93674,    3.83094,    0.73585,   -3.41563,Segment:  45
   2.30765,    0.82793,    0.70870,    1.94883,    3.84131,    0.68206,   -3.33497,Segment:  46
   2.32673,    0.84145,    0.90883,    1.96145,    3.85102,    0.62977,   -3.22866,Segment:  47
   2.34551,    0.85852,    1.10900,    1.97458,    3.86009,    0.57921,   -3.10156,Segment:  48
   2.36397,    0.87899,    1.30955,    1.98822,    3.86854,    0.53059,   -2.95875,Segment:  49
   2.38209,    0.90272,    1.52400,    2.00233,    3.87638,    0.48404,   -2.80521,Segment:  50
   2.41729,    0.95636,    1.52400,    2.03193,    3.89031,    0.39750,   -2.48354,Segment:  51
   2.45132,    1.00823,    1.52400,    2.06325,    3.90202,    0.31982,   -2.16542,Segment:  52
   2.48448,    1.05877,    1.52400,    2.09614,    3.91163,    0.25078,   -1.86898,Segment:  53
   2.51694,    1.10824,    1.52400,    2.13047,    3.91929,    0.18983,   -1.60323,Segment:  54
   2.54882,    1.15682,    1.52400,    2.16610,    3.92513,    0.13626,   -1.37071,Segment:  55
   2.58017,    1.20460,    1.52400,    2.20288,    3.92927,    0.08933,   -1.17018,Segment:  56
   2.61103,    1.25162,    1.52400,    2.24069,    3.93186,    0.04834,   -0.99842,Segment:  57
   2.67124,    1.34338,    0.18733,    2.31880,    3.93289,   -0.01840,   -0.72551,Segment:  58
   2.73099,    1.35458,   -1.52400,    2.39933,    3.92929,   -0.06827,   -0.52171,Segment:  59
   2.79386,    1.25877,   -1.52400,    2.48117,    3.92212,   -0.10433,   -0.36205,Segment:  60
   2.86232,    1.15444,   -1.52400,    2.56319,    3.91245,   -0.12854,   -0.22690,Segment:  61
   2.93690,    1.04077,   -1.52400,    2.64430,    3.90134,   -0.14192,   -0.09937,Segment:  62
