#======= TRAJECTORY BEGIN: moves from between B2 cage robot starting line to reef F
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    10.467       6.115       0.000       0.000       0.000       0.000       0.200
#--------Waypoint:    11.667       5.788      -0.524       1.199      -0.327      -0.524       0.200
#--------Waypoint:    12.171       5.235      -1.047       1.703      -0.879      -1.047       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.03200  m/s
#--------Maximum Acceleration:      1.14300  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.03200  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.01600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.03200  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.14300,   10.46737,    6.11452,    0.00000,   -0.46344,Segment:  1
   0.40235,    0.45989,    1.14300,   10.55986,    6.11255,   -0.04237,   -0.45226,Segment:  2
   0.56685,    0.64791,    1.14300,   10.65080,    6.10683,   -0.08307,   -0.44109,Segment:  3
   0.69156,    0.79045,    1.14300,   10.74001,    6.09764,   -0.12214,   -0.43031,Segment:  4
   0.79535,    0.90908,    1.14300,   10.82734,    6.08524,   -0.15965,   -0.42027,Segment:  5
   0.88552,    1.01215,    1.14300,   10.91259,    6.06993,   -0.19566,   -0.41129,Segment:  6
   0.96581,    1.10393,    1.14300,   10.99563,    6.05197,   -0.23027,   -0.40366,Segment:  7
   1.03842,    1.18691,    1.14300,   11.07626,    6.03164,   -0.26358,   -0.39771,Segment:  8
   1.10473,    1.26271,    1.14300,   11.15433,    6.00922,   -0.29571,   -0.39376,Segment:  9
   1.16573,    1.33243,    1.14300,   11.22968,    5.98498,   -0.32680,   -0.39220,Segment:  10
   1.22208,    1.39684,    1.14300,   11.30212,    5.95920,   -0.35699,   -0.39352,Segment:  11
   1.27427,    1.45649,   -0.66806,   11.37150,    5.93216,   -0.38645,   -0.39833,Segment:  12
   1.32417,    1.42316,   -1.14300,   11.43765,    5.90412,   -0.41536,   -0.40748,Segment:  13
   1.37365,    1.36661,   -1.14300,   11.50039,    5.87538,   -0.44395,   -0.42217,Segment:  14
   1.42294,    1.31026,   -1.14300,   11.55957,    5.84620,   -0.47248,   -0.44413,Segment:  15
   1.52015,    1.19916,   -1.14300,   11.66655,    5.78764,   -0.53073,   -0.52168,Segment:  16
   1.61448,    1.09134,   -1.14300,   11.75793,    5.73002,   -0.59842,   -0.73917,Segment:  17
   1.70779,    0.98468,   -1.14300,   11.83576,    5.67235,   -0.68024,   -0.94466,Segment:  18
   1.75524,    0.93045,   -1.14300,   11.87044,    5.64300,   -0.72490,   -1.01630,Segment:  19
   1.80407,    0.87463,   -1.14300,   11.90276,    5.61304,   -0.77063,   -1.05219,Segment:  20
   1.85515,    0.81625,   -1.14300,   11.93305,    5.58226,   -0.81608,   -1.04500,Segment:  21
   1.90963,    0.75397,   -1.14300,   11.96166,    5.55046,   -0.85983,   -0.99329,Segment:  22
   2.03594,    0.60960,    0.00000,   12.01520,    5.48300,   -0.93709,   -0.78196,Segment:  23
   2.18320,    0.60960,   -0.66494,   12.06608,    5.40906,   -0.99487,   -0.50561,Segment:  24
   2.35839,    0.49311,   -1.14300,   12.11705,    5.32700,   -1.03090,   -0.25321,Segment:  25
   2.78981,    0.00000,   -1.14300,   12.17084,    5.23524,   -1.04720,   -0.06897,Segment:  26
#======= TRAJECTORY END: moves from between B2 cage robot starting line to reef F
