#======= TRAJECTORY BEGIN: Move from Branch I to Source 1
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    12.171       5.235       2.129       0.000       0.000       0.000       0.200
#--------Waypoint:    12.797       5.980      -1.501       0.299      -0.926       2.653       0.200
#--------Waypoint:    15.436       6.153       0.000      -0.952      -3.256      -2.129       0.200
#--------Waypoint:    16.205       6.718       0.942      -0.880      -4.207      -1.187       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.28600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,   12.17084,    5.23524,    2.12930,  -40.87110,Segment:  1
   0.04623,    0.07045,    1.52400,   12.17002,    5.23664,    2.07031,  -32.14916,Segment:  2
   0.06670,    0.10165,    1.52400,   12.16921,    5.23821,    2.01968,  -25.71219,Segment:  3
   0.09802,    0.14938,    1.52400,   12.16767,    5.24183,    1.93712,  -17.25442,Segment:  4
   0.12444,    0.18964,    1.52400,   12.16621,    5.24606,    1.87216,  -12.26667,Segment:  5
   0.14858,    0.22644,    1.52400,   12.16485,    5.25090,    1.81905,   -9.16299,Segment:  6
   0.19331,    0.29460,    1.52400,   12.16250,    5.26231,    1.73521,   -5.76051,Segment:  7
   0.23533,    0.35865,    1.52400,   12.16073,    5.27592,    1.66910,   -4.08803,Segment:  8
   0.27568,    0.42014,    1.52400,   12.15964,    5.29159,    1.61290,   -3.16774,Segment:  9
   0.31479,    0.47973,    1.52400,   12.15936,    5.30919,    1.56247,   -2.61829,Segment:  10
   0.35288,    0.53779,    1.52400,   12.15999,    5.32856,    1.51538,   -2.27023,Segment:  11
   0.39011,    0.59452,    1.52400,   12.16164,    5.34957,    1.47015,   -2.04012,Segment:  12
   0.42655,    0.65007,    1.52400,   12.16443,    5.37208,    1.42578,   -1.88326,Segment:  13
   0.46229,    0.70453,    1.52400,   12.16846,    5.39594,    1.38161,   -1.77400,Segment:  14
   0.49737,    0.75799,    1.52400,   12.17384,    5.42102,    1.33715,   -1.69661,Segment:  15
   0.53185,    0.81054,    1.52400,   12.18070,    5.44718,    1.29207,   -1.64093,Segment:  16
   0.56578,    0.86225,    1.52400,   12.18913,    5.47428,    1.24611,   -1.59996,Segment:  17
   0.59921,    0.91319,    1.52400,   12.19926,    5.50217,    1.19912,   -1.56863,Segment:  18
   0.63218,    0.96344,    1.52400,   12.21119,    5.53071,    1.15099,   -1.54310,Segment:  19
   0.66475,    1.01307,    1.52400,   12.22503,    5.55977,    1.10170,   -1.52030,Segment:  20
   0.69697,    1.06218,    1.52400,   12.24089,    5.58920,    1.05123,   -1.49775,Segment:  21
   0.72891,    1.11085,    1.52400,   12.25890,    5.61887,    0.99968,   -1.47338,Segment:  22
