#======= TRAJECTORY BEGIN: RED feeder to Reef B
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    16.205       6.718       4.084       0.000      -0.000       0.000       0.400
#--------Waypoint:    15.635       6.038       3.491       0.886      -0.061      -0.593       0.100
#--------Waypoint:    15.655       4.172       2.793       2.383       1.052      -1.292       0.200
#--------Waypoint:    14.551       4.190       3.142       3.017       0.148      -0.942       0.900
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.54000  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,   16.20452,    6.71836,   -2.19911,  -11.66610,Segment:  1
   0.09138,    0.13927,    1.52400,   16.20060,    6.71335,   -2.26790,   -9.97841,Segment:  2
   0.13049,    0.19887,    1.52400,   16.19620,    6.70841,   -2.32866,   -8.43312,Segment:  3
   0.16144,    0.24604,    1.52400,   16.19133,    6.70354,   -2.38188,   -7.06568,Segment:  4
   0.18836,    0.28706,    1.52400,   16.18601,    6.69873,   -2.42819,   -5.88253,Segment:  5
   0.23559,    0.35904,    1.52400,   16.17409,    6.68921,   -2.50277,   -4.01938,Segment:  6
   0.27780,    0.42337,    1.52400,   16.16055,    6.67975,   -2.55744,   -2.69375,Segment:  7
   0.35416,    0.53975,    1.52400,   16.12913,    6.66064,   -2.62275,   -1.06895,Segment:  8
   0.42418,    0.64645,    1.52400,   16.09276,    6.64059,   -2.64676,   -0.18471,Segment:  9
   0.55244,    0.84191,    1.52400,   16.00918,    6.59451,   -2.61475,    0.71674,Segment:  10
   0.61214,    0.93291,    1.52400,   15.96397,    6.56689,   -2.56914,    0.99078,Segment:  11
   0.66950,    1.02032,    1.52400,   15.91781,    6.53515,   -2.50727,    1.20778,Segment:  12
   0.72493,    1.10479,    1.52400,   15.87171,    6.49850,   -2.43085,    1.37727,Segment:  13
   0.75206,    1.14615,    1.52400,   15.84899,    6.47808,   -2.38774,    1.44316,Segment:  14
   0.77890,    1.18704,    1.52400,   15.82667,    6.45614,   -2.34171,    1.49488,Segment:  15
   0.80549,    1.22757,    1.52400,   15.80486,    6.43257,   -2.29307,    1.53102,Segment:  16
   0.83193,    1.26786,    0.43073,   15.78369,    6.40728,   -2.24220,    1.55032,Segment:  17
   0.85857,    1.27934,    0.24927,   15.76329,    6.38016,   -2.18951,    1.55190,Segment:  18
   0.88585,    1.28614,    0.51450,   15.74377,    6.35112,   -2.13544,    1.53554,Segment:  19
   0.91380,    1.30052,    0.77501,   15.72528,    6.32006,   -2.08048,    1.50176,Segment:  20
   0.94236,    1.32265,    1.03354,   15.70792,    6.28687,   -2.02512,    1.45193,Segment:  21
   0.97143,    1.35270,    1.29195,   15.69183,    6.25146,   -1.96985,    1.38814,Segment:  22
   1.00095,    1.39083,    1.52400,   15.67713,    6.21373,   -1.91514,    1.31306,Segment:  23
   1.03085,    1.43639,    1.52400,   15.66395,    6.17358,   -1.86139,    1.22969,Segment:  24
   1.06113,    1.48255,    1.52400,   15.65242,    6.13091,   -1.80899,    1.14113,Segment:  25
   1.09190,    1.52944,    1.52400,   15.64265,    6.08562,   -1.75823,    1.05027,Segment:  26
   1.12322,    1.57718,    1.52400,   15.63477,    6.03760,   -1.70935,    0.95970,Segment:  27
   1.18757,    1.67524,    1.52400,   15.62483,    5.93344,   -1.62829,    0.62225,Segment:  28
   1.25351,    1.77573,    1.52400,   15.62181,    5.81970,   -1.57043,    0.41294,Segment:  29
   1.32011,    1.87723,    1.52400,   15.62453,    5.69808,   -1.52913,    0.27641,Segment:  30
   1.35339,    1.92795,    1.52400,   15.62769,    5.63485,   -1.51331,    0.22515,Segment:  31
   1.38651,    1.97843,    1.52400,   15.63184,    5.57028,   -1.50019,    0.18167,Segment:  32
   1.41940,    2.02854,    1.52400,   15.63686,    5.50459,   -1.48949,    0.14407,Segment:  33
   1.45195,    2.07815,    0.85778,   15.64258,    5.43799,   -1.48099,    0.11085,Segment:  34
   1.48426,    2.10587,   -1.52400,   15.64887,    5.37070,   -1.47453,    0.08082,Segment:  35
   1.51699,    2.05599,   -1.52400,   15.65558,    5.30292,   -1.46999,    0.05295,Segment:  36
   1.55068,    2.00464,   -1.52400,   15.66257,    5.23487,   -1.46728,    0.02637,Segment:  37
   1.58530,    1.95188,   -1.52400,   15.66969,    5.16676,   -1.46637,    0.00028,Segment:  38
   1.62079,    1.89778,   -1.52400,   15.67679,    5.09881,   -1.46724,   -0.02609,Segment:  39
   1.65713,    1.84241,   -1.52400,   15.68373,    5.03121,   -1.46994,   -0.05357,Segment:  40
   1.69425,    1.78584,   -1.52400,   15.69037,    4.96420,   -1.47452,   -0.08301,Segment:  41
   1.73211,    1.72814,   -1.52400,   15.69656,    4.89797,   -1.48110,   -0.11545,Segment:  42
   1.77065,    1.66941,   -1.52400,   15.70215,    4.83274,   -1.48983,   -0.15210,Segment:  43
   1.80980,    1.60974,   -1.52400,   15.70700,    4.76873,   -1.50091,   -0.19451,Segment:  44
   1.88968,    1.48800,   -1.52400,   15.71390,    4.64520,   -1.53133,   -0.30510,Segment:  45
   1.97114,    1.36385,   -1.52400,   15.71610,    4.52906,   -1.57565,   -0.47225,Segment:  46
   2.05345,    1.23841,   -1.52400,   15.71243,    4.42203,   -1.63927,   -0.74254,Segment:  47
   2.09469,    1.17557,   -1.52400,   15.70803,    4.37245,   -1.68091,   -0.94172,Segment:  48
   2.13584,    1.11285,   -1.52400,   15.70173,    4.32579,   -1.73111,   -1.20514,Segment:  49
   2.17683,    1.05038,   -1.52400,   15.69339,    4.28224,   -1.79187,   -1.55582,Segment:  50
   2.21761,    0.98824,   -1.52400,   15.68285,    4.24204,   -1.86568,   -2.02194,Segment:  51
   2.23792,    0.95728,   -1.52400,   15.67671,    4.22325,   -1.90839,   -2.30747,Segment:  52
   2.25820,    0.92637,   -1.52400,   15.66997,    4.20538,   -1.95548,   -2.63186,Segment:  53
   2.27847,    0.89548,   -1.52400,   15.66261,    4.18845,   -2.00736,   -2.99609,Segment:  54
   2.29876,    0.86456,   -1.36689,   15.65461,    4.17248,   -2.06439,   -3.39818,Segment:  55
   2.31910,    0.83676,   -1.09344,   15.64596,    4.15750,   -2.12519,   -3.62770,Segment:  56
   2.33946,    0.81450,   -0.82234,   15.63667,    4.14349,   -2.18792,   -3.82873,Segment:  57
   2.35980,    0.79777,   -0.55338,   15.62676,    4.13043,   -2.25210,   -3.99099,Segment:  58
   2.38008,    0.78655,   -0.28630,   15.61624,    4.11829,   -2.31720,   -4.10567,Segment:  59
   2.40024,    0.78078,   -0.02082,   15.60514,    4.10704,   -2.38264,   -4.16660,Segment:  60
   2.42024,    0.78036,    0.24340,   15.59347,    4.09667,   -2.44780,   -4.17105,Segment:  61
   2.44003,    0.78517,    0.50675,   15.58125,    4.08716,   -2.51208,   -4.12004,Segment:  62
   2.45956,    0.79507,    0.76968,   15.56850,    4.07847,   -2.57494,   -4.01811,Segment:  63
   2.47879,    0.80987,    1.03272,   15.55523,    4.07059,   -2.63589,   -3.87258,Segment:  64
   2.49768,    0.82939,    1.29651,   15.54147,    4.06349,   -2.69452,   -3.69248,Segment:  65
   2.51622,    0.85342,    1.52400,   15.52722,    4.05715,   -2.75053,   -3.48749,Segment:  66
   2.53436,    0.88107,    1.52400,   15.51251,    4.05155,   -2.80370,   -3.26696,Segment:  67
   2.55216,    0.90820,    1.52400,   15.49736,    4.04665,   -2.85391,   -3.03923,Segment:  68
   2.56967,    0.93488,    1.52400,   15.48178,    4.04244,   -2.90111,   -2.81123,Segment:  69
   2.60401,    0.98721,    1.52400,   15.44942,    4.03600,   -2.98657,   -2.37446,Segment:  70
   2.63767,    1.03851,    1.52400,   15.41556,    4.03202,   -3.06067,   -1.98295,Segment:  71
   2.67081,    1.08901,    1.52400,   15.38035,    4.03033,   -3.12445,   -1.64584,Segment:  72
   2.70350,    1.13884,    1.52400,   15.34393,    4.03073,    3.10414,   -1.36204,Segment:  73
   2.73578,    1.18804,    1.52400,   15.30644,    4.03304,    3.05758,   -1.12560,Segment:  74
   2.79904,    1.28444,    1.34856,   15.22883,    4.04262,    2.98461,   -0.76482,Segment:  75
   2.86055,    1.36739,   -1.52400,   15.14866,    4.05757,    2.93330,   -0.50783,Segment:  76
   2.92405,    1.27062,   -1.52400,   15.06704,    4.07640,    2.89930,   -0.31217,Segment:  77
   2.99354,    1.16473,   -1.52400,   14.98513,    4.09758,    2.88000,   -0.14679,Segment:  78
   3.06945,    1.04904,   -1.52400,   14.90405,    4.11963,    2.87435,    0.01396,Segment:  79
   3.15259,    0.92233,   -1.52400,   14.82494,    4.14104,    2.88270,    0.19728,Segment:  80
   3.24460,    0.78211,   -1.52400,   14.74894,    4.16031,    2.90709,    0.44138,Segment:  81
   3.34916,    0.62276,   -1.52400,   14.67717,    4.17594,    2.95189,    0.81245,Segment:  82
   3.47712,    0.42775,   -1.52400,   14.61078,    4.18641,    3.02524,    1.43903,Segment:  83
   3.56246,    0.29768,   -1.52400,   14.57995,    4.18925,    3.07680,    1.92080,Segment:  84
   3.75779,    0.00000,   -1.52400,   14.55090,    4.19024,    3.14159,    2.57667,Segment:  85
#======= TRAJECTORY END: RED feeder to Reef B
