#======= TRAJECTORY BEGIN: starts at red Center, moves to R10 reef
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     9.980       3.923       0.000       0.000       0.000       0.000       1.200
#--------Waypoint:    11.567       3.923       0.000       1.587       0.000       0.000       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          0.60960  m/s
#--------Maximum Acceleration:      0.45720  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          0.60960  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          0.60960  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.45720,    9.98006,    3.92252,    0.00000,    0.00001,Segment:  1
   0.57816,    0.26434,    0.45720,   10.05648,    3.92252,    0.00000,    0.00001,Segment:  2
   0.82525,    0.37730,    0.45720,   10.13575,    3.92252,    0.00000,    0.00001,Segment:  3
   1.02003,    0.46636,    0.45720,   10.21791,    3.92252,    0.00000,    0.00000,Segment:  4
   1.18857,    0.54342,    0.43326,   10.30301,    3.92252,    0.00000,    0.00000,Segment:  5
   1.34133,    0.60960,    0.00000,   10.39107,    3.92252,    0.00000,    0.00000,Segment:  6
   1.49074,    0.60960,    0.00000,   10.48215,    3.92252,    0.00000,    0.00000,Segment:  7
   1.64514,    0.60960,   -0.00000,   10.57627,    3.92252,    0.00000,   -0.00000,Segment:  8
   1.80460,    0.60960,   -0.00000,   10.67348,    3.92252,    0.00000,   -0.00000,Segment:  9
   1.96920,    0.60960,   -0.00000,   10.77382,    3.92252,    0.00000,   -0.00000,Segment:  10
   2.13898,    0.60960,   -0.00000,   10.87732,    3.92252,    0.00000,   -0.00000,Segment:  11
   2.31401,    0.60960,   -0.00000,   10.98402,    3.92252,    0.00000,   -0.00000,Segment:  12
   2.49436,    0.60960,   -0.18848,   11.09396,    3.92252,    0.00000,   -0.00000,Segment:  13
   2.68576,    0.57353,   -0.45720,   11.20718,    3.92252,    0.00000,   -0.00000,Segment:  14
   2.90878,    0.47156,   -0.45720,   11.32372,    3.92252,    0.00000,   -0.00000,Segment:  15
   3.20580,    0.33576,   -0.45720,   11.44362,    3.92252,    0.00000,   -0.00000,Segment:  16
   3.94019,    0.00000,   -0.45720,   11.56691,    3.92252,   -0.00000,   -0.00000,Segment:  17
#======= TRAJECTORY END: starts at red Center, moves to R10 reef
