#======= TRAJECTORY BEGIN: moves from blue cage 2 to branch I
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.302       6.288      -3.142       0.000       0.000       0.000       0.200
#--------Waypoint:     5.714       5.807      -2.094       1.587       0.481       1.047       0.200
#--------Waypoint:     5.377       5.235      -2.094       1.924       1.052       1.047       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.76200  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.76200,    7.30152,    6.28757,   -3.14159,    0.00000,Segment:  1
   0.57132,    0.43535,    0.76200,    7.17716,    6.28801,    3.13159,   -0.14331,Segment:  2
   0.80760,    0.61539,    0.76200,    7.05305,    6.29053,    3.10996,   -0.19086,Segment:  3
   0.98808,    0.75292,    0.76200,    6.92969,    6.29586,    3.08755,   -0.16039,Segment:  4
   1.13881,    0.86777,    0.76200,    6.80778,    6.30345,    3.07315,   -0.06495,Segment:  5
   1.26948,    0.96734,    0.00670,    6.68817,    6.31178,    3.07402,    0.08999,Segment:  6
   1.38995,    0.96815,   -0.76200,    6.57179,    6.31859,    3.09649,    0.30794,Segment:  7
   1.51173,    0.87536,   -0.76200,    6.45957,    6.32115,   -3.13665,    0.59832,Segment:  8
   1.64162,    0.77638,   -0.76200,    6.35239,    6.31652,   -3.05364,    0.96281,Segment:  9
   1.71067,    0.72377,   -0.75675,    6.30094,    6.31060,   -2.99862,    1.16372,Segment:  10
   1.78346,    0.66868,   -0.52655,    6.25103,    6.30182,   -2.93455,    1.36334,Segment:  11
   1.86019,    0.62828,   -0.33627,    6.20273,    6.28987,   -2.86208,    1.54434,Segment:  12
   1.94009,    0.60141,   -0.16867,    6.15607,    6.27447,   -2.78253,    1.68541,Segment:  13
   2.02224,    0.58755,   -0.01214,    6.11111,    6.25541,   -2.69795,    1.76584,Segment:  14
   2.10562,    0.58654,    0.14249,    6.06786,    6.23250,   -2.61102,    1.77194,Segment:  15
   2.18915,    0.59844,    0.30438,    6.02630,    6.20563,   -2.52473,    1.70216,Segment:  16
   2.27172,    0.62357,    0.48538,    5.98641,    6.17474,   -2.44200,    1.56772,Segment:  17
   2.35223,    0.66265,    0.70474,    5.94812,    6.13988,   -2.36533,    1.38827,Segment:  18
   2.42962,    0.71719,    0.76200,    5.91137,    6.10115,   -2.29658,    1.18515,Segment:  19
   2.50365,    0.77361,    0.76200,    5.87603,    6.05877,   -2.23698,    0.97587,Segment:  20
   2.57487,    0.82787,    0.76200,    5.84196,    6.01304,   -2.18723,    0.77134,Segment:  21
   2.71026,    0.93104,    0.47219,    5.77687,    5.91334,   -2.11871,    0.38731,Segment:  22
   2.83875,    0.99171,   -0.76200,    5.71423,    5.80687,   -2.09440,    0.00000,Segment:  23
   2.94098,    0.91381,   -0.76200,    5.66545,    5.72256,   -2.09728,   -0.05613,Segment:  24
   3.04141,    0.83729,   -0.76200,    5.62103,    5.64668,   -2.10405,   -0.09520,Segment:  25
   3.13725,    0.76425,   -0.76200,    5.58176,    5.58073,   -2.11154,   -0.08729,Segment:  26
   3.23304,    0.69126,   -0.76200,    5.54575,    5.52105,   -2.11497,   -0.00000,Segment:  27
   3.34021,    0.60960,   -0.58092,    5.50973,    5.46137,   -2.11154,    0.08729,Segment:  28
   3.47473,    0.53145,   -0.76200,    5.47046,    5.39542,   -2.10405,    0.09520,Segment:  29
   3.66656,    0.38528,   -0.76200,    5.42605,    5.31954,   -2.09728,    0.05613,Segment:  30
   4.17218,    0.00000,   -0.76200,    5.37726,    5.23524,   -2.09440,   -0.00000,Segment:  31
#======= TRAJECTORY END: moves from blue cage 2 to branch I
