#======= TRAJECTORY BEGIN: moves from Branch I to Coral Station 13
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.377       5.235       1.047       0.000       0.000       0.000       0.200
#--------Waypoint:     5.159       6.018       2.967       0.569       0.581       1.920       0.200
#--------Waypoint:     2.440       6.326       2.199      -0.524       3.089       1.152       0.200
#--------Waypoint:     1.344       6.718       2.199      -0.732       4.235       1.152       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.28600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    5.37726,    5.23524,    1.04720,   -0.17389,Segment:  1
   0.40182,    0.61237,    1.52400,    5.43877,    5.34179,    1.05778,    0.34426,Segment:  2
   0.56596,    0.86252,    1.52400,    5.49474,    5.44911,    1.13513,    0.97755,Segment:  3
   0.62973,    0.95971,    1.52400,    5.51755,    5.50256,    1.20412,    1.41792,Segment:  4
   0.65851,    1.00357,   -0.18013,    5.52711,    5.52914,    1.24784,    1.68323,Segment:  5
   0.68615,    0.99859,   -1.52400,    5.53525,    5.55559,    1.29846,    1.98164,Segment:  6
   0.71388,    0.95634,   -1.52400,    5.54179,    5.58188,    1.35656,    2.31169,Segment:  7
   0.74229,    0.91304,   -1.52400,    5.54660,    5.60800,    1.42261,    2.66647,Segment:  8
   0.77156,    0.86843,   -1.51869,    5.54951,    5.63391,    1.49690,    3.03114,Segment:  9
   0.80195,    0.82227,   -1.19076,    5.55037,    5.65959,    1.57935,    3.38101,Segment:  10
   0.81764,    0.80359,   -0.97884,    5.54998,    5.67234,    1.62350,    3.54001,Segment:  11
   0.83362,    0.78795,   -0.77025,    5.54902,    5.68502,    1.66943,    3.68193,Segment:  12
   0.84987,    0.77544,   -0.56409,    5.54747,    5.69762,    1.71700,    3.80175,Segment:  13
   0.86637,    0.76613,   -0.35960,    5.54531,    5.71016,    1.76598,    3.89469,Segment:  14
   0.88310,    0.76011,   -0.15613,    5.54252,    5.72262,    1.81613,    3.95658,Segment:  15
   0.90003,    0.75747,    0.04686,    5.53909,    5.73499,    1.86718,    3.98424,Segment:  16
   0.91713,    0.75827,    0.24987,    5.53498,    5.74729,    1.91881,    3.97582,Segment:  17
   0.93438,    0.76258,    0.45331,    5.53019,    5.75950,    1.97071,    3.93101,Segment:  18
   0.95174,    0.77045,    0.65754,    5.52469,    5.77161,    2.02253,    3.85111,Segment:  19
   0.96918,    0.78192,    0.86287,    5.51847,    5.78364,    2.07396,    3.73894,Segment:  20
   0.98669,    0.79702,    1.06958,    5.51150,    5.79557,    2.12468,    3.59860,Segment:  21
   1.00421,    0.81577,    1.27789,    5.50376,    5.80740,    2.17442,    3.43509,Segment:  22
   1.02174,    0.83817,    1.48804,    5.49525,    5.81913,    2.22292,    3.25393,Segment:  23
   1.03925,    0.86422,    1.52400,    5.48593,    5.83076,    2.26997,    3.06074,Segment:  24
   1.05674,    0.89087,    1.52400,    5.47578,    5.84227,    2.31541,    2.86085,Segment:  25
   1.07425,    0.91756,    1.52400,    5.46480,    5.85368,    2.35911,    2.65908,Segment:  26
   1.10950,    0.97129,    1.52400,    5.44022,    5.87614,    2.44098,    2.26549,Segment:  27
   1.14529,    1.02583,    1.52400,    5.41204,    5.89811,    2.51528,    1.90333,Segment:  28
   1.18181,    1.08148,    1.52400,    5.38011,    5.91958,    2.58217,    1.58447,Segment:  29
   1.21920,    1.13847,    1.52400,    5.34426,    5.94051,    2.64207,    1.31218,Segment:  30
   1.25757,    1.19695,    1.52400,    5.30435,    5.96088,    2.69554,    1.08438,Segment:  31
   1.29699,    1.25702,    1.52400,    5.26022,    5.98067,    2.74323,    0.89630,Segment:  32
   1.37908,    1.38212,    1.52400,    5.15868,    6.01838,    2.82379,    0.61646,Segment:  33
   1.46525,    1.51345,    1.52400,    5.03895,    6.05348,    2.88405,    0.38027,Segment:  34
   1.50938,    1.58071,    1.52400,    4.97273,    6.07008,    2.90739,    0.30748,Segment:  35
   1.55392,    1.64858,    1.52400,    4.90261,    6.08604,    2.92742,    0.25275,Segment:  36
   1.59868,    1.71679,    1.52400,    4.82888,    6.10139,    2.94480,    0.21083,Segment:  37
   1.64351,    1.78511,    1.52400,    4.75178,    6.11613,    2.96001,    0.17817,Segment:  38
   1.68826,    1.85332,    1.52400,    4.67160,    6.13028,    2.97342,    0.15236,Segment:  39
   1.73283,    1.92124,    1.52400,    4.58859,    6.14386,    2.98533,    0.13168,Segment:  40
   1.77710,    1.98871,    1.52400,    4.50303,    6.15686,    2.99597,    0.11491,Segment:  41
   1.82098,    2.05559,    1.52400,    4.41517,    6.16931,    3.00554,    0.10117,Segment:  42
   1.86439,    2.12174,    1.52400,    4.32528,    6.18121,    3.01418,    0.08980,Segment:  43
   1.90726,    2.18707,    1.52400,    4.23364,    6.19258,    3.02202,    0.08031,Segment:  44
   1.94951,    2.25146,    1.52400,    4.14050,    6.20343,    3.02916,    0.07233,Segment:  45
   1.99109,    2.31483,    1.52400,    4.04613,    6.21376,    3.03570,    0.06557,Segment:  46
   2.03194,    2.37709,    1.52400,    3.95079,    6.22360,    3.04170,    0.05980,Segment:  47
   2.07202,    2.43816,    1.40942,    3.85476,    6.23296,    3.04722,    0.05486,Segment:  48
   2.11130,    2.49353,    0.08559,    3.75830,    6.24183,    3.05233,    0.05060,Segment:  49
   2.15017,    2.49686,    0.07472,    3.66168,    6.25025,    3.05705,    0.04691,Segment:  50
   2.18894,    2.49976,    0.06558,    3.56515,    6.25821,    3.06144,    0.04371,Segment:  51
   2.22751,    2.50229,    0.05783,    3.46899,    6.26574,    3.06552,    0.04092,Segment:  52
   2.26577,    2.50450,   -0.85244,    3.37346,    6.27284,    3.06932,    0.03849,Segment:  53
   2.30390,    2.47200,   -1.52400,    3.27884,    6.27952,    3.07286,    0.03636,Segment:  54
   2.34225,    2.41356,   -1.52400,    3.18537,    6.28579,    3.07618,    0.03449,Segment:  55
   2.38093,    2.35460,   -1.52400,    3.09334,    6.29168,    3.07929,    0.03285,Segment:  56
   2.41986,    2.29528,   -1.52400,    3.00300,    6.29718,    3.08219,    0.03142,Segment:  57
   2.45893,    2.23573,   -1.52400,    2.91462,    6.30231,    3.08492,    0.03016,Segment:  58
   2.49805,    2.17612,   -1.52400,    2.82847,    6.30709,    3.08747,    0.02906,Segment:  59
   2.53707,    2.11664,   -1.52400,    2.74482,    6.31152,    3.08986,    0.02808,Segment:  60
   2.57588,    2.05749,   -1.52400,    2.66392,    6.31562,    3.09210,    0.02722,Segment:  61
   2.61432,    1.99891,   -1.52400,    2.58605,    6.31939,    3.09420,    0.02645,Segment:  62
   2.65222,    1.94115,   -1.52400,    2.51147,    6.32286,    3.09614,    0.02574,Segment:  63
   2.68939,    1.88451,   -1.52400,    2.44045,    6.32602,    3.09795,    0.02504,Segment:  64
   2.72565,    1.82925,   -1.52400,    2.37318,    6.32891,    3.09921,    0.01175,Segment:  65
   2.76096,    1.77543,   -1.52400,    2.30959,    6.33160,    3.09943,   -0.00610,Segment:  66
   2.82879,    1.67206,   -1.52400,    2.19278,    6.33667,    3.09588,   -0.06039,Segment:  67
   2.89293,    1.57431,   -1.52400,    2.08880,    6.34190,    3.08538,   -0.15031,Segment:  68
   2.95351,    1.48199,   -1.52400,    1.99642,    6.34792,    3.06547,   -0.29289,Segment:  69
   3.01077,    1.39473,   -1.52400,    1.91440,    6.35538,    3.03322,   -0.50839,Segment:  70
   3.06508,    1.31195,   -1.52400,    1.84152,    6.36494,    2.98541,   -0.81344,Segment:  71
   3.11707,    1.23273,   -1.52400,    1.77653,    6.37724,    2.91929,   -1.20382,Segment:  72
   3.16764,    1.15566,   -1.52400,    1.71822,    6.39293,    2.83389,   -1.62668,Segment:  73
   3.19281,    1.11730,   -1.52400,    1.69117,    6.40226,    2.78459,   -1.81558,Segment:  74
   3.21818,    1.07863,   -0.95261,    1.66533,    6.41267,    2.73183,   -1.96485,Segment:  75
   3.24384,    1.05419,   -0.22732,    1.64055,    6.42425,    2.67665,   -2.05702,Segment:  76
   3.26964,    1.04833,    0.39540,    1.61665,    6.43709,    2.62038,   -2.08010,Segment:  77
   3.29540,    1.05851,   -1.52400,    1.59351,    6.45126,    2.56442,   -2.03082,Segment:  78
   3.32181,    1.01827,   -1.52400,    1.57095,    6.46684,    2.51018,   -1.91556,Segment:  79
   3.34985,    0.97554,   -1.52400,    1.54882,    6.48392,    2.45887,   -1.74856,Segment:  80
   3.38001,    0.92958,   -1.52400,    1.52697,    6.50258,    2.41147,   -1.54825,Segment:  81
   3.44924,    0.82407,   -1.52400,    1.48351,    6.54496,    2.33068,   -1.11954,Segment:  82
   3.53702,    0.69028,   -1.52400,    1.43932,    6.59461,    2.26960,   -0.73737,Segment:  83
   3.66086,    0.50156,   -1.52400,    1.39317,    6.65220,    2.22675,   -0.44509,Segment:  84
   3.98996,    0.00000,   -1.52400,    1.34384,    6.71836,    2.19911,   -0.24187,Segment:  85
#======= TRAJECTORY END: moves from Branch I to Coral Station 13
