#======= TRAJECTORY BEGIN: starts at R1, moves to R22 reef
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.061       0.788       3.124       0.000       0.000       0.000       1.200
#--------Waypoint:     5.365       2.839       2.007       1.732      -2.020      -1.117       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    7.06120,    0.78835,    3.12414,   -5.92122,Segment:  1
   0.14411,    0.13177,    0.91440,    7.05171,    0.78877,    3.07036,   -5.41084,Segment:  2
   0.20518,    0.18762,    0.91440,    7.04201,    0.78972,    3.02000,   -4.92134,Segment:  3
   0.25306,    0.23139,    0.91440,    7.03208,    0.79117,    2.97298,   -4.46099,Segment:  4
   0.29432,    0.26912,    0.91440,    7.02195,    0.79313,    2.92916,   -4.03456,Segment:  5
   0.36585,    0.33453,    0.91440,    7.00104,    0.79854,    2.85041,   -3.28974,Segment:  6
   0.42892,    0.39221,    0.91440,    6.97933,    0.80589,    2.78226,   -2.68343,Segment:  7
   0.48698,    0.44530,    0.91440,    6.95685,    0.81513,    2.72320,   -2.19792,Segment:  8
   0.54171,    0.49534,    0.91440,    6.93361,    0.82620,    2.67182,   -1.81184,Segment:  9
   0.64461,    0.58943,    0.91440,    6.88503,    0.85367,    2.58749,   -1.26070,Segment:  10
   0.74174,    0.67825,    0.91440,    6.83383,    0.88786,    2.52168,   -0.90723,Segment:  11
   0.83491,    0.76344,    0.91440,    6.78026,    0.92837,    2.46919,   -0.67450,Segment:  12
   0.92501,    0.84583,    0.91440,    6.72456,    0.97478,    2.42643,   -0.51674,Segment:  13
   1.01250,    0.92583,    0.91440,    6.66700,    1.02667,    2.39093,   -0.40678,Segment:  14
   1.09766,    1.00370,    0.91440,    6.60780,    1.08364,    2.36095,   -0.32815,Segment:  15
   1.18062,    1.07956,    0.91440,    6.54722,    1.14526,    2.33522,   -0.27068,Segment:  16
   1.26145,    1.15347,    0.91440,    6.48551,    1.21112,    2.31282,   -0.22787,Segment:  17
   1.34021,    1.22548,    0.91440,    6.42291,    1.28081,    2.29307,   -0.19549,Segment:  18
   1.41688,    1.29560,    0.91440,    6.35966,    1.35390,    2.27543,   -0.17071,Segment:  19
   1.49148,    1.36381,    0.91440,    6.29603,    1.42999,    2.25949,   -0.15162,Segment:  20
