#======= TRAJECTORY BEGIN: Moves from Coral Station 1 to R6
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    16.160       1.395       2.007      -0.000       0.000       0.000       0.200
#--------Waypoint:    13.985       2.751       2.182       2.148       1.398       0.175       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,   -0.00000,    0.00000,    0.00000,  207.97194,Segment:  1
   0.03006,    0.02749,    0.91440,    0.00041,    0.00002,    0.07266,  148.68707,Segment:  2
   0.04370,    0.03996,    0.91440,    0.00087,    0.00006,    0.13110,  108.73527,Segment:  3
   0.05495,    0.05025,    0.91440,    0.00137,    0.00014,    0.17882,   81.31237,Segment:  4
   0.06510,    0.05952,    0.91440,    0.00192,    0.00025,    0.21835,   62.08481,Segment:  5
   0.08366,    0.07650,    0.91440,    0.00314,    0.00057,    0.27973,   38.23875,Segment:  6
   0.10100,    0.09236,    0.91440,    0.00454,    0.00100,    0.32495,   25.03914,Segment:  7
   0.13393,    0.12247,    0.91440,    0.00785,    0.00225,    0.38673,   12.32642,Segment:  8
   0.16568,    0.15150,    0.91440,    0.01184,    0.00398,    0.42676,    6.92633,Segment:  9
   0.28792,    0.26328,    0.91440,    0.03438,    0.01557,    0.50354,    1.41360,Segment:  10
   0.52142,    0.47678,    0.91440,    0.10872,    0.05960,    0.55188,    0.23993,Segment:  11
   0.63381,    0.57956,    0.91440,    0.15910,    0.09101,    0.56243,    0.13263,Segment:  12
   0.74338,    0.67975,    0.91440,    0.21732,    0.12803,    0.56957,    0.08125,Segment:  13
   0.85009,    0.77732,    0.91440,    0.28267,    0.17013,    0.57468,    0.05344,Segment:  14
   0.95390,    0.87225,    0.91440,    0.35445,    0.21682,    0.57849,    0.03699,Segment:  15
   1.05477,    0.96448,    0.91440,    0.43193,    0.26758,    0.58139,    0.02655,Segment:  16
   1.15264,    1.05397,    0.91440,    0.51440,    0.32192,    0.58364,    0.01954,Segment:  17
   1.24744,    1.14066,    0.91440,    0.60116,    0.37933,    0.58540,    0.01460,Segment:  18
   1.33912,    1.22449,    0.91440,    0.69148,    0.43930,    0.58678,    0.01095,Segment:  19
   1.42761,    1.30540,    0.91440,    0.78465,    0.50133,    0.58784,    0.00814,Segment:  20
   1.51283,    1.38333,    0.91440,    0.87997,    0.56490,    0.58864,    0.00586,Segment:  21
   1.59471,    1.45820,    0.91440,    0.97670,    0.62953,    0.58920,    0.00392,Segment:  22
   1.67317,    1.52995,   -0.88525,    1.07415,    0.69469,    0.58956,    0.00217,Segment:  23
   1.75158,    1.46053,   -0.91440,    1.17159,    0.75988,    0.58971,    0.00048,Segment:  24
   1.83336,    1.38575,   -0.91440,    1.26832,    0.82461,    0.58967,   -0.00126,Segment:  25
   1.91849,    1.30791,   -0.91440,    1.36362,    0.88835,    0.58942,   -0.00317,Segment:  26
