#======= TRAJECTORY BEGIN: Starts at R11, moves to Coral Station 1
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    12.468       2.674      -1.920       0.000       0.000       0.000       0.200
#--------Waypoint:    13.790       1.807       0.070       0.363       1.538       1.990       0.200
#--------Waypoint:    16.160       1.395      -1.047      -0.061       3.906       0.873       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,   12.46818,    2.67422,   -1.91986,   86.14574,Segment:  1
   0.04168,    0.03811,    0.91440,   12.46793,    2.67347,   -1.85476,   77.86139,Segment:  2
   0.05946,    0.05437,    0.91440,   12.46773,    2.67267,   -1.79408,   69.87314,Segment:  3
   0.07349,    0.06720,    0.91440,   12.46756,    2.67184,   -1.73773,   62.38490,Segment:  4
   0.08567,    0.07833,    0.91440,   12.46744,    2.67096,   -1.68555,   55.51246,Segment:  5
   0.09672,    0.08844,    0.91440,   12.46735,    2.67004,   -1.63732,   49.30372,Segment:  6
   0.10701,    0.09785,    0.91440,   12.46731,    2.66908,   -1.59277,   43.75891,Segment:  7
   0.12611,    0.11532,    0.91440,   12.46735,    2.66705,   -1.51359,   34.52224,Segment:  8
   0.14395,    0.13163,    0.91440,   12.46756,    2.66485,   -1.44583,   27.40306,Segment:  9
   0.16100,    0.14722,    0.91440,   12.46792,    2.66251,   -1.38752,   21.95156,Segment:  10
   0.17753,    0.16234,    0.91440,   12.46845,    2.66000,   -1.33699,   17.77209,Segment:  11
   0.19370,    0.17712,    0.91440,   12.46915,    2.65735,   -1.29287,   14.54962,Segment:  12
   0.22533,    0.20604,    0.91440,   12.47104,    2.65159,   -1.21962,   10.07927,Segment:  13
   0.25636,    0.23442,    0.91440,   12.47359,    2.64525,   -1.16120,    7.27527,Segment:  14
   0.28703,    0.26246,    0.91440,   12.47679,    2.63834,   -1.11333,    5.44624,Segment:  15
   0.31745,    0.29028,    0.91440,   12.48067,    2.63087,   -1.07314,    4.20878,Segment:  16
   0.37779,    0.34545,    0.91440,   12.49040,    2.61435,   -1.00861,    2.72092,Segment:  17
   0.43765,    0.40018,    0.91440,   12.50280,    2.59579,   -0.95794,    1.91376,Segment:  18
   0.55617,    0.50856,    0.91440,   12.53561,    2.55310,   -0.87981,    1.13372,Segment:  19
   0.67326,    0.61563,    0.91440,   12.57919,    2.50378,   -0.81817,    0.78990,Segment:  20
   0.78894,    0.72141,    0.91440,   12.63360,    2.44882,   -0.76485,    0.61057,Segment:  21
   0.90323,    0.82591,    0.91440,   12.69892,    2.38922,   -0.71597,    0.50548,Segment:  22
   1.01616,    0.92918,    0.91440,   12.77522,    2.32597,   -0.66948,    0.43840,Segment:  23
   1.12780,    1.03126,    0.91440,   12.86257,    2.26006,   -0.62419,    0.39266,Segment:  24
   1.23820,    1.13221,    0.91440,   12.96104,    2.19248,   -0.57939,    0.35972,Segment:  25
   1.29298,    1.18230,    0.91440,   13.01447,    2.15837,   -0.55702,    0.34647,Segment:  26
   1.34748,    1.23214,    0.91440,   13.07071,    2.12422,   -0.53461,    0.33482,Segment:  27
   1.40173,    1.28174,    0.91440,   13.12976,    2.09015,   -0.51215,    0.32444,Segment:  28
   1.45572,    1.33111,    0.91440,   13.19165,    2.05627,   -0.48960,    0.31511,Segment:  29
   1.50949,    1.38028,    0.89615,   13.25636,    2.02273,   -0.46694,    0.30663,Segment:  30
   1.56307,    1.42829,    0.32721,   13.32393,    1.98963,   -0.44417,    0.29882,Segment:  31
   1.61704,    1.44595,    0.31310,   13.39434,    1.95711,   -0.42128,    0.29157,Segment:  32
   1.67197,    1.46315,    0.30237,   13.46762,    1.92528,   -0.39826,    0.28475,Segment:  33
   1.72784,    1.48004,    0.29464,   13.54377,    1.89428,   -0.37512,    0.27829,Segment:  34
   1.78465,    1.49678,    0.28960,   13.62281,    1.86422,   -0.35185,    0.27210,Segment:  35
   1.84238,    1.51350,    0.28697,   13.70473,    1.83523,   -0.32846,    0.26612,Segment:  36
   1.90103,    1.53033,    0.91440,   13.78955,    1.80744,   -0.30497,    0.26030,Segment:  37
   1.95985,    1.58411,    0.91440,   13.87722,    1.78093,   -0.28276,    0.22601,Segment:  38
   2.01802,    1.63730,    0.91440,   13.96745,    1.75570,   -0.26295,    0.19775,Segment:  39
   2.07543,    1.68981,    0.91440,   14.05991,    1.73171,   -0.24522,    0.17425,Segment:  40
   2.13200,    1.74153,    0.91440,   14.15424,    1.70891,   -0.22930,    0.15454,Segment:  41
   2.18762,    1.79239,    0.72286,   14.25010,    1.68728,   -0.21496,    0.13786,Segment:  42
   2.24235,    1.83195,   -0.91440,   14.34715,    1.66676,   -0.20201,    0.12362,Segment:  43
   2.29760,    1.78144,   -0.91440,   14.44504,    1.64732,   -0.19029,    0.11137,Segment:  44
   2.35462,    1.72930,   -0.91440,   14.54343,    1.62891,   -0.17969,    0.10071,Segment:  45
   2.41340,    1.67555,   -0.91440,   14.64198,    1.61151,   -0.17009,    0.09134,Segment:  46
   2.47392,    1.62021,   -0.91440,   14.74034,    1.59506,   -0.16141,    0.08302,Segment:  47
   2.53614,    1.56331,   -0.91440,   14.83816,    1.57953,   -0.15356,    0.07551,Segment:  48
   2.60005,    1.50487,   -0.91440,   14.93511,    1.56488,   -0.14650,    0.06863,Segment:  49
   2.66563,    1.44491,   -0.91440,   15.03083,    1.55107,   -0.14017,    0.06219,Segment:  50
   2.73284,    1.38345,   -0.91440,   15.12499,    1.53806,   -0.13455,    0.05602,Segment:  51
   2.80167,    1.32051,   -0.91440,   15.21724,    1.52581,   -0.12962,    0.04991,Segment:  52
   2.87210,    1.25611,   -0.91440,   15.30723,    1.51428,   -0.12538,    0.04365,Segment:  53
   2.94410,    1.19028,   -0.91440,   15.39463,    1.50342,   -0.12182,    0.03697,Segment:  54
   3.01764,    1.12303,   -0.91440,   15.47908,    1.49321,   -0.11898,    0.02950,Segment:  55
   3.09272,    1.05438,   -0.91440,   15.56025,    1.48360,   -0.11692,    0.02075,Segment:  56
   3.16930,    0.98436,   -0.91440,   15.63778,    1.47454,   -0.11570,    0.00998,Segment:  57
   3.24736,    0.91298,   -0.91440,   15.71134,    1.46601,   -0.11545,   -0.00394,Segment:  58
   3.32688,    0.84027,   -0.91440,   15.78059,    1.45796,   -0.11634,   -0.02282,Segment:  59
   3.49019,    0.69093,   -0.91440,   15.90473,    1.44313,   -0.12272,   -0.09019,Segment:  60
   3.65900,    0.53657,   -0.91440,   16.00748,    1.42975,   -0.13919,   -0.26437,Segment:  61
   3.83303,    0.37744,   -0.91440,   16.08606,    1.41750,   -0.17802,   -0.89463,Segment:  62
   3.92192,    0.29616,   -0.91440,   16.11543,    1.41169,   -0.21737,   -1.94497,Segment:  63
   4.01215,    0.21365,   -0.91440,   16.13773,    1.40605,   -0.29060,   -5.30197,Segment:  64
   4.05801,    0.17172,   -0.91440,   16.14611,    1.40327,   -0.35494,  -10.07247,Segment:  65
   4.08128,    0.15044,   -0.91440,   16.14960,    1.40190,   -0.40036,  -14.61446,Segment:  66
   4.10494,    0.12881,   -0.91440,   16.15261,    1.40053,   -0.45971,  -22.13437,Segment:  67
   4.12931,    0.10652,   -0.91440,   16.15513,    1.39916,   -0.53972,  -35.23260,Segment:  68
   4.14196,    0.09495,   -0.91440,   16.15620,    1.39848,   -0.59065,  -45.35201,Segment:  69
   4.15513,    0.08291,   -0.91440,   16.15716,    1.39780,   -0.65133,  -59.14450,Segment:  70
   4.16915,    0.07009,   -0.91440,   16.15799,    1.39712,   -0.72421,  -78.00054,Segment:  71
   4.17666,    0.06322,   -0.91440,   16.15836,    1.39678,   -0.76614,  -89.84333,Segment:  72
   4.18469,    0.05588,   -0.91440,   16.15869,    1.39644,   -0.81227, -103.57756,Segment:  73
   4.19349,    0.04784,   -0.91440,   16.15900,    1.39610,   -0.86304, -119.37605,Segment:  74
   4.20357,    0.03862,   -0.91440,   16.15927,    1.39576,   -0.91887, -137.32592,Segment:  75
   4.21627,    0.02701,   -0.91440,   16.15952,    1.39542,   -0.98016, -157.35737,Segment:  76
   4.24580,    0.00000,   -0.91440,   16.15973,    1.39508,   -1.04720, -179.15103,Segment:  77
#======= TRAJECTORY END: Starts at R11, moves to Coral Station 1
