#======= TRAJECTORY BEGIN: moves from between Red 2 blue side robot starting line to reef F
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.163       1.942       3.142       0.000       0.000       0.000       0.200
#--------Waypoint:     6.131       2.096       2.936       1.032      -0.154      -0.205       0.200
#--------Waypoint:     5.380       2.811       2.094       1.782      -0.869      -1.047       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.01600  m/s
#--------Maximum Acceleration:      1.27000  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.01600  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.01600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.01600  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.27000,    7.16280,    1.94203,    3.14159,    7.34999,Segment:  1
   0.26991,    0.34279,    1.27000,    7.11657,    1.94032,   -3.09891,   -0.12352,Segment:  2
   0.45297,    0.57528,    1.27000,    7.03259,    1.93754,   -3.12034,   -0.30759,Segment:  3
   0.62112,    0.78883,    1.27000,    6.91790,    1.93722,    3.12528,   -0.34313,Segment:  4
   0.70057,    0.88972,    0.01135,    6.85125,    1.93909,    3.10184,   -0.36052,Segment:  5
   0.78120,    0.89064,   -0.09094,    6.77957,    1.94288,    3.07520,   -0.38218,Segment:  6
   0.86700,    0.88283,   -0.10559,    6.70374,    1.94906,    3.04511,   -0.40955,Segment:  7
   0.95766,    0.87326,   -0.12150,    6.62465,    1.95805,    3.01119,   -0.44381,Segment:  8
   1.05264,    0.86172,   -0.13832,    6.54317,    1.97030,    2.97293,   -0.48611,Segment:  9
   1.15148,    0.84805,   -0.15549,    6.46019,    1.98625,    2.92973,   -0.53772,Segment:  10
   1.25383,    0.83214,   -0.17195,    6.37659,    2.00634,    2.88089,   -0.59993,Segment:  11
   1.35942,    0.81398,   -0.18595,    6.29325,    2.03101,    2.82561,   -0.67388,Segment:  12
   1.46814,    0.79376,   -0.19494,    6.21106,    2.06070,    2.76303,   -0.76019,Segment:  13
   1.57995,    0.77197,    0.18583,    6.13089,    2.09586,    2.69226,   -0.85832,Segment:  14
   1.69177,    0.79275,    0.17726,    6.05352,    2.13668,    2.62132,   -0.76465,Segment:  15
   1.80049,    0.81202,    0.16344,    5.97926,    2.18245,    2.55829,   -0.68206,Segment:  16
   1.90610,    0.82928,    0.14668,    5.90831,    2.23223,    2.50232,   -0.61135,Segment:  17
   2.00846,    0.84429,    0.12842,    5.84088,    2.28505,    2.45256,   -0.55220,Segment:  18
   2.10734,    0.85699,    0.10933,    5.77718,    2.33998,    2.40821,   -0.50378,Segment:  19
   2.20241,    0.86738,    0.08928,    5.71740,    2.39606,    2.36855,   -0.46521,Segment:  20
   2.29323,    0.87549,    0.06730,    5.66176,    2.45234,    2.33294,   -0.43575,Segment:  21
   2.37930,    0.88129,    0.04115,    5.61044,    2.50787,    2.30083,   -0.41504,Segment:  22
   2.46007,    0.88461,   -1.23885,    5.56367,    2.56170,    2.27170,   -0.40328,Segment:  23
   2.53933,    0.78641,   -1.27000,    5.52164,    2.61287,    2.24511,   -0.40163,Segment:  24
   2.70682,    0.57371,   -1.27000,    5.45261,    2.70348,    2.19778,   -0.44423,Segment:  25
   2.88917,    0.34213,   -1.27000,    5.40500,    2.77207,    2.15442,   -0.66935,Segment:  26
   3.15856,    0.00000,   -1.27000,    5.38044,    2.81106,    2.09440,   -4.42206,Segment:  27
#======= TRAJECTORY END: moves from between Red 2 blue side robot starting line to reef F
