#======= TRAJECTORY BEGIN: moves from between R2-R3 robot starting line to reef F
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    10.487       5.591       0.524       0.000      -0.000       0.000       0.200
#--------Waypoint:    13.492       6.922       0.000       3.268      -0.349      -0.524       0.200
#--------Waypoint:    13.650       5.378      -2.094       2.632      -1.766      -2.618       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.03200  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,   10.48705,    5.59072,    0.52360,   12.55485,Segment:  1
   0.23052,    0.35131,    1.52400,   10.52169,    5.61168,    0.54618,   -0.01877,Segment:  2
   0.41729,    0.63596,    1.52400,   10.60056,    5.65943,    0.54227,   -0.04788,Segment:  3
   0.50740,    0.77327,    1.52400,   10.65499,    5.69211,    0.53924,   -0.04722,Segment:  4
   0.59546,    0.90749,    1.52400,   10.71857,    5.73001,    0.53579,   -0.04613,Segment:  5
   0.68151,    1.03863,    1.52400,   10.79065,    5.77261,    0.53196,   -0.04537,Segment:  6
   0.76554,    1.16668,    1.52400,   10.87059,    5.81944,    0.52778,   -0.04512,Segment:  7
   0.84753,    1.29164,    1.52400,   10.95777,    5.87000,    0.52322,   -0.04540,Segment:  8
   0.92746,    1.41344,    1.52400,   11.05155,    5.92378,    0.51827,   -0.04620,Segment:  9
   1.00529,    1.53206,    1.52400,   11.15128,    5.98030,    0.51290,   -0.04754,Segment:  10
   1.08100,    1.64745,    1.52400,   11.25632,    6.03906,    0.50707,   -0.04944,Segment:  11
   1.15456,    1.75955,    1.52400,   11.36605,    6.09957,    0.50073,   -0.05194,Segment:  12
   1.19052,    1.81435,    1.52400,   11.42247,    6.13032,    0.49734,   -0.05344,Segment:  13
   1.22592,    1.86831,    1.52400,   11.47982,    6.16132,    0.49380,   -0.05511,Segment:  14
   1.26077,    1.92142,    1.52400,   11.53802,    6.19251,    0.49010,   -0.05698,Segment:  15
   1.29506,    1.97367,    1.52400,   11.59700,    6.22383,    0.48623,   -0.05905,Segment:  16
   1.32878,    2.02506,    1.52400,   11.65666,    6.25521,    0.48217,   -0.06135,Segment:  17
   1.36192,    2.07557,    1.52400,   11.71694,    6.28660,    0.47792,   -0.06390,Segment:  18
   1.39449,    2.12520,    1.52400,   11.77775,    6.31793,    0.47345,   -0.06672,Segment:  19
   1.42647,    2.17395,    1.52400,   11.83901,    6.34913,    0.46876,   -0.06985,Segment:  20
   1.45787,    2.22179,    1.52400,   11.90064,    6.38016,    0.46382,   -0.07331,Segment:  21
