#======= TRAJECTORY BEGIN: moves from between B2 cage robot starting line to reef F
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    10.417       6.115       0.000       0.000       0.000       0.000       0.200
#--------Waypoint:    11.508       5.999      -0.219       1.091      -0.115      -0.219       0.200
#--------Waypoint:    12.184       5.213      -1.047       1.767      -0.901      -1.047       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.03200  m/s
#--------Maximum Acceleration:      1.27000  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.03200  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.39700  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.03200  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.27000,   10.41657,    6.11452,    0.00000,   14.32761,Segment:  1
   0.17157,    0.21789,    1.27000,   10.43523,    6.11554,    0.07872,    1.19701,Segment:  2
   0.27802,    0.35309,    1.27000,   10.46550,    6.11821,    0.09211,    0.06784,Segment:  3
   0.47042,    0.59743,    1.27000,   10.55660,    6.12615,    0.07751,   -0.25485,Segment:  4
   0.64650,    0.82106,    1.27000,   10.68126,    6.13362,    0.04088,   -0.32186,Segment:  5
   0.72923,    0.92612,    1.27000,   10.75350,    6.13571,    0.01662,   -0.34976,Segment:  6
   0.80851,    1.02681,    1.27000,   10.83092,    6.13591,   -0.01168,   -0.38195,Segment:  7
   0.88437,    1.12316,    1.27000,   10.91243,    6.13365,   -0.04439,   -0.42125,Segment:  8
   0.95683,    1.21518,    1.27000,   10.99698,    6.12833,   -0.08208,   -0.47005,Segment:  9
   1.02591,    1.30290,    1.27000,   11.08349,    6.11935,   -0.12552,   -0.53081,Segment:  10
   1.09164,    1.38638,    0.03161,   11.17088,    6.10614,   -0.17566,   -0.60625,Segment:  11
   1.15582,    1.38841,   -1.27000,   11.25808,    6.08810,   -0.23365,   -0.69920,Segment:  12
   1.22198,    1.30438,   -1.27000,   11.34402,    6.06465,   -0.30083,   -0.81220,Segment:  13
   1.29235,    1.21501,   -1.22159,   11.42762,    6.03520,   -0.37863,   -0.94631,Segment:  14
   1.32931,    1.16986,   -1.11271,   11.46822,    6.01803,   -0.42196,   -1.02077,Segment:  15
   1.36752,    1.12735,    0.72167,   11.50782,    5.99915,   -0.46846,   -1.09920,Segment:  16
   1.40580,    1.15499,    0.81488,   11.54633,    5.97850,   -0.51537,   -1.04723,Segment:  17
   1.44301,    1.18530,    0.94569,   11.58372,    5.95620,   -0.55981,   -0.99434,Segment:  18
   1.51407,    1.25250,    1.10287,   11.65514,    5.90720,   -0.64143,   -0.89051,Segment:  19
   1.58075,    1.32604,    0.25133,   11.72208,    5.85326,   -0.71381,   -0.79448,Segment:  20
   1.64451,    1.34207,   -1.27000,   11.78453,    5.79550,   -0.77771,   -0.70957,Segment:  21
   1.70887,    1.26032,   -1.27000,   11.84250,    5.73505,   -0.83402,   -0.63679,Segment:  22
   1.77613,    1.17491,   -1.27000,   11.89597,    5.67303,   -0.88361,   -0.57577,Segment:  23
   1.84637,    1.08571,   -1.27000,   11.94496,    5.61056,   -0.92727,   -0.52553,Segment:  24
   1.91965,    0.99264,   -1.27000,   11.98946,    5.54876,   -0.96570,   -0.48478,Segment:  25
   1.99603,    0.89564,   -1.27000,   12.02946,    5.48876,   -0.99945,   -0.45204,Segment:  26
   2.07558,    0.79461,   -1.27000,   12.06497,    5.43167,   -1.02893,   -0.42544,Segment:  27
   2.24462,    0.57993,   -1.27000,   12.12250,    5.33074,   -1.07565,   -0.37362,Segment:  28
   2.42943,    0.34521,   -1.27000,   12.16202,    5.25493,   -1.10187,   -0.14379,Segment:  29
   2.70126,    0.00000,   -1.27000,   12.18354,    5.21324,   -1.04720,    9.48572,Segment:  30
#======= TRAJECTORY END: moves from between B2 cage robot starting line to reef F
