#======= TRAJECTORY BEGIN: Move from RED Reef F to source 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    13.650       5.378       0.663       0.000       0.000       0.000       0.100
#--------Waypoint:    15.417       6.038       0.698       1.799      -0.568       0.035       0.500
#--------Waypoint:    16.137       6.626       0.942       2.729      -0.548       0.279       0.900
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.77800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,   13.64962,    5.37758,    0.66323, -246.03060,Segment:  1
   0.02410,    0.03673,    1.52400,   13.64998,    5.37783,    0.58758, -119.98177,Segment:  2
   0.03606,    0.05495,    1.52400,   13.65045,    5.37813,    0.53877,  -66.67934,Segment:  3
   0.05618,    0.08561,    1.52400,   13.65169,    5.37881,    0.47990,  -26.54322,Segment:  4
   0.09237,    0.14078,    1.52400,   13.65538,    5.38058,    0.42376,   -7.37443,Segment:  5
   0.16064,    0.24481,    1.52400,   13.66752,    5.38566,    0.38125,   -1.50421,Segment:  6
   0.29152,    0.44427,    1.52400,   13.70966,    5.40173,    0.35497,   -0.23902,Segment:  7
   0.41730,    0.63596,    1.52400,   13.77348,    5.42500,    0.34619,   -0.06908,Segment:  8
   0.53833,    0.82041,    1.52400,   13.85645,    5.45473,    0.34259,   -0.02247,Segment:  9
   0.65457,    0.99757,    1.52400,   13.95600,    5.49015,    0.34133,   -0.00422,Segment:  10
   0.76594,    1.16729,    1.52400,   14.06959,    5.53050,    0.34144,    0.00500,Segment:  11
   0.81975,    1.24930,    1.52400,   14.13086,    5.55228,    0.34187,    0.00818,Segment:  12
   0.87229,    1.32937,    1.52400,   14.19467,    5.57501,    0.34252,    0.01088,Segment:  13
   0.92355,    1.40748,    1.52400,   14.26073,    5.59859,    0.34337,    0.01331,Segment:  14
   0.97349,    1.48359,    1.52400,   14.32869,    5.62293,    0.34441,    0.01561,Segment:  15
   1.02210,    1.55768,    1.52400,   14.39826,    5.64793,    0.34565,    0.01789,Segment:  16
   1.06936,    1.62970,    1.52400,   14.46910,    5.67350,    0.34709,    0.02026,Segment:  17
   1.11524,    1.69962,    1.52400,   14.54090,    5.69954,    0.34873,    0.02281,Segment:  18
   1.15972,    1.76741,    1.52400,   14.61334,    5.72595,    0.35060,    0.02561,Segment:  19
   1.20277,    1.83302,    1.52400,   14.68610,    5.75265,    0.35270,    0.02878,Segment:  20
   1.24437,    1.89642,    1.52400,   14.75886,    5.77953,    0.35507,    0.03243,Segment:  21
