#======= TRAJECTORY BEGIN: Move from RED Reef F to source 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    12.168       5.241       2.094       0.000       0.000       0.000       0.100
#--------Waypoint:    12.112       6.091       0.925       0.764      -0.377      -1.169       0.500
#--------Waypoint:    15.128       6.264       0.119      -0.594      -3.075      -1.975       0.400
#--------Waypoint:    16.137       6.626       0.942      -0.785      -4.130      -1.152       0.900
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.28600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,   12.16766,    5.24074,    2.09440,  126.85229,Segment:  1
   0.03473,    0.05293,    1.52400,   12.16717,    5.24151,    2.16630,   49.04515,Segment:  2
   0.05267,    0.08028,    1.52400,   12.16648,    5.24249,    2.20653,   23.29922,Segment:  3
   0.08355,    0.12733,    1.52400,   12.16451,    5.24502,    2.24823,    7.32288,Segment:  4
   0.13967,    0.21286,    1.52400,   12.15839,    5.25234,    2.27771,    1.16789,Segment:  5
   0.24411,    0.37202,    1.52400,   12.13844,    5.27547,    2.28062,   -0.31502,Segment:  6
   0.43367,    0.66092,    1.52400,   12.07636,    5.35118,    2.23066,   -0.60542,Segment:  7
   0.51951,    0.79174,    1.52400,   12.03913,    5.40118,    2.19008,   -0.69881,Segment:  8
   0.59935,    0.91340,    1.52400,   12.00103,    5.45758,    2.13828,   -0.82966,Segment:  9
   0.67311,    1.02583,    1.52400,   11.96451,    5.51909,    2.07247,   -1.02146,Segment:  10
   0.74083,    1.12902,    0.50951,   11.93204,    5.58442,    1.98829,   -1.30325,Segment:  11
   0.77290,    1.14536,   -1.52400,   11.91809,    5.61812,    1.93746,   -1.48908,Segment:  12
   0.80522,    1.09610,   -1.52400,   11.90606,    5.65229,    1.87961,   -1.71093,Segment:  13
   0.83871,    1.04507,   -1.52400,   11.89627,    5.68677,    1.81372,   -1.97177,Segment:  14
   0.87345,    0.99212,   -1.52400,   11.88902,    5.72141,    1.73875,   -2.27080,Segment:  15
   0.90965,    0.93696,   -1.52400,   11.88461,    5.75605,    1.65378,   -2.59999,Segment:  16
   0.92839,    0.90839,   -1.38182,   11.88358,    5.77331,    1.60734,   -2.77032,Segment:  17
   0.94761,    0.88184,   -1.19618,   11.88337,    5.79051,    1.55822,   -2.93969,Segment:  18
   0.96730,    0.85828,   -1.00623,   11.88402,    5.80763,    1.50644,   -3.10325,Segment:  19
   0.98745,    0.83801,   -0.81218,   11.88558,    5.82465,    1.45208,   -3.25522,Segment:  20
   1.00803,    0.82129,   -0.61424,   11.88808,    5.84154,    1.39530,   -3.38910,Segment:  21
   1.02903,    0.80839,   -0.41262,   11.89156,    5.85830,    1.33633,   -3.49812,Segment:  22
   1.05041,    0.79957,   -0.20749,   11.89606,    5.87489,    1.27547,   -3.57574,Segment:  23
   1.07214,    0.79506,    0.00096,   11.90162,    5.89130,    1.21311,   -3.61641,Segment:  24
   1.09418,    0.79508,    0.21258,   11.90827,    5.90750,    1.14969,   -3.61621,Segment:  25
   1.11647,    0.79982,    0.42720,   11.91605,    5.92349,    1.08570,   -3.57349,Segment:  26
   1.13898,    0.80943,    0.64468,   11.92500,    5.93923,    1.02168,   -3.48909,Segment:  27
   1.16165,    0.82405,    0.86487,   11.93517,    5.95471,    0.95814,   -3.36641,Segment:  28
   1.18444,    0.84376,    1.08766,   11.94658,    5.96990,    0.89559,   -3.21097,Segment:  29
   1.20730,    0.86863,    1.31291,   11.95928,    5.98480,    0.83448,   -3.02977,Segment:  30
   1.23019,    0.89867,    1.52400,   11.97331,    5.99937,    0.77520,   -2.83056,Segment:  31
   1.25306,    0.93354,    1.52400,   11.98869,    6.01359,    0.71807,   -2.62100,Segment:  32
   1.27596,    0.96843,    1.52400,   12.00548,    6.02746,    0.66333,   -2.40814,Segment:  33
   1.29896,    1.00348,    1.52400,   12.02371,    6.04094,    0.61113,   -2.19791,Segment:  34
   1.32212,    1.03878,    1.52400,   12.04342,    6.05402,    0.56158,   -1.99500,Segment:  35
   1.34550,    1.07442,    1.52400,   12.06464,    6.06668,    0.51469,   -1.80277,Segment:  36
   1.39312,    1.14699,    1.52400,   12.11179,    6.09064,    0.42882,   -1.45813,Segment:  37
   1.44204,    1.22153,    1.52400,   12.16535,    6.11271,    0.35669,   -1.06293,Segment:  38
   1.49210,    1.29783,    1.52400,   12.22508,    6.13293,    0.29882,   -0.79230,Segment:  39
   1.54304,    1.37546,    1.52400,   12.29063,    6.15137,    0.25175,   -0.60368,Segment:  40
   1.59461,    1.45405,    1.52400,   12.36163,    6.16811,    0.21292,   -0.46945,Segment:  41
   1.64656,    1.53323,    1.52400,   12.43775,    6.18322,    0.18050,   -0.37188,Segment:  42
   1.69869,    1.61267,    1.52400,   12.51862,    6.19680,    0.15315,   -0.29948,Segment:  43
   1.75081,    1.69210,    1.52400,   12.60388,    6.20891,    0.12984,   -0.24471,Segment:  44
   1.80275,    1.77126,    1.52400,   12.69319,    6.21964,    0.10982,   -0.20252,Segment:  45
   1.85438,    1.84994,    1.52400,   12.78618,    6.22905,    0.09250,   -0.16948,Segment:  46
   1.90556,    1.92794,    1.52400,   12.88251,    6.23724,    0.07744,   -0.14319,Segment:  47
   1.95618,    2.00509,    1.52400,   12.98182,    6.24427,    0.06428,   -0.12196,Segment:  48
   2.00616,    2.08125,    1.52400,   13.08375,    6.25022,    0.05275,   -0.10458,Segment:  49
   2.05539,    2.15629,    1.52400,   13.18795,    6.25518,    0.04262,   -0.09014,Segment:  50
   2.10381,    2.23008,    1.52400,   13.29407,    6.25922,    0.03371,   -0.07799,Segment:  51
   2.15135,    2.30252,    1.52400,   13.40175,    6.26242,    0.02588,   -0.06760,Segment:  52
   2.19793,    2.37352,    1.52400,   13.51064,    6.26486,    0.01902,   -0.05860,Segment:  53
   2.24350,    2.44297,    1.27677,   13.62038,    6.26661,    0.01303,   -0.05066,Segment:  54
   2.28811,    2.49992,    0.13444,   13.73061,    6.26775,    0.00785,   -0.04353,Segment:  55
   2.33221,    2.50585,    0.12704,   13.84099,    6.26837,    0.00341,   -0.03700,Segment:  56
   2.37613,    2.51143,    0.12345,   13.95116,    6.26853,   -0.00033,   -0.03089,Segment:  57
   2.41972,    2.51681,   -0.09238,   14.06076,    6.26832,   -0.00339,   -0.02502,Segment:  58
   2.46294,    2.51282,   -1.52400,   14.16944,    6.26782,   -0.00579,   -0.01922,Segment:  59
   2.50625,    2.44681,   -1.52400,   14.27685,    6.26710,   -0.00754,   -0.01332,Segment:  60
   2.55008,    2.38001,   -1.52400,   14.38262,    6.26623,   -0.00863,   -0.00713,Segment:  61
   2.59432,    2.31259,   -1.52400,   14.48642,    6.26531,   -0.00903,   -0.00042,Segment:  62
   2.63885,    2.24474,   -1.52400,   14.58787,    6.26441,   -0.00870,    0.00710,Segment:  63
   2.68352,    2.17665,   -1.52400,   14.68663,    6.26360,   -0.00758,    0.01580,Segment:  64
