#======= TRAJECTORY BEGIN: Move from BLUE Reef F to source 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.380       2.811      -1.047       0.000      -0.000       0.000       0.100
#--------Waypoint:     5.436       1.961      -2.217       0.764      -0.376      -1.169       0.500
#--------Waypoint:     2.421       1.788      -3.023      -0.594      -3.075      -1.975       0.400
#--------Waypoint:     1.411       1.426      -2.199      -0.785      -4.130      -1.152       0.900
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.28600  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    5.38043,    2.81107,   -1.04720,  126.93208,Segment:  1
   0.03473,    0.05293,    1.52400,    5.38092,    2.81029,   -0.97524,   49.07627,Segment:  2
   0.05267,    0.08028,    1.52400,    5.38162,    2.80932,   -0.93499,   23.31425,Segment:  3
   0.08355,    0.12733,    1.52400,    5.38358,    2.80679,   -0.89326,    7.32806,Segment:  4
   0.13967,    0.21286,    1.52400,    5.38971,    2.79947,   -0.86376,    1.16927,Segment:  5
   0.24411,    0.37202,    1.52400,    5.40965,    2.77634,   -0.86082,   -0.31464,Segment:  6
   0.43368,    0.66093,    1.52400,    5.47175,    2.70064,   -0.91077,   -0.60526,Segment:  7
   0.51952,    0.79175,    1.52400,    5.50900,    2.65064,   -0.95134,   -0.69867,Segment:  8
   0.59935,    0.91341,    1.52400,    5.54711,    2.59424,   -1.00313,   -0.82954,Segment:  9
   0.67312,    1.02584,    1.52400,    5.58363,    2.53274,   -1.06893,   -1.02136,Segment:  10
   0.74083,    1.12903,    0.50626,    5.61611,    2.46742,   -1.15311,   -1.30321,Segment:  11
   0.77290,    1.14526,   -1.52400,    5.63008,    2.43373,   -1.20393,   -1.48909,Segment:  12
   0.80523,    1.09600,   -1.52400,    5.64211,    2.39956,   -1.26178,   -1.71101,Segment:  13
   0.83872,    1.04497,   -1.52400,    5.65191,    2.36508,   -1.32767,   -1.97195,Segment:  14
   0.87346,    0.99202,   -1.52400,    5.65916,    2.33044,   -1.40265,   -2.27113,Segment:  15
   0.90966,    0.93685,   -1.52400,    5.66357,    2.29581,   -1.48762,   -2.60051,Segment:  16
   0.92840,    0.90829,   -1.38230,    5.66461,    2.27855,   -1.53407,   -2.77095,Segment:  17
   0.94762,    0.88172,   -1.19661,    5.66483,    2.26135,   -1.58320,   -2.94044,Segment:  18
   0.96731,    0.85816,   -1.00661,    5.66417,    2.24424,   -1.63499,   -3.10413,Segment:  19
   0.98746,    0.83788,   -0.81251,    5.66262,    2.22722,   -1.68935,   -3.25623,Segment:  20
   1.00805,    0.82115,   -0.61452,    5.66012,    2.21033,   -1.74614,   -3.39024,Segment:  21
   1.02904,    0.80825,   -0.41285,    5.65664,    2.19358,   -1.80512,   -3.49936,Segment:  22
   1.05043,    0.79942,   -0.20767,    5.65215,    2.17699,   -1.86600,   -3.57707,Segment:  23
   1.07215,    0.79491,    0.00083,    5.64660,    2.16058,   -1.92837,   -3.61780,Segment:  24
   1.09419,    0.79492,    0.21250,    5.63995,    2.14438,   -1.99181,   -3.61763,Segment:  25
   1.11648,    0.79966,    0.42718,    5.63217,    2.12839,   -2.05581,   -3.57489,Segment:  26
   1.13899,    0.80928,    0.64471,    5.62321,    2.11266,   -2.11984,   -3.49045,Segment:  27
   1.16167,    0.82390,    0.86496,    5.61305,    2.09718,   -2.18340,   -3.36769,Segment:  28
   1.18446,    0.84361,    1.08780,    5.60164,    2.08198,   -2.24596,   -3.21214,Segment:  29
   1.20732,    0.86848,    1.31310,    5.58894,    2.06709,   -2.30708,   -3.03082,Segment:  30
   1.23020,    0.89853,    1.52400,    5.57492,    2.05252,   -2.36637,   -2.83147,Segment:  31
   1.25308,    0.93339,    1.52400,    5.55954,    2.03830,   -2.42351,   -2.62178,Segment:  32
   1.27598,    0.96829,    1.52400,    5.54275,    2.02443,   -2.47827,   -2.40878,Segment:  33
   1.29897,    1.00334,    1.52400,    5.52452,    2.01095,   -2.53047,   -2.19844,Segment:  34
   1.32214,    1.03864,    1.52400,    5.50482,    1.99787,   -2.58003,   -1.99541,Segment:  35
   1.34552,    1.07428,    1.52400,    5.48360,    1.98522,   -2.62692,   -1.80309,Segment:  36
   1.39314,    1.14685,    1.52400,    5.43646,    1.96126,   -2.71279,   -1.45831,Segment:  37
   1.44206,    1.22140,    1.52400,    5.38290,    1.93919,   -2.78493,   -1.06301,Segment:  38
   1.49213,    1.29770,    1.52400,    5.32317,    1.91898,   -2.84280,   -0.79232,Segment:  39
   1.54307,    1.37534,    1.52400,    5.25762,    1.90054,   -2.88987,   -0.60367,Segment:  40
   1.59464,    1.45393,    1.52400,    5.18662,    1.88381,   -2.92870,   -0.46943,Segment:  41
   1.64660,    1.53311,    1.52400,    5.11050,    1.86869,   -2.96111,   -0.37186,Segment:  42
   1.69873,    1.61256,    1.52400,    5.02964,    1.85511,   -2.98847,   -0.29945,Segment:  43
   1.75085,    1.69200,    1.52400,    4.94437,    1.84301,   -3.01177,   -0.24468,Segment:  44
   1.80280,    1.77116,    1.52400,    4.85507,    1.83228,   -3.03179,   -0.20249,Segment:  45
