#======= TRAJECTORY BEGIN: Move from BLUE Reef F to source 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.385       2.713       3.508       0.000       0.000       0.000       1.000
#--------Waypoint:     3.492       2.019       3.491       2.016      -0.031      -0.017       0.000
#--------Waypoint:     1.389       1.395       3.403       4.203      -0.202      -0.105       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.54000  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    5.38488,    2.71257,   -2.77507,   -0.00326,Segment:  1
   0.31360,    0.47792,    1.52400,    5.31491,    2.68572,   -2.77535,   -0.00414,Segment:  2
   0.44159,    0.67298,    1.52400,    5.24614,    2.65936,   -2.77569,   -0.00509,Segment:  3
   0.53856,    0.82076,    1.52400,    5.17851,    2.63346,   -2.77609,   -0.00611,Segment:  4
   0.61930,    0.94381,    1.52400,    5.11197,    2.60801,   -2.77657,   -0.00718,Segment:  5
   0.68959,    1.05094,    1.52400,    5.04647,    2.58300,   -2.77711,   -0.00832,Segment:  6
   0.75241,    1.14668,    1.52400,    4.98197,    2.55842,   -2.77773,   -0.00952,Segment:  7
   0.80955,    1.23375,    1.52400,    4.91841,    2.53424,   -2.77842,   -0.01078,Segment:  8
   0.86216,    1.31394,    1.52400,    4.85575,    2.51045,   -2.77918,   -0.01209,Segment:  9
   0.91108,    1.38849,    1.52400,    4.79393,    2.48704,   -2.78003,   -0.01345,Segment:  10
   0.95691,    1.45833,    1.52400,    4.73291,    2.46399,   -2.78095,   -0.01485,Segment:  11
   1.00010,    1.52415,    1.52400,    4.67264,    2.44130,   -2.78195,   -0.01628,Segment:  12
   1.04101,    1.58650,    1.52400,    4.61306,    2.41893,   -2.78303,   -0.01775,Segment:  13
   1.11712,    1.70250,    1.52400,    4.49581,    2.37515,   -2.78544,   -0.02072,Segment:  14
   1.18701,    1.80900,    1.52400,    4.38075,    2.33252,   -2.78816,   -0.02369,Segment:  15
   1.25193,    1.90794,    1.52400,    4.26749,    2.29093,   -2.79120,   -0.02657,Segment:  16
   1.31282,    2.00074,    1.52400,    4.15565,    2.25026,   -2.79452,   -0.02926,Segment:  17
   1.37043,    2.08854,    1.52400,    4.04481,    2.21039,   -2.79811,   -0.03166,Segment:  18
   1.42534,    2.17222,    1.52400,    3.93460,    2.17120,   -2.80194,   -0.03369,Segment:  19
   1.47803,    2.25252,    1.52400,    3.82461,    2.13259,   -2.80596,   -0.03528,Segment:  20
   1.52891,    2.33006,    1.52400,    3.71445,    2.09442,   -2.81014,   -0.03637,Segment:  21
   1.57833,    2.40538,    1.52400,    3.60372,    2.05657,   -2.81444,   -0.03692,Segment:  22
   1.62659,    2.47893,    0.57085,    3.49203,    2.01894,   -2.81880,   -0.03695,Segment:  23
   1.67437,    2.50620,   -1.34030,    3.37902,    1.98142,   -2.82318,   -0.03662,Segment:  24
   1.72310,    2.44089,   -1.52400,    3.26446,    1.94393,   -2.82756,   -0.03605,Segment:  25
   1.77397,    2.36336,   -1.52400,    3.14815,    1.90644,   -2.83192,   -0.03527,Segment:  26
   1.82739,    2.28195,   -1.52400,    3.02990,    1.86889,   -2.83624,   -0.03430,Segment:  27
   1.88372,    2.19609,   -1.52400,    2.90952,    1.83122,   -2.84049,   -0.03316,Segment:  28
   1.91312,    2.15129,   -1.52400,    2.84847,    1.81234,   -2.84259,   -0.03254,Segment:  29
   1.94343,    2.10510,   -1.52400,    2.78681,    1.79340,   -2.84467,   -0.03189,Segment:  30
   1.97472,    2.05741,   -1.52400,    2.72451,    1.77441,   -2.84673,   -0.03122,Segment:  31
   2.00707,    2.00811,   -1.52400,    2.66157,    1.75536,   -2.84876,   -0.03052,Segment:  32
   2.04058,    1.95704,   -1.52400,    2.59794,    1.73625,   -2.85076,   -0.02979,Segment:  33
   2.07536,    1.90404,   -1.52400,    2.53361,    1.71706,   -2.85274,   -0.02906,Segment:  34
   2.11152,    1.84894,   -1.52400,    2.46855,    1.69780,   -2.85468,   -0.02831,Segment:  35
   2.14920,    1.79150,   -1.52400,    2.40273,    1.67845,   -2.85660,   -0.02754,Segment:  36
   2.18859,    1.73148,   -1.52400,    2.33614,    1.65901,   -2.85848,   -0.02677,Segment:  37
   2.22986,    1.66858,   -1.52400,    2.26875,    1.63947,   -2.86033,   -0.02600,Segment:  38
   2.27327,    1.60243,   -1.52400,    2.20053,    1.61983,   -2.86215,   -0.02522,Segment:  39
   2.31910,    1.53259,   -1.52400,    2.13146,    1.60007,   -2.86393,   -0.02444,Segment:  40
   2.36772,    1.45849,   -1.52400,    2.06152,    1.58021,   -2.86568,   -0.02366,Segment:  41
   2.41959,    1.37943,   -1.52400,    1.99067,    1.56021,   -2.86740,   -0.02289,Segment:  42
   2.47534,    1.29447,   -1.52400,    1.91891,    1.54009,   -2.86907,   -0.02212,Segment:  43
   2.53581,    1.20232,   -1.52400,    1.84619,    1.51983,   -2.87071,   -0.02137,Segment:  44
   2.60219,    1.10115,   -1.52400,    1.77250,    1.49943,   -2.87232,   -0.02062,Segment:  45
   2.67634,    0.98814,   -1.52400,    1.69782,    1.47889,   -2.87389,   -0.01988,Segment:  46
   2.76134,    0.85860,   -1.52400,    1.62211,    1.45818,   -2.87542,   -0.01915,Segment:  47
   2.86318,    0.70340,   -1.52400,    1.54536,    1.43732,   -2.87691,   -0.01844,Segment:  48
   2.99726,    0.49907,   -1.52400,    1.46754,    1.41629,   -2.87837,   -0.01774,Segment:  49
   3.32473,    0.00000,   -1.52400,    1.38863,    1.39508,   -2.87979,   -0.01705,Segment:  50
#======= TRAJECTORY END: Move from BLUE Reef F to source 
