#======= TRAJECTORY BEGIN: BLUE feeder to Reef B
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.411       1.426       0.942       0.000       0.000       0.000       0.400
#--------Waypoint:     1.865       2.115       0.349       0.824       0.038      -0.593       0.100
#--------Waypoint:     2.063       3.634       1.026       2.170       0.770       0.084       0.200
#--------Waypoint:     2.991       3.862       0.000       2.899       0.154      -0.942       0.900
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    1.41102,    1.42591,    0.94248,   -5.38880,Segment:  1
   0.13021,    0.19845,    1.52400,    1.41894,    1.43612,    0.88259,   -3.95633,Segment:  2
   0.18723,    0.28533,    1.52400,    1.42796,    1.44655,    0.83604,   -2.85492,Segment:  3
   0.27345,    0.41673,    1.52400,    1.44901,    1.46829,    0.77450,   -1.37313,Segment:  4
   0.41017,    0.62509,    1.52400,    1.50124,    1.51671,    0.73686,    0.04523,Segment:  5
   0.52858,    0.80556,    1.52400,    1.56327,    1.57439,    0.76942,    0.63243,Segment:  6
   0.63804,    0.97237,    1.52400,    1.63067,    1.64458,    0.84638,    0.90916,Segment:  7
   0.69069,    1.05261,    1.52400,    1.66499,    1.68537,    0.89699,    0.98284,Segment:  8
   0.74243,    1.13147,    1.52400,    1.69898,    1.73050,    0.95384,    1.02356,Segment:  9
   0.79358,    1.20942,    0.24238,    1.73210,    1.78038,    1.01561,    1.03507,Segment:  10
   0.84581,    1.22208,    0.42075,    1.76378,    1.83540,    1.08101,    1.02044,Segment:  11
   0.90050,    1.24509,    0.65044,    1.79347,    1.89598,    1.14870,    0.98307,Segment:  12
   0.95737,    1.28208,    0.86843,    1.82062,    1.96252,    1.21743,    0.92716,Segment:  13
   1.01608,    1.33306,    1.08179,    1.84467,    2.03542,    1.28599,    0.85760,Segment:  14
   1.07629,    1.39821,    1.52400,    1.86506,    2.11508,    1.35332,    0.77955,Segment:  15
   1.13730,    1.49117,    1.52400,    1.88145,    2.20168,    1.41078,    0.54204,Segment:  16
   1.19816,    1.58393,    1.52400,    1.89427,    2.29437,    1.45329,    0.37732,Segment:  17
   1.25843,    1.67578,    1.52400,    1.90419,    2.39210,    1.48417,    0.25829,Segment:  18
   1.31769,    1.76609,    1.52400,    1.91184,    2.49379,    1.50568,    0.16772,Segment:  19
   1.37556,    1.85429,    0.82500,    1.91788,    2.59838,    1.51929,    0.09437,Segment:  20
   1.43230,    1.90110,   -1.52400,    1.92295,    2.70480,    1.52587,    0.03040,Segment:  21
   1.49006,    1.81306,   -1.52400,    1.92771,    2.81197,    1.52587,   -0.03021,Segment:  22
   1.55061,    1.72079,   -1.52400,    1.93280,    2.91882,    1.51934,   -0.09287,Segment:  23
   1.61377,    1.62453,   -1.52400,    1.93888,    3.02430,    1.50591,   -0.16325,Segment:  24
   1.67938,    1.52454,   -1.52400,    1.94659,    3.12732,    1.48483,   -0.24841,Segment:  25
   1.74728,    1.42106,   -1.52400,    1.95658,    3.22682,    1.45480,   -0.35807,Segment:  26
   1.81732,    1.31432,   -1.52400,    1.96950,    3.32173,    1.41382,   -0.50660,Segment:  27
   1.88939,    1.20449,   -1.52400,    1.98600,    3.41099,    1.35899,   -0.71594,Segment:  28
   1.96351,    1.09153,   -1.52400,    2.00673,    3.49351,    1.28612,   -1.01921,Segment:  29
   2.00142,    1.03376,   -1.52400,    2.01888,    3.53192,    1.24117,   -1.22004,Segment:  30
   2.03998,    0.97499,   -1.52400,    2.03234,    3.56824,    1.18939,   -1.46230,Segment:  31
   2.07934,    0.91501,   -1.52400,    2.04717,    3.60234,    1.12980,   -1.75192,Segment:  32
   2.11970,    0.85349,   -0.70824,    2.06347,    3.63410,    1.06138,   -2.09213,Segment:  33
   2.16058,    0.82454,   -0.50691,    2.08129,    3.66341,    0.98697,   -2.24163,Segment:  34
   2.20125,    0.80392,   -0.30755,    2.10057,    3.69033,    0.91070,   -2.35808,Segment:  35
   2.24157,    0.79152,   -0.10956,    2.12125,    3.71496,    0.83354,   -2.43253,Segment:  36
   2.28137,    0.78716,    0.08780,    2.14325,    3.73739,    0.75654,   -2.45956,Segment:  37
   2.32051,    0.79060,    0.28550,    2.16650,    3.75771,    0.68078,   -2.43822,Segment:  38
   2.35885,    0.80155,    0.48480,    2.19091,    3.77604,    0.60724,   -2.37208,Segment:  39
   2.39627,    0.81969,    0.68736,    2.21642,    3.79245,    0.53677,   -2.26825,Segment:  40
   2.43266,    0.84469,    0.89534,    2.24294,    3.80705,    0.47002,   -2.13592,Segment:  41
   2.46792,    0.87626,    1.11163,    2.27041,    3.81993,    0.40746,   -1.98479,Segment:  42
   2.50198,    0.91413,    1.34015,    2.29876,    3.83118,    0.34937,   -1.82376,Segment:  43
   2.53480,    0.95811,    1.52400,    2.32789,    3.84091,    0.29586,   -1.66018,Segment:  44
   2.56635,    1.00619,    1.52400,    2.35775,    3.84920,    0.24692,   -1.49959,Segment:  45
   2.62612,    1.09729,    1.52400,    2.41933,    3.86188,    0.16223,   -1.20072,Segment:  46
   2.68232,    1.18294,   -0.36953,    2.48289,    3.86997,    0.09385,   -0.94064,Segment:  47
   2.73782,    1.16243,   -1.52400,    2.54783,    3.87425,    0.04006,   -0.71839,Segment:  48
   2.79664,    1.07278,   -1.52400,    2.61356,    3.87547,   -0.00071,   -0.52627,Segment:  49
