#======= TRAJECTORY BEGIN: RED feeder to Reef B
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:    16.137       6.626       4.084       0.000       0.000       0.000       0.400
#--------Waypoint:    15.723       6.014       3.491       0.739       0.025      -0.593       0.100
#--------Waypoint:    15.386       4.475       4.168       2.182       0.656       0.084       0.200
#--------Waypoint:    14.557       4.190       3.142       2.899       0.153      -0.942       0.900
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.54000  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,   16.13733,    6.62589,   -2.19911,   -4.70962,Segment:  1
   0.12900,    0.19660,    1.52400,   16.12960,    6.61585,   -2.25344,   -3.86822,Segment:  2
   0.18389,    0.28025,    1.52400,   16.12110,    6.60589,   -2.29882,   -3.08273,Segment:  3
   0.26460,    0.40325,    1.52400,   16.10202,    6.58597,   -2.36459,   -1.75972,Segment:  4
   0.38848,    0.59205,    1.52400,   16.05665,    6.54423,   -2.41410,   -0.07479,Segment:  5
   0.49438,    0.75344,    1.52400,   16.00389,    6.49636,   -2.38563,    0.75041,Segment:  6
   0.59319,    0.90403,    1.52400,   15.94642,    6.43803,   -2.30732,    1.09310,Segment:  7
   0.64151,    0.97766,    1.52400,   15.91675,    6.40359,   -2.25614,    1.14687,Segment:  8
   0.68966,    1.05105,    1.52400,   15.88690,    6.36492,   -2.19998,    1.14423,Segment:  9
   0.73803,    1.12476,    1.52400,   15.85722,    6.32147,   -2.14081,    1.09905,Segment:  10
   0.78694,    1.19929,    1.52400,   15.82803,    6.27271,   -2.08038,    1.02417,Segment:  11
   0.83668,    1.27510,    1.52400,   15.79966,    6.21810,   -2.02018,    0.93117,Segment:  12
   0.88752,    1.35258,    1.52400,   15.77246,    6.15709,   -1.96138,    0.82986,Segment:  13
   0.93970,    1.43210,    1.52400,   15.74676,    6.08915,   -1.90486,    0.72787,Segment:  14
   0.99340,    1.51394,    1.52400,   15.72288,    6.01373,   -1.85122,    0.63059,Segment:  15
   1.04865,    1.59814,    1.52400,   15.70105,    5.93057,   -1.80674,    0.42222,Segment:  16
   1.10487,    1.68383,    1.52400,   15.68102,    5.84051,   -1.77459,    0.28510,Segment:  17
   1.16141,    1.77000,    1.52400,   15.66243,    5.74466,   -1.75170,    0.18965,Segment:  18
   1.21771,    1.85579,    1.52400,   15.64491,    5.64411,   -1.73613,    0.11907,Segment:  19
   1.27328,    1.94048,    1.52400,   15.62810,    5.53998,   -1.72663,    0.06322,Segment:  20
   1.32770,    2.02342,    1.32903,   15.61163,    5.43339,   -1.72244,    0.01556,Segment:  21
