#======= TRAJECTORY BEGIN: BLUE source to Reef F
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.389       1.395      -0.087      -0.000      -0.000       0.000       0.100
#--------Waypoint:     5.198       1.250       0.349       3.808       0.187       0.436       0.100
#--------Waypoint:     5.380       2.811       2.094       3.853       1.758       2.182       0.100
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      2.54000  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    1.38862,    1.39510,   -0.08727,   -0.03542,Segment:  1
   0.30641,    0.46697,    1.52400,    1.45988,    1.38877,   -0.08970,   -0.03276,Segment:  2
   0.43349,    0.66064,    1.52400,    1.53123,    1.38227,   -0.09196,   -0.03017,Segment:  3
   0.53107,    0.80936,    1.52400,    1.60265,    1.37561,   -0.09403,   -0.02763,Segment:  4
   0.61339,    0.93480,    1.52400,    1.67411,    1.36880,   -0.09593,   -0.02514,Segment:  5
   0.68592,    1.04534,    1.52400,    1.74558,    1.36186,   -0.09764,   -0.02269,Segment:  6
   0.75149,    1.14528,    1.52400,    1.81706,    1.35480,   -0.09918,   -0.02026,Segment:  7
   0.81178,    1.23715,    1.52400,    1.88851,    1.34764,   -0.10055,   -0.01786,Segment:  8
   0.86786,    1.32261,    1.52400,    1.95992,    1.34039,   -0.10175,   -0.01548,Segment:  9
   0.92048,    1.40281,    1.52400,    2.03125,    1.33307,   -0.10278,   -0.01311,Segment:  10
   0.97020,    1.47858,    1.52400,    2.10250,    1.32569,   -0.10363,   -0.01074,Segment:  11
   1.01742,    1.55054,    1.52400,    2.17363,    1.31827,   -0.10431,   -0.00837,Segment:  12
   1.06246,    1.61919,    1.52400,    2.24463,    1.31082,   -0.10483,   -0.00599,Segment:  13
   1.10558,    1.68490,    1.52400,    2.31547,    1.30335,   -0.10517,   -0.00359,Segment:  14
   1.14697,    1.74799,    1.52400,    2.38613,    1.29588,   -0.10534,   -0.00116,Segment:  15
   1.18682,    1.80871,    1.52400,    2.45659,    1.28843,   -0.10533,    0.00130,Segment:  16
   1.22524,    1.86727,    1.52400,    2.52682,    1.28101,   -0.10515,    0.00380,Segment:  17
   1.26237,    1.92385,    1.52400,    2.59681,    1.27364,   -0.10480,    0.00635,Segment:  18
   1.29829,    1.97860,    1.52400,    2.66653,    1.26632,   -0.10426,    0.00896,Segment:  19
   1.33311,    2.03165,    1.52400,    2.73596,    1.25908,   -0.10354,    0.01164,Segment:  20
   1.36688,    2.08312,    1.52400,    2.80507,    1.25193,   -0.10264,    0.01439,Segment:  21
   1.39968,    2.13311,    1.52400,    2.87385,    1.24488,   -0.10154,    0.01724,Segment:  22
   1.43155,    2.18169,    1.52400,    2.94227,    1.23796,   -0.10026,    0.02018,Segment:  23
   1.46256,    2.22894,    1.52400,    3.01031,    1.23116,   -0.09877,    0.02323,Segment:  24
   1.49274,    2.27493,    1.52400,    3.07795,    1.22451,   -0.09709,    0.02641,Segment:  25
   1.52213,    2.31973,    1.52400,    3.14517,    1.21803,   -0.09519,    0.02973,Segment:  26
   1.55077,    2.36338,    1.52400,    3.21193,    1.21172,   -0.09309,    0.03320,Segment:  27
   1.57869,    2.40593,    1.52400,    3.27823,    1.20561,   -0.09076,    0.03684,Segment:  28
   1.60592,    2.44742,    1.52400,    3.34404,    1.19971,   -0.08820,    0.04066,Segment:  29
   1.63248,    2.48790,    0.27245,    3.40933,    1.19402,   -0.08540,    0.04470,Segment:  30
   1.65856,    2.49501,   -0.15759,    3.47409,    1.18858,   -0.08236,    0.04896,Segment:  31
   1.68440,    2.49094,   -0.16806,    3.53829,    1.18338,   -0.07906,    0.05348,Segment:  32
   1.71004,    2.48663,   -0.18608,    3.60191,    1.17846,   -0.07550,    0.05828,Segment:  33
   1.76070,    2.47720,   -0.21471,    3.72732,    1.16946,   -0.06752,    0.06883,Segment:  34
   1.81049,    2.46651,   -0.24999,    3.85015,    1.16170,   -0.05833,    0.08090,Segment:  35
   1.85935,    2.45429,   -0.60849,    3.97020,    1.15531,   -0.04779,    0.09482,Segment:  36
   1.90740,    2.42506,   -1.52400,    4.08732,    1.15040,   -0.03576,    0.11101,Segment:  37
   1.95514,    2.35230,   -1.52400,    4.20131,    1.14708,   -0.02205,    0.13000,Segment:  38
   2.00295,    2.27945,   -1.52400,    4.31201,    1.14548,   -0.00645,    0.15249,Segment:  39
   2.05075,    2.20660,   -1.52400,    4.41923,    1.14571,    0.01128,    0.17931,Segment:  40
