#======= TRAJECTORY BEGIN: moves from center to 21 (assumng R21)
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.061       4.076       3.142       0.000       0.000       0.000       1.000
#--------Waypoint:     6.058       4.190       3.124       1.004      -0.114      -0.017       0.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          0.38100  m/s
#--------Maximum Acceleration:      0.76200  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          0.38100  m/s
#--------Track width:               0.50800  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.50800  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          0.38100  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.76200,    7.06120,    4.07634,    3.14159,   -0.43641,Segment:  1
   0.43898,    0.33450,    0.02839,    6.98779,    4.07755,    3.10855,   -0.46175,Segment:  2
   0.64413,    0.34033,    0.00531,    6.91865,    4.08095,    3.07617,   -0.47054,Segment:  3
   0.83685,    0.34135,    0.01679,    6.85318,    4.08625,    3.04556,   -0.45733,Segment:  4
   1.02000,    0.34442,    0.03828,    6.79076,    4.09315,    3.01792,   -0.41809,Segment:  5
   1.36022,    0.35745,    0.06770,    6.67264,    4.11052,    2.97637,   -0.25943,Segment:  6
   1.67273,    0.37860,   -0.05511,    6.55940,    4.13065,    2.95956,   -0.02491,Segment:  7
   1.98369,    0.36147,   -0.04158,    6.44617,    4.15110,    2.97077,    0.21274,Segment:  8
   2.32093,    0.34745,   -0.01974,    6.32805,    4.16947,    3.00726,    0.38019,Segment:  9
   2.50284,    0.34386,   -0.00797,    6.26564,    4.17711,    3.03274,    0.42529,Segment:  10
   2.69451,    0.34233,   -0.03802,    6.20017,    4.18332,    3.06148,    0.44474,Segment:  11
   2.89919,    0.33455,   -0.76200,    6.13104,    4.18780,    3.09231,    0.44210,Segment:  12
   3.33823,    0.00000,   -0.76200,    6.05765,    4.19024,    3.12414,    0.42240,Segment:  13
#======= TRAJECTORY END: moves from center to 21 (assumng R21)
