#======= TRAJECTORY BEGIN: moves from r1 to 18 (assuming R18)
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.599       0.692       3.142       0.000       0.000       0.000       1.000
#--------Waypoint:     2.936       2.327       3.124       4.663      -1.634      -0.017       0.000
#--------Waypoint:     2.921       3.862       0.000       4.678      -3.169      -3.142       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.50800  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    7.59913,    0.69221,    3.14159,   -0.14372,Segment:  1
   0.44992,    0.41141,    0.91440,    7.50658,    0.69282,    3.12836,   -0.14218,Segment:  2
   0.63598,    0.58154,    0.91440,    7.41423,    0.69465,    3.11530,   -0.14067,Segment:  3
   0.77853,    0.71189,    0.91440,    7.32209,    0.69767,    3.10240,   -0.13920,Segment:  4
   0.89851,    0.82160,    0.91440,    7.23019,    0.70186,    3.08966,   -0.13778,Segment:  5
   1.00405,    0.91810,    0.91440,    7.13854,    0.70720,    3.07707,   -0.13641,Segment:  6
   1.09930,    1.00520,    0.91440,    7.04718,    0.71368,    3.06464,   -0.13508,Segment:  7
   1.18673,    1.08515,    0.91440,    6.95611,    0.72126,    3.05236,   -0.13381,Segment:  8
   1.26796,    1.15942,    0.91440,    6.86536,    0.72994,    3.04021,   -0.13260,Segment:  9
   1.34410,    1.22904,    0.91440,    6.77496,    0.73968,    3.02821,   -0.13144,Segment:  10
   1.41597,    1.29476,    0.91440,    6.68491,    0.75048,    3.01634,   -0.13034,Segment:  11
   1.48417,    1.35713,    0.91440,    6.59525,    0.76231,    3.00460,   -0.12930,Segment:  12
   1.54920,    1.41658,    0.91440,    6.50599,    0.77514,    2.99298,   -0.12833,Segment:  13
   1.61141,    1.47347,    0.91440,    6.41716,    0.78896,    2.98149,   -0.12742,Segment:  14
   1.67113,    1.52808,    0.91440,    6.32877,    0.80375,    2.97011,   -0.12657,Segment:  15
   1.72859,    1.58062,    0.91440,    6.24084,    0.81949,    2.95884,   -0.12580,Segment:  16
   1.78402,    1.63131,    0.91440,    6.15340,    0.83616,    2.94767,   -0.12510,Segment:  17
   1.83758,    1.68028,    0.91440,    6.06647,    0.85373,    2.93660,   -0.12447,Segment:  18
   1.88943,    1.72770,    0.91440,    5.98007,    0.87219,    2.92563,   -0.12392,Segment:  19
   1.93970,    1.77366,    0.91440,    5.89422,    0.89152,    2.91475,   -0.12345,Segment:  20
   1.98849,    1.81828,    0.91440,    5.80893,    0.91169,    2.90395,   -0.12306,Segment:  21
