#======= TRAJECTORY BEGIN: moves from r2 to 19 (was R19, changed to R17 because 19 is to far away)
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.341       1.750       3.124       0.000       0.000       0.000       1.000
#--------Waypoint:     3.848       2.586       0.838       3.507      -0.775      -2.286       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.50800  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.52400  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    7.34120,    1.74975,    3.12414,    0.09978,Segment:  1
   0.38703,    0.35390,    0.91440,    7.27272,    1.75073,    3.13036,    0.08259,Segment:  2
   0.55169,    0.50446,    0.91440,    7.20205,    1.75133,    3.13567,    0.06823,Segment:  3
   0.68076,    0.62249,    0.91440,    7.12933,    1.75159,    3.14018,    0.05608,Segment:  4
   0.79167,    0.72390,    0.91440,    7.05466,    1.75155,   -3.13922,    0.04567,Segment:  5
   0.89107,    0.81479,    0.91440,    6.97819,    1.75124,   -3.13608,    0.03666,Segment:  6
   0.98231,    0.89823,    0.91440,    6.90004,    1.75071,   -3.13353,    0.02875,Segment:  7
   1.06737,    0.97600,    0.91440,    6.82034,    1.74998,   -3.13152,    0.02174,Segment:  8
   1.14749,    1.04927,    0.91440,    6.73921,    1.74910,   -3.13002,    0.01543,Segment:  9
   1.22354,    1.11880,    0.91440,    6.65678,    1.74810,   -3.12899,    0.00968,Segment:  10
   1.29611,    1.18517,    0.91440,    6.57318,    1.74702,   -3.12841,    0.00438,Segment:  11
   1.36567,    1.24877,    0.91440,    6.48853,    1.74589,   -3.12825,   -0.00058,Segment:  12
   1.43256,    1.30993,    0.91440,    6.40297,    1.74476,   -3.12850,   -0.00528,Segment:  13
   1.49703,    1.36888,    0.91440,    6.31662,    1.74365,   -3.12915,   -0.00980,Segment:  14
   1.55930,    1.42583,    0.91440,    6.22961,    1.74261,   -3.13020,   -0.01421,Segment:  15
   1.61954,    1.48091,    0.91440,    6.14207,    1.74168,   -3.13163,   -0.01856,Segment:  16
   1.67789,    1.53426,    0.91440,    6.05411,    1.74088,   -3.13346,   -0.02292,Segment:  17
   1.73444,    1.58597,    0.91440,    5.96588,    1.74025,   -3.13568,   -0.02735,Segment:  18
   1.78931,    1.63614,    0.91440,    5.87749,    1.73984,   -3.13829,   -0.03189,Segment:  19
   1.84255,    1.68483,    0.91440,    5.78908,    1.73968,   -3.14132,   -0.03660,Segment:  20
   1.89424,    1.73209,    0.91440,    5.70077,    1.73981,    3.13842,   -0.04156,Segment:  21
   1.94443,    1.77799,    0.91440,    5.61269,    1.74026,    3.13453,   -0.04682,Segment:  22
   1.99316,    1.82255,    0.91440,    5.52497,    1.74106,    3.13018,   -0.05245,Segment:  23
   2.04047,    1.86581,    0.44925,    5.43772,    1.74227,    3.12534,   -0.05855,Segment:  24
   2.08665,    1.88655,   -0.91440,    5.35109,    1.74390,    3.11998,   -0.06519,Segment:  25
   2.13271,    1.84444,   -0.91440,    5.26520,    1.74601,    3.11407,   -0.07249,Segment:  26
   2.17937,    1.80177,   -0.91440,    5.18017,    1.74862,    3.10757,   -0.08057,Segment:  27
   2.22661,    1.75858,   -0.91440,    5.09614,    1.75178,    3.10042,   -0.08958,Segment:  28
   2.27440,    1.71488,   -0.91440,    5.01322,    1.75551,    3.09258,   -0.09969,Segment:  29
   2.32271,    1.67070,   -0.91440,    4.93156,    1.75986,    3.08397,   -0.11112,Segment:  30
   2.37152,    1.62607,   -0.91440,    4.85126,    1.76487,    3.07452,   -0.12412,Segment:  31
   2.42078,    1.58103,   -0.91440,    4.77247,    1.77056,    3.06414,   -0.13901,Segment:  32
   2.47047,    1.53559,   -0.91440,    4.69531,    1.77699,    3.05273,   -0.15617,Segment:  33
   2.52054,    1.48981,   -0.91440,    4.61991,    1.78417,    3.04017,   -0.17608,Segment:  34
   2.57096,    1.44370,   -0.91440,    4.54638,    1.79216,    3.02631,   -0.19934,Segment:  35
   2.62169,    1.39732,   -0.91440,    4.47487,    1.80098,    3.01100,   -0.22669,Segment:  36
   2.67267,    1.35070,   -0.91440,    4.40550,    1.81068,    2.99402,   -0.25908,Segment:  37
   2.72385,    1.30390,   -0.91440,    4.33839,    1.82129,    2.97515,   -0.29772,Segment:  38
   2.77520,    1.25695,   -0.91440,    4.27368,    1.83285,    2.95411,   -0.34417,Segment:  39
   2.87810,    1.16285,   -0.91440,    4.15194,    1.85895,    2.90409,   -0.46904,Segment:  40
   2.98092,    1.06884,   -0.91440,    4.04129,    1.88928,    2.84037,   -0.65785,Segment:  41
   3.08317,    0.97534,   -0.91440,    3.94276,    1.92414,    2.75767,   -0.95085,Segment:  42
   3.13399,    0.92887,   -0.91440,    3.89836,    1.94335,    2.70695,   -1.15521,Segment:  43
   3.18457,    0.88262,   -0.91440,    3.85737,    1.96381,    2.64843,   -1.41117,Segment:  44
   3.23494,    0.83656,   -0.91440,    3.81992,    1.98555,    2.58073,   -1.72921,Segment:  45
   3.28522,    0.79059,   -0.91440,    3.78613,    2.00860,    2.50237,   -2.11729,Segment:  46
   3.31038,    0.76758,   -0.91440,    3.77065,    2.02063,    2.45873,   -2.33809,Segment:  47
   3.33561,    0.74451,   -0.91440,    3.75614,    2.03300,    2.41190,   -2.57524,Segment:  48
   3.36095,    0.72134,   -0.91440,    3.74261,    2.04572,    2.36177,   -2.82589,Segment:  49
   3.38647,    0.69800,   -0.91440,    3.73007,    2.05880,    2.30824,   -3.08540,Segment:  50
   3.41226,    0.67442,   -0.91440,    3.71854,    2.07222,    2.25132,   -3.34697,Segment:  51
   3.43842,    0.65050,   -0.76621,    3.70804,    2.08601,    2.19109,   -3.60160,Segment:  52
   3.46501,    0.63013,   -0.60309,    3.69858,    2.10017,    2.12773,   -3.83820,Segment:  53
   3.49198,    0.61386,   -0.43935,    3.69019,    2.11469,    2.06155,   -4.04431,Segment:  54
   3.51929,    0.60186,   -0.27494,    3.68287,    2.12959,    1.99298,   -4.20717,Segment:  55
   3.54687,    0.59428,   -0.10984,    3.67664,    2.14487,    1.92258,   -4.31525,Segment:  56
   3.57467,    0.59122,    0.05596,    3.67152,    2.16053,    1.85100,   -4.35994,Segment:  57
   3.60261,    0.59279,    0.22249,    3.66752,    2.17658,    1.77896,   -4.33697,Segment:  58
   3.63062,    0.59902,    0.38976,    3.66466,    2.19302,    1.70722,   -4.24720,Segment:  59
   3.65863,    0.60993,    0.55780,    3.66296,    2.20986,    1.63651,   -4.09656,Segment:  60
   3.68655,    0.62551,    0.72661,    3.66242,    2.22711,    1.56751,   -3.89505,Segment:  61
   3.71434,    0.64570,    0.89622,    3.66308,    2.24476,    1.50078,   -3.65527,Segment:  62
   3.74193,    0.67043,    0.91440,    3.66493,    2.26282,    1.43679,   -3.39060,Segment:  63
   3.76936,    0.69551,    0.91440,    3.66801,    2.28130,    1.37586,   -3.11378,Segment:  64
   3.79674,    0.72054,    0.91440,    3.67232,    2.30020,    1.31822,   -2.83575,Segment:  65
   3.82416,    0.74562,   -0.27808,    3.67788,    2.31952,    1.26395,   -2.56512,Segment:  66
   3.85234,    0.73779,   -0.91440,    3.68470,    2.33927,    1.21306,   -2.30809,Segment:  67
   3.88239,    0.71031,   -0.91440,    3.69281,    2.35946,    1.16550,   -2.06864,Segment:  68
   3.95056,    0.64797,   -0.91440,    3.71294,    2.40116,    1.07985,   -1.64955,Segment:  69
   4.03314,    0.57247,   -0.91440,    3.73839,    2.44465,    1.00571,   -1.31024,Segment:  70
   4.13767,    0.47688,   -0.91440,    3.76928,    2.48996,    0.94159,   -1.04193,Segment:  71
   4.28297,    0.34402,   -0.91440,    3.80575,    2.53715,    0.88604,   -0.83221,Segment:  72
   4.65920,    0.00000,   -0.91440,    3.84793,    2.58624,    0.83776,   -0.66890,Segment:  73
#======= TRAJECTORY END: moves from r2 to 19 (was R19, changed to R17 because 19 is to far away)
