#======= TRAJECTORY BEGIN: moves from robot starting line to reef
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.714       4.057       0.104       0.000       0.000       0.000       0.200
#--------Waypoint:     7.639       4.019       0.000       1.910      -0.239      -0.104       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,  -30.63057,Segment:  1
   0.15097,    0.13805,    0.91440,    0.01040,   -0.00059,   -0.08011,   -2.30042,Segment:  2
   0.25138,    0.22986,    0.91440,    0.02880,   -0.00230,   -0.10117,   -0.59336,Segment:  3
   0.43891,    0.40134,    0.91440,    0.08762,   -0.00884,   -0.11632,   -0.11771,Segment:  4
   0.61636,    0.56360,    0.91440,    0.17262,   -0.01907,   -0.12226,   -0.04171,Segment:  5
   0.78517,    0.71796,    0.91440,    0.27996,   -0.03245,   -0.12530,   -0.01904,Segment:  6
   0.94546,    0.86453,    0.91440,    0.40578,   -0.04842,   -0.12704,   -0.00977,Segment:  7
   1.02238,    0.93487,    0.91440,    0.47442,   -0.05721,   -0.12762,   -0.00709,Segment:  8
   1.09711,    1.00320,    0.91440,    0.54625,   -0.06644,   -0.12806,   -0.00509,Segment:  9
   1.16961,    1.06950,    0.91440,    0.62077,   -0.07605,   -0.12838,   -0.00353,Segment:  10
   1.23986,    1.13372,    0.91440,    0.69751,   -0.08597,   -0.12860,   -0.00226,Segment:  11
   1.30779,    1.19585,    0.91440,    0.77599,   -0.09612,   -0.12874,   -0.00118,Segment:  12
   1.37338,    1.25582,    0.91440,    0.85572,   -0.10645,   -0.12879,   -0.00021,Segment:  13
   1.43657,    1.31360,   -0.48861,    0.93623,   -0.11687,   -0.12877,    0.00072,Segment:  14
   1.49933,    1.28294,   -0.91440,    1.01704,   -0.12733,   -0.12867,    0.00164,Segment:  15
   1.56420,    1.22363,   -0.91440,    1.09766,   -0.13776,   -0.12850,    0.00261,Segment:  16
   1.63179,    1.16182,   -0.91440,    1.17761,   -0.14808,   -0.12825,    0.00369,Segment:  17
   1.70212,    1.09750,   -0.91440,    1.25642,   -0.15823,   -0.12791,    0.00494,Segment:  18
   1.77525,    1.03064,   -0.91440,    1.33360,   -0.16814,   -0.12747,    0.00645,Segment:  19
   1.85124,    0.96115,   -0.91440,    1.40866,   -0.17774,   -0.12691,    0.00835,Segment:  20
   1.93023,    0.88892,   -0.91440,    1.48115,   -0.18696,   -0.12621,    0.01082,Segment:  21
   2.01241,    0.81378,   -0.91440,    1.55056,   -0.19574,   -0.12535,    0.01415,Segment:  22
   2.09810,    0.73543,   -0.91440,    1.61641,   -0.20401,   -0.12426,    0.01882,Segment:  23
   2.28247,    0.56684,   -0.91440,    1.73556,   -0.21872,   -0.12114,    0.03612,Segment:  24
   2.49514,    0.37237,   -0.91440,    1.83473,   -0.23056,   -0.11570,    0.08316,Segment:  25
   2.90237,    0.00000,   -0.91440,    1.91008,   -0.23897,   -0.10448,    0.27245,Segment:  26
#======= TRAJECTORY END: moves from robot starting line to reef
