#======= TRAJECTORY BEGIN: moves from robot starting line to reef L22
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.540       1.980      -3.124       0.000       0.000       0.000       3.200
#--------Waypoint:     4.881       3.153      -1.047       2.638      -1.219       2.077      -1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,   -0.54351,Segment:  1
   0.46999,    0.42976,    0.91440,    0.10096,   -0.00267,   -0.05190,   -0.48565,Segment:  2
   0.66792,    0.61074,    0.91440,    0.20363,   -0.01049,   -0.09923,   -0.43473,Segment:  3
   0.82188,    0.75153,    0.91440,    0.30773,   -0.02317,   -0.14243,   -0.39037,Segment:  4
   0.95328,    0.87168,    0.91440,    0.41297,   -0.04043,   -0.18196,   -0.35200,Segment:  5
   1.07028,    0.97866,    0.91440,    0.51905,   -0.06197,   -0.21823,   -0.31897,Segment:  6
   1.17700,    1.07625,    0.91440,    0.62568,   -0.08752,   -0.25161,   -0.29065,Segment:  7
   1.27583,    1.16661,    0.91440,    0.73257,   -0.11679,   -0.28245,   -0.26647,Segment:  8
   1.36827,    1.25115,    0.91440,    0.83944,   -0.14949,   -0.31105,   -0.24591,Segment:  9
   1.45535,    1.33077,    0.91440,    0.94598,   -0.18534,   -0.33769,   -0.22852,Segment:  10
   1.53776,    1.40613,    0.91440,    1.05191,   -0.22404,   -0.36261,   -0.21394,Segment:  11
   1.61602,    1.47769,    0.91440,    1.15693,   -0.26531,   -0.38605,   -0.20186,Segment:  12
   1.69050,    1.54580,    0.91440,    1.26077,   -0.30887,   -0.40821,   -0.19206,Segment:  13
   1.76148,    1.61070,    0.19246,    1.36311,   -0.35443,   -0.42928,   -0.18436,Segment:  14
   1.83019,    1.62392,   -0.91440,    1.46368,   -0.40170,   -0.44943,   -0.17867,Segment:  15
   1.89920,    1.56083,   -0.91440,    1.56218,   -0.45040,   -0.46884,   -0.17493,Segment:  16
   1.97005,    1.49604,   -0.91440,    1.65831,   -0.50024,   -0.48767,   -0.17320,Segment:  17
   2.04275,    1.42957,   -0.91440,    1.75180,   -0.55093,   -0.50609,   -0.17359,Segment:  18
   2.11731,    1.36139,   -0.91440,    1.84234,   -0.60219,   -0.52427,   -0.17633,Segment:  19
   2.19374,    1.29150,   -0.91440,    1.92965,   -0.65374,   -0.54240,   -0.18179,Segment:  20
   2.27208,    1.21986,   -0.91440,    2.01344,   -0.70527,   -0.56068,   -0.19054,Segment:  21
   2.35235,    1.14646,   -0.91440,    2.09340,   -0.75652,   -0.57935,   -0.20345,Segment:  22
   2.43462,    1.07123,   -0.91440,    2.16926,   -0.80719,   -0.59869,   -0.22179,Segment:  23
   2.51897,    0.99410,   -0.91440,    2.24072,   -0.85699,   -0.61906,   -0.24753,Segment:  24
   2.60552,    0.91496,   -0.91440,    2.30749,   -0.90565,   -0.64091,   -0.28374,Segment:  25
   2.69447,    0.83363,   -0.91440,    2.36928,   -0.95287,   -0.66484,   -0.33535,Segment:  26
   2.78611,    0.74984,   -0.91440,    2.42579,   -0.99836,   -0.69168,   -0.41056,Segment:  27
   2.88092,    0.66314,   -0.91440,    2.47674,   -1.04185,   -0.72266,   -0.52375,Segment:  28
   2.97976,    0.57276,   -0.91440,    2.52184,   -1.08304,   -0.75955,   -0.70143,Segment:  29
   3.08421,    0.47725,   -0.91440,    2.56078,   -1.12165,   -0.80523,   -0.99591,Segment:  30
   3.19781,    0.37337,   -0.91440,    2.59329,   -1.15740,   -0.86442,   -1.51876,Segment:  31
   3.33074,    0.25183,   -0.91440,    2.61907,   -1.18998,   -0.94555,   -2.53054,Segment:  32
   3.41630,    0.17359,   -0.91440,    2.62935,   -1.20501,   -0.99886,   -3.39796,Segment:  33
   3.60614,    0.00000,   -0.91440,    2.63783,   -1.21913,   -1.06465,   -4.69874,Segment:  34
#======= TRAJECTORY END: moves from robot starting line to reef L22
