#======= TRAJECTORY BEGIN: moves from barge to reef L20
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.139       5.076       1.047      -0.000       0.000       0.000       1.000
#--------Waypoint:     7.520       6.115       0.000       2.090      -1.543      -1.047       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,   -0.00000,    0.00000,    0.00000,   -6.65865,Segment:  1
   0.13252,    0.12117,    0.91440,    0.00803,   -0.00020,   -0.04898,   -5.58703,Segment:  2
   0.18997,    0.17370,    0.91440,    0.01647,   -0.00081,   -0.09244,   -4.71066,Segment:  3
   0.27586,    0.25225,    0.91440,    0.03461,   -0.00320,   -0.16572,   -3.40667,Segment:  4
   0.34661,    0.31694,    0.91440,    0.05436,   -0.00713,   -0.22473,   -2.52419,Segment:  5
   0.41013,    0.37503,    0.91440,    0.07565,   -0.01257,   -0.27303,   -1.91535,Segment:  6
   0.52566,    0.48066,    0.91440,    0.12268,   -0.02779,   -0.34704,   -1.17648,Segment:  7
   0.63238,    0.57825,    0.91440,    0.17524,   -0.04853,   -0.40095,   -0.77775,Segment:  8
   0.73361,    0.67082,    0.91440,    0.23290,   -0.07447,   -0.44206,   -0.54599,Segment:  9
   0.83079,    0.75967,    0.91440,    0.29520,   -0.10527,   -0.47459,   -0.40282,Segment:  10
   0.92463,    0.84548,    0.91440,    0.36171,   -0.14061,   -0.50115,   -0.30993,Segment:  11
   1.01554,    0.92861,    0.91440,    0.43198,   -0.18017,   -0.52343,   -0.24724,Segment:  12
   1.10373,    1.00925,    0.91440,    0.50556,   -0.22361,   -0.54257,   -0.20364,Segment:  13
   1.18933,    1.08752,    0.91440,    0.58202,   -0.27061,   -0.55936,   -0.17262,Segment:  14
   1.27241,    1.16350,    0.91440,    0.66089,   -0.32084,   -0.57440,   -0.15025,Segment:  15
   1.35302,    1.23720,    0.91440,    0.74175,   -0.37397,   -0.58810,   -0.13403,Segment:  16
   1.43116,    1.30865,    0.91440,    0.82414,   -0.42969,   -0.60082,   -0.12239,Segment:  17
   1.50682,    1.37783,    0.91440,    0.90763,   -0.48765,   -0.61282,   -0.11429,Segment:  18
   1.57999,    1.44474,    0.91440,    0.99176,   -0.54753,   -0.62433,   -0.10906,Segment:  19
   1.65064,    1.50935,    0.29169,    1.07609,   -0.60901,   -0.63554,   -0.10629,Segment:  20
   1.71970,    1.52949,   -0.91440,    1.16017,   -0.67176,   -0.64665,   -0.10577,Segment:  21
   1.78977,    1.46541,   -0.91440,    1.24357,   -0.73545,   -0.65782,   -0.10745,Segment:  22
   1.86268,    1.39874,   -0.91440,    1.32583,   -0.79976,   -0.66922,   -0.11143,Segment:  23
   1.93845,    1.32946,   -0.91440,    1.40651,   -0.86435,   -0.68105,   -0.11797,Segment:  24
   2.01712,    1.25753,   -0.91440,    1.48517,   -0.92890,   -0.69352,   -0.12756,Segment:  25
   2.09876,    1.18287,   -0.91440,    1.56137,   -0.99309,   -0.70685,   -0.14093,Segment:  26
   2.18351,    1.10538,   -0.91440,    1.63464,   -1.05658,   -0.72135,   -0.15923,Segment:  27
   2.27154,    1.02489,   -0.91440,    1.70457,   -1.11905,   -0.73739,   -0.18419,Segment:  28
   2.36313,    0.94113,   -0.91440,    1.77068,   -1.18017,   -0.75542,   -0.21850,Segment:  29
   2.45874,    0.85370,   -0.91440,    1.83256,   -1.23962,   -0.77609,   -0.26638,Segment:  30
