#======= TRAJECTORY BEGIN: moves from reef L20 to Coral Station 13
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.071       7.211      -1.047       0.000       0.000       0.000       2.000
#--------Waypoint:     4.365       6.480      -1.326       2.280       2.487      -0.279       0.200
#--------Waypoint:     5.159       5.153      -2.094       3.825       2.511      -1.047       1.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    0.00000,    0.00000,    0.00000,    2.65902,Segment:  1
   0.26218,    0.23973,    0.91440,    0.03140,    0.00129,    0.08110,    2.49496,Segment:  2
   0.37224,    0.34038,    0.91440,    0.06309,    0.00511,    0.15772,    2.30074,Segment:  3
   0.45810,    0.41888,    0.91440,    0.09508,    0.01139,    0.22933,    2.09167,Segment:  4
   0.53191,    0.48638,    0.91440,    0.12734,    0.02008,    0.29567,    1.88051,Segment:  5
   0.59838,    0.54716,    0.91440,    0.15987,    0.03111,    0.35673,    1.67667,Segment:  6
   0.65990,    0.60341,    0.91440,    0.19267,    0.04441,    0.41264,    1.48623,Segment:  7
   0.71786,    0.65641,    0.91440,    0.22572,    0.05991,    0.46366,    1.31247,Segment:  8
   0.77315,    0.70696,    0.91440,    0.25902,    0.07757,    0.51012,    1.15660,Segment:  9
   0.87788,    0.80274,    0.91440,    0.32633,    0.11904,    0.59078,    0.89694,Segment:  10
   0.97710,    0.89346,    0.91440,    0.39454,    0.16830,    0.65742,    0.69799,Segment:  11
   1.07234,    0.98055,    0.91440,    0.46359,    0.22484,    0.71261,    0.54694,Segment:  12
   1.16450,    1.06482,    0.91440,    0.53342,    0.28814,    0.75846,    0.43206,Segment:  13
   1.25408,    1.14673,    0.91440,    0.60395,    0.35768,    0.79667,    0.34398,Segment:  14
   1.34138,    1.22655,    0.91440,    0.67514,    0.43294,    0.82860,    0.27566,Segment:  15
   1.42658,    1.30446,    0.91440,    0.74691,    0.51341,    0.85529,    0.22191,Segment:  16
   1.50978,    1.38054,    0.91440,    0.81921,    0.59856,    0.87758,    0.17896,Segment:  17
   1.59104,    1.45485,    0.91440,    0.89197,    0.68787,    0.89611,    0.14404,Segment:  18
   1.67038,    1.52739,    0.91440,    0.96513,    0.78084,    0.91138,    0.11512,Segment:  19
   1.74779,    1.59818,    0.91440,    1.03863,    0.87693,    0.92379,    0.09068,Segment:  20
