#======= TRAJECTORY BEGIN: moves from robot starting line to reef L21 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.714       3.884       0.104      -0.000      -0.000       0.000       0.200
#--------Waypoint:     7.639       4.019       0.000       1.928      -0.067      -0.104       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,   -0.00000,   -0.00000,    0.00000,   -4.81428,Segment:  1
   0.43973,    0.40209,    0.91440,    0.08839,   -0.00145,   -0.01935,   -0.02852,Segment:  2
   0.61747,    0.56461,    0.91440,    0.17428,   -0.00319,   -0.02108,   -0.01529,Segment:  3
   0.78652,    0.71919,    0.91440,    0.28278,   -0.00556,   -0.02248,   -0.01134,Segment:  4
   0.86785,    0.79356,    0.91440,    0.34428,   -0.00696,   -0.02315,   -0.01050,Segment:  5
   0.94704,    0.86597,    0.91440,    0.40997,   -0.00850,   -0.02382,   -0.01005,Segment:  6
   1.02406,    0.93640,    0.91440,    0.47935,   -0.01018,   -0.02451,   -0.00989,Segment:  7
   1.09888,    1.00482,    0.91440,    0.55196,   -0.01199,   -0.02523,   -0.00995,Segment:  8
   1.17148,    1.07120,    0.91440,    0.62728,   -0.01392,   -0.02599,   -0.01021,Segment:  9
   1.24180,    1.13550,    0.91440,    0.70485,   -0.01597,   -0.02680,   -0.01064,Segment:  10
   1.30981,    1.19769,    0.91440,    0.78417,   -0.01813,   -0.02767,   -0.01127,Segment:  11
   1.37547,    1.25773,    0.91440,    0.86474,   -0.02039,   -0.02861,   -0.01211,Segment:  12
   1.43873,    1.31558,   -0.50297,    0.94610,   -0.02276,   -0.02964,   -0.01319,Segment:  13
   1.50157,    1.28397,   -0.91440,    1.02774,   -0.02523,   -0.03077,   -0.01457,Segment:  14
   1.56654,    1.22456,   -0.91440,    1.10919,   -0.02779,   -0.03202,   -0.01631,Segment:  15
   1.63424,    1.16266,   -0.91440,    1.18995,   -0.03043,   -0.03343,   -0.01853,Segment:  16
   1.70468,    1.09825,   -0.91440,    1.26953,   -0.03315,   -0.03501,   -0.02137,Segment:  17
   1.77791,    1.03129,   -0.91440,    1.34746,   -0.03595,   -0.03681,   -0.02506,Segment:  18
   1.85401,    0.96170,   -0.91440,    1.42323,   -0.03882,   -0.03889,   -0.02993,Segment:  19
   1.93309,    0.88939,   -0.91440,    1.49637,   -0.04175,   -0.04131,   -0.03648,Segment:  20
   2.01537,    0.81415,   -0.91440,    1.56639,   -0.04474,   -0.04416,   -0.04551,Segment:  21
   2.10115,    0.73571,   -0.91440,    1.63280,   -0.04778,   -0.04758,   -0.05834,Segment:  22
   2.28569,    0.56698,   -0.91440,    1.75283,   -0.05401,   -0.05700,   -0.10641,Segment:  23
   2.49848,    0.37240,   -0.91440,    1.85257,   -0.06038,   -0.07274,   -0.23774,Segment:  24
   2.90574,    0.00000,   -0.91440,    1.92813,   -0.06686,   -0.10448,   -0.76586,Segment:  25
#======= TRAJECTORY END: moves from robot starting line to reef L21 
