#======= TRAJECTORY BEGIN: moves from  reef L22 to mid coral station 12
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.258       2.865      -1.047      -0.000      -0.000       0.000       1.000
#--------Waypoint:     4.663       1.461      -1.414       0.918      -1.217      -0.367       0.000
#--------Waypoint:     1.508       0.981      -2.339      -0.243      -4.190      -1.292       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,   -0.00000,   -0.00000,    0.00000,   -1.74020,Segment:  1
   0.26653,    0.24372,    0.91440,    0.03247,   -0.00086,   -0.05141,   -1.44875,Segment:  2
   0.38370,    0.35086,    0.91440,    0.06720,   -0.00348,   -0.09821,   -1.25291,Segment:  3
   0.55995,    0.51202,    0.91440,    0.14247,   -0.01427,   -0.18374,   -1.02818,Segment:  4
   0.70428,    0.64400,    0.91440,    0.22380,   -0.03288,   -0.26468,   -0.92782,Segment:  5
   0.83175,    0.76055,    0.49053,    0.30917,   -0.05981,   -0.34594,   -0.89635,Segment:  6
   0.95132,    0.81920,   -0.13216,    0.39658,   -0.09557,   -0.43091,   -0.90837,Segment:  7
   1.01113,    0.81130,   -0.16645,    0.44042,   -0.11692,   -0.47562,   -0.92615,Segment:  8
   1.07272,    0.80105,   -0.18637,    0.48402,   -0.14067,   -0.52218,   -0.95001,Segment:  9
   1.13616,    0.78922,   -0.19376,    0.52712,   -0.16688,   -0.57082,   -0.97869,Segment:  10
   1.20154,    0.77656,   -0.19033,    0.56948,   -0.19562,   -0.62173,   -1.01088,Segment:  11
   1.26891,    0.76373,   -0.17763,    0.61084,   -0.22695,   -0.67507,   -1.04511,Segment:  12
   1.33830,    0.75141,   -0.15701,    0.65095,   -0.26093,   -0.73093,   -1.07968,Segment:  13
   1.40973,    0.74019,   -0.12966,    0.68956,   -0.29762,   -0.78934,   -1.11264,Segment:  14
   1.48317,    0.73067,   -0.09656,    0.72642,   -0.33710,   -0.85026,   -1.14183,Segment:  15
   1.55858,    0.72339,   -0.05859,    0.76128,   -0.37942,   -0.91354,   -1.16493,Segment:  16
   1.63590,    0.71886,   -0.01647,    0.79388,   -0.42465,   -0.97896,   -1.17966,Segment:  17
   1.71502,    0.71756,    0.02919,    0.82398,   -0.47285,   -1.04619,   -1.18395,Segment:  18
   1.79583,    0.71991,    0.07787,    0.85133,   -0.52408,   -1.11479,   -1.17620,Segment:  19
