#======= TRAJECTORY BEGIN: moves from mid coral station 13 to reef L19
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     3.750       4.961       2.094       0.000       0.000       0.000       1.200
#--------Waypoint:     2.857       6.211      -1.326       1.529       0.148       2.862       0.000
#--------Waypoint:     1.071       7.191       2.094       3.271       1.204       0.000       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,   -0.00000,    0.00000,    0.00000,   -0.63666,Segment:  1
   0.40807,    0.37314,    0.91440,    0.07612,   -0.00164,   -0.04059,   -0.43464,Segment:  2
   0.58160,    0.53182,    0.91440,    0.15451,   -0.00598,   -0.06758,   -0.25810,Segment:  3
   0.71789,    0.65644,    0.91440,    0.23526,   -0.01212,   -0.08212,   -0.10562,Segment:  4
   0.83541,    0.76390,    0.91440,    0.31841,   -0.01917,   -0.08529,    0.02581,Segment:  5
   0.94120,    0.86063,    0.91440,    0.40405,   -0.02625,   -0.07806,    0.13931,Segment:  6
   1.03885,    0.94992,    0.91440,    0.49223,   -0.03247,   -0.06128,    0.23741,Segment:  7
   1.13050,    1.03373,    0.91440,    0.58303,   -0.03693,   -0.03574,    0.32174,Segment:  8
   1.21759,    1.11337,    0.57960,    0.67650,   -0.03876,   -0.00221,    0.39300,Segment:  9
   1.30217,    1.16239,   -0.61188,    0.77273,   -0.03706,    0.03853,    0.45117,Segment:  10
   1.38954,    1.10892,   -0.34488,    0.87176,   -0.03094,    0.08564,    0.49573,Segment:  11
   1.48339,    1.07656,   -0.15648,    0.97368,   -0.01951,    0.13817,    0.52598,Segment:  12
   1.58288,    1.06099,   -0.00978,    1.07854,   -0.00189,    0.19507,    0.54153,Segment:  13
   1.68724,    1.05997,    0.11376,    1.18642,    0.02282,    0.25520,    0.54258,Segment:  14
   1.79574,    1.07231,    0.22424,    1.29738,    0.05549,    0.31737,    0.53016,Segment:  15
   1.90767,    1.09741,    0.30189,    1.41148,    0.09703,    0.38039,    0.50618,Segment:  16
   1.96476,    1.11465,    0.35232,    1.46974,    0.12140,    0.41187,    0.49065,Segment:  17
   2.02247,    1.13498,    0.91440,    1.52880,    0.14832,    0.44316,    0.47323,Segment:  18
   2.07995,    1.18754,    0.91440,    1.58867,    0.17784,    0.47235,    0.40350,Segment:  19
   2.13640,    1.23916,    0.91440,    1.64925,    0.20980,    0.49791,    0.34498,Segment:  20
