#======= TRAJECTORY BEGIN: moves from  reef L22 to mid coral station 12
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.258       2.865      -1.047      -0.000      -0.000       0.000       1.000
#--------Waypoint:     4.663       1.461      -1.414       0.918      -1.217      -0.367       0.000
#--------Waypoint:     1.508       0.981      -2.339      -0.243      -4.190      -1.292       1.500
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    5.25789,    2.86498,   -1.04720,   -1.74020,Segment:  1
   0.26653,    0.24372,    0.91440,    5.27337,    2.83643,   -1.09861,   -1.44875,Segment:  2
   0.38370,    0.35086,    0.91440,    5.28847,    2.80504,   -1.14541,   -1.25291,Segment:  3
   0.55995,    0.51202,    0.91440,    5.31676,    2.73446,   -1.23094,   -1.02818,Segment:  4
   0.70428,    0.64400,    0.91440,    5.34131,    2.65473,   -1.31188,   -0.92782,Segment:  5
   0.83175,    0.76055,    0.49053,    5.36068,    2.56733,   -1.39314,   -0.89635,Segment:  6
   0.95132,    0.81920,   -0.13216,    5.37341,    2.47375,   -1.47811,   -0.90837,Segment:  7
   1.01113,    0.81130,   -0.16645,    5.37684,    2.42510,   -1.52282,   -0.92615,Segment:  8
   1.07272,    0.80105,   -0.18637,    5.37807,    2.37547,   -1.56938,   -0.95001,Segment:  9
   1.13616,    0.78922,   -0.19376,    5.37692,    2.32504,   -1.61801,   -0.97869,Segment:  10
   1.20154,    0.77656,   -0.19033,    5.37321,    2.27399,   -1.66893,   -1.01088,Segment:  11
   1.26891,    0.76373,   -0.17763,    5.36676,    2.22250,   -1.72227,   -1.04511,Segment:  12
   1.33830,    0.75141,   -0.15701,    5.35739,    2.17078,   -1.77813,   -1.07968,Segment:  13
   1.40973,    0.74019,   -0.12966,    5.34492,    2.11899,   -1.83654,   -1.11264,Segment:  14
   1.48317,    0.73067,   -0.09656,    5.32916,    2.06733,   -1.89746,   -1.14183,Segment:  15
   1.55858,    0.72339,   -0.05859,    5.30994,    2.01598,   -1.96074,   -1.16493,Segment:  16
   1.63590,    0.71886,   -0.01647,    5.28707,    1.96513,   -2.02616,   -1.17966,Segment:  17
   1.71502,    0.71756,    0.02919,    5.26038,    1.91496,   -2.09339,   -1.18395,Segment:  18
   1.79583,    0.71991,    0.07787,    5.22968,    1.86566,   -2.16199,   -1.17620,Segment:  19
   1.87816,    0.72633,    0.12913,    5.19480,    1.81742,   -2.23148,   -1.15553,Segment:  20
   1.96184,    0.73713,    0.18260,    5.15555,    1.77042,   -2.30128,   -1.12190,Segment:  21
   2.04670,    0.75263,    0.23797,    5.11175,    1.72484,   -2.37082,   -1.07618,Segment:  22
   2.13254,    0.77306,    0.29497,    5.06322,    1.68087,   -2.43950,   -1.02006,Segment:  23
   2.21916,    0.79861,    0.35338,    5.00979,    1.63870,   -2.50679,   -0.95583,Segment:  24
   2.30638,    0.82943,    0.41302,    4.95126,    1.59852,   -2.57219,   -0.88612,Segment:  25
   2.39400,    0.86562,    0.47371,    4.88747,    1.56051,   -2.63530,   -0.81357,Segment:  26
   2.48187,    0.90724,    0.53532,    4.81822,    1.52484,   -2.69581,   -0.74063,Segment:  27
   2.56983,    0.95433,    0.59774,    4.74334,    1.49172,   -2.75350,   -0.66934,Segment:  28
   2.65776,    1.00689,    0.91440,    4.66265,    1.46133,   -2.80823,   -0.60129,Segment:  29
   2.74457,    1.08626,    0.91440,    4.57608,    1.43379,   -2.85703,   -0.47941,Segment:  30
   2.82934,    1.16378,    0.91440,    4.48399,    1.40896,   -2.89806,   -0.38561,Segment:  31
   2.91228,    1.23962,    0.91440,    4.38685,    1.38667,   -2.93269,   -0.31271,Segment:  32
   2.99346,    1.31385,    0.91440,    4.28515,    1.36671,   -2.96199,   -0.25537,Segment:  33
   3.07292,    1.38651,    0.91440,    4.17935,    1.34890,   -2.98684,   -0.20964,Segment:  34
   3.15067,    1.45760,    0.91440,    4.06993,    1.33305,   -3.00789,   -0.17261,Segment:  35
   3.22669,    1.52711,    0.91440,    3.95736,    1.31896,   -3.02568,   -0.14212,Segment:  36
   3.30094,    1.59501,    0.91440,    3.84212,    1.30644,   -3.04063,   -0.11658,Segment:  37
   3.37340,    1.66127,    0.91440,    3.72468,    1.29531,   -3.05306,   -0.09475,Segment:  38
   3.44400,    1.72583,    0.91440,    3.60552,    1.28536,   -3.06322,   -0.07567,Segment:  39
   3.51272,    1.78866,    0.91440,    3.48511,    1.27642,   -3.07131,   -0.05859,Segment:  40
   3.57948,    1.84971,   -0.69529,    3.36392,    1.26828,   -3.07746,   -0.04287,Segment:  41
   3.64612,    1.80338,   -0.91440,    3.24244,    1.26076,   -3.08177,   -0.02797,Segment:  42
   3.71470,    1.74067,   -0.91440,    3.12112,    1.25366,   -3.08428,   -0.01337,Segment:  43
   3.78545,    1.67598,   -0.91440,    3.00046,    1.24680,   -3.08501,    0.00143,Segment:  44
   3.85834,    1.60932,   -0.91440,    2.88091,    1.23998,   -3.08392,    0.01696,Segment:  45
   3.93335,    1.54073,   -0.91440,    2.76297,    1.23301,   -3.08094,    0.03382,Segment:  46
   4.01048,    1.47021,   -0.91440,    2.64709,    1.22571,   -3.07594,    0.05276,Segment:  47
   4.08970,    1.39777,   -0.91440,    2.53376,    1.21787,   -3.06874,    0.07469,Segment:  48
   4.17102,    1.32341,   -0.91440,    2.42345,    1.20931,   -3.05908,    0.10084,Segment:  49
   4.25445,    1.24712,   -0.91440,    2.31664,    1.19984,   -3.04662,    0.13291,Segment:  50
   4.34004,    1.16886,   -0.91440,    2.21379,    1.18926,   -3.03089,    0.17327,Segment:  51
   4.42786,    1.08856,   -0.91440,    2.11538,    1.17738,   -3.01126,    0.22536,Segment:  52
   4.51803,    1.00610,   -0.91440,    2.02189,    1.16402,   -2.98691,    0.29429,Segment:  53
   4.61076,    0.92131,   -0.91440,    1.93380,    1.14898,   -2.95669,    0.38779,Segment:  54
   4.70643,    0.83383,   -0.91440,    1.85157,    1.13207,   -2.91905,    0.51788,Segment:  55
   4.80564,    0.74311,   -0.91440,    1.77568,    1.11310,   -2.87180,    0.70345,Segment:  56
   4.90953,    0.64812,   -0.91440,    1.70660,    1.09188,   -2.81194,    0.97444,Segment:  57
   5.02027,    0.54686,   -0.91440,    1.64481,    1.06821,   -2.73521,    1.37742,Segment:  58
   5.07953,    0.49267,   -0.91440,    1.61680,    1.05540,   -2.68877,    1.64870,Segment:  59
   5.14271,    0.43489,   -0.91440,    1.59079,    1.04191,   -2.63581,    1.97962,Segment:  60
   5.21175,    0.37176,   -0.91440,    1.56683,    1.02771,   -2.57532,    2.38000,Segment:  61
   5.29054,    0.29972,   -0.91440,    1.54500,    1.01278,   -2.50627,    2.85675,Segment:  62
   5.38933,    0.20939,   -0.91440,    1.52534,    0.99709,   -2.42767,    3.40918,Segment:  63
   5.45733,    0.14720,   -0.91440,    1.51635,    0.98896,   -2.38453,    3.70974,Segment:  64
   5.61832,    0.00000,   -0.91440,    1.50792,    0.98063,   -2.33874,    4.02178,Segment:  65
#======= TRAJECTORY END: moves from  reef L22 to mid coral station 12
