#======= TRAJECTORY BEGIN: moves from L21 ro Coral station 12 
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.734       3.961       0.262       0.000       0.000      -0.000       2.000
#--------Waypoint:     6.369       2.173      -1.326       0.150      -1.892      -1.588       0.000
#--------Waypoint:     1.071       0.635      -2.112      -5.365      -2.006      -2.374       2.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.54000  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.54000  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    5.73407,    3.96098,    0.26180,   -2.25870,Segment:  1
   0.26211,    0.23967,    0.91440,    5.76468,    3.96804,    0.19289,   -2.12721,Segment:  2
   0.37183,    0.34000,    0.91440,    5.79607,    3.97310,    0.12740,   -1.99043,Segment:  3
   0.45697,    0.41786,    0.91440,    5.82819,    3.97620,    0.06539,   -1.85390,Segment:  4
   0.52966,    0.48432,    0.91440,    5.86095,    3.97737,    0.00678,   -1.72176,Segment:  5
   0.59455,    0.54366,    0.91440,    5.89430,    3.97666,   -0.04854,   -1.59685,Segment:  6
   0.65403,    0.59805,    0.91440,    5.92816,    3.97412,   -0.10077,   -1.48094,Segment:  7
   0.70949,    0.64876,    0.79137,    5.96246,    3.96978,   -0.15010,   -1.37492,Segment:  8
   0.76206,    0.69036,    0.47867,    5.99713,    3.96370,   -0.19678,   -1.27906,Segment:  9
   0.86319,    0.73877,    0.46549,    6.06730,    3.94646,   -0.28311,   -1.11694,Segment:  10
   0.96125,    0.78441,    0.42662,    6.13812,    3.92274,   -0.36160,   -0.99073,Segment:  11
   1.05682,    0.82519,    0.36443,    6.20901,    3.89290,   -0.43396,   -0.89524,Segment:  12
   1.15052,    0.85933,    0.28325,    6.27943,    3.85728,   -0.50170,   -0.82551,Segment:  13
   1.24292,    0.88551,    0.18898,    6.34881,    3.81623,   -0.56618,   -0.77743,Segment:  14
   1.33461,    0.90283,    0.08855,    6.41659,    3.77010,   -0.62860,   -0.74788,Segment:  15
   1.42617,    0.91094,   -0.01084,    6.48221,    3.71923,   -0.69004,   -0.73462,Segment:  16
   1.51812,    0.90994,   -0.10255,    6.54512,    3.66398,   -0.75153,   -0.73623,Segment:  17
   1.61102,    0.90042,   -0.18107,    6.60474,    3.60468,   -0.81401,   -0.75189,Segment:  18
   1.70536,    0.88334,   -0.24245,    6.66052,    3.54170,   -0.87842,   -0.78125,Segment:  19
   1.80161,    0.86000,   -0.28440,    6.71190,    3.47536,   -0.94569,   -0.82423,Segment:  20
   1.90024,    0.83195,   -0.30614,    6.75831,    3.40603,   -1.01673,   -0.88074,Segment:  21
   2.00164,    0.80091,   -0.30818,    6.79921,    3.33406,   -1.09246,   -0.95034,Segment:  22
   2.10617,    0.76869,   -0.29804,    6.83402,    3.25977,   -1.17370,   -1.03166,Segment:  23
   2.15972,    0.75273,   -0.28560,    6.84898,    3.22188,   -1.21662,   -1.07588,Segment:  24
   2.21416,    0.73718,   -0.26921,    6.86220,    3.18354,   -1.26118,   -1.12174,Segment:  25
   2.26951,    0.72228,   -0.24915,    6.87362,    3.14479,   -1.30744,   -1.16850,Segment:  26
   2.32578,    0.70826,   -0.22569,    6.88316,    3.10569,   -1.35542,   -1.21522,Segment:  27
   2.38298,    0.69535,   -0.19914,    6.89077,    3.06628,   -1.40512,   -1.26076,Segment:  28
   2.44110,    0.68378,   -0.16976,    6.89637,    3.02659,   -1.45653,   -1.30381,Segment:  29
   2.50014,    0.67376,   -0.13783,    6.89989,    2.98668,   -1.50958,   -1.34288,Segment:  30
   2.56005,    0.66550,   -0.10360,    6.90125,    2.94658,   -1.56416,   -1.37641,Segment:  31
   2.62082,    0.65920,   -0.06733,    6.90040,    2.90634,   -1.62013,   -1.40283,Segment:  32
   2.68239,    0.65506,   -0.02923,    6.89725,    2.86600,   -1.67729,   -1.42064,Segment:  33
   2.74471,    0.65324,    0.01048,    6.89174,    2.82561,   -1.73540,   -1.42858,Segment:  34
   2.80771,    0.65390,    0.05160,    6.88380,    2.78521,   -1.79421,   -1.42569,Segment:  35
   2.87132,    0.65718,    0.09395,    6.87336,    2.74484,   -1.85341,   -1.41149,Segment:  36
   2.93546,    0.66321,    0.13738,    6.86035,    2.70454,   -1.91269,   -1.38595,Segment:  37
   3.00004,    0.67208,    0.18172,    6.84470,    2.66437,   -1.97170,   -1.34960,Segment:  38
   3.06497,    0.68388,    0.22685,    6.82634,    2.62436,   -2.03014,   -1.30343,Segment:  39
   3.13017,    0.69867,    0.27264,    6.80519,    2.58455,   -2.08769,   -1.24883,Segment:  40
   3.19556,    0.71649,    0.31899,    6.78119,    2.54500,   -2.14407,   -1.18746,Segment:  41
   3.26104,    0.73738,    0.36580,    6.75427,    2.50574,   -2.19903,   -1.12114,Segment:  42
   3.32655,    0.76135,    0.41299,    6.72436,    2.46681,   -2.25237,   -1.05167,Segment:  43
   3.39201,    0.78838,    0.46047,    6.69139,    2.42827,   -2.30391,   -0.98079,Segment:  44
   3.45735,    0.81847,    0.50818,    6.65529,    2.39015,   -2.35354,   -0.90999,Segment:  45
   3.52254,    0.85160,    0.55607,    6.61599,    2.35250,   -2.40116,   -0.84058,Segment:  46
   3.58750,    0.88772,    0.62874,    6.57341,    2.31536,   -2.44674,   -0.77355,Segment:  47
   3.71650,    0.96883,    0.70029,    6.47816,    2.24278,   -2.53172,   -0.64946,Segment:  48
   3.78061,    1.01373,    0.74842,    6.42535,    2.20743,   -2.57118,   -0.59320,Segment:  49
   3.84439,    1.06145,    0.91440,    6.36899,    2.17277,   -2.60867,   -0.54106,Segment:  50
   3.90757,    1.11923,    0.91440,    6.30903,    2.13882,   -2.64319,   -0.46384,Segment:  51
   3.96997,    1.17629,    0.91440,    6.24559,    2.10558,   -2.67403,   -0.39958,Segment:  52
   4.03166,    1.23270,    0.91440,    6.17880,    2.07304,   -2.70165,   -0.34592,Segment:  53
   4.09269,    1.28850,    0.91440,    6.10878,    2.04116,   -2.72647,   -0.30092,Segment:  54
